Data;pH
20/01/2001;8,14
24/02/2001;7,95
19/03/2001;7,86
03/04/2001;6,5
09/05/2001;8,26
29/05/2001;8,06
11/06/2001;6,88
08/08/2001;7,89
10/09/2001;7,97
10/10/2001;6,72
22/11/2001;9,66
08/12/2001;7,97
18/12/2001;6,79
15/02/2002;8,01
05/04/2002;8,5
09/04/2002;5,7
30/04/2002;6,7
11/06/2002;8,17
15/06/2002;5,93
09/07/2002;8,49
06/08/2002;8,33
19/08/2002;7,3
20/08/2002;6,65
27/08/2002;5,72
31/08/2002;5,47
10/09/2002;8,36
17/09/2002;7,3
18/09/2002;6,6
19/09/2002;6,5
20/09/2002;6,8
23/09/2002;6,7
22/10/2002;5,7
24/10/2002;6,3
25/10/2002;6,99
28/10/2002;6,29
29/10/2002;6,44
17/11/2002;6,8
18/11/2002;7,2
28/11/2002;8,32
05/12/2002;5,6
06/12/2002;5,94
07/12/2002;5,91
08/12/2002;5,6
09/12/2002;6,4
12/12/2002;5,59
13/12/2002;5,96
18/12/2002;8,36
28/01/2003;5,73
29/01/2003;6,6
31/01/2003;6,55
31/01/2003;6,63
03/02/2003;7,17
12/02/2003;8,38
08/03/2003;6,14
12/03/2003;5,91
14/03/2003;8,08
07/04/2003;6,8
08/04/2003;6,4
10/04/2003;6,7
11/04/2003;6,5
12/04/2003;6,6
14/04/2003;
15/04/2003;7,7
16/04/2003;7,45
17/04/2003;7,5
19/04/2003;
28/05/2003;8,47
26/06/2003;8,13
28/06/2003;5,61
02/07/2003;5,67
23/08/2003;5,4
27/08/2003;6,04
28/08/2003;5,69
30/08/2003;5,95
31/08/2003;3,12
10/09/2003;8,21
10/09/2003;8,21
10/09/2003;7,2
11/09/2003;6,6
12/09/2003;6,6
15/09/2003;6,7
16/09/2003;6,7
24/09/2003;8,17
21/10/2003;5,6
24/10/2003;5,21
19/11/2003;8,31
28/11/2003;5,9
28/11/2003;6,9
29/11/2003;6,6
01/12/2003;6,3
02/12/2003;6,6
03/12/2003;6,6
05/12/2003;6,9
08/12/2003;6,9
17/01/2004;7,99
18/03/2004;7,85
29/03/2004;7,74
14/07/2004;8,43
16/07/2004;6,6
17/07/2004;7,24
11/08/2004;8,24
28/08/2004;5,97
16/09/2004;7,1
19/09/2004;8,2
20/09/2004;6,8
22/09/2004;6,6
23/09/2004;6,6
24/09/2004;7,1
16/10/2004;7,9
06/11/2004;6,42
07/11/2004;7
22/11/2004;8,5
06/12/2004;3,1
07/12/2004;6,4
08/12/2004;6,3
09/12/2004;6,9
10/12/2004;6,6
15/01/2005;5,95
23/03/2005;8,17
19/04/2005;8,42
18/06/2005;9,7
20/06/2005;9,9
20/06/2005;6,2
21/06/2005;7,63
23/06/2005;9,8
23/06/2005;6,2
24/06/2005;9,7
24/06/2005;6,35
25/06/2005;6,35
27/06/2005;10
27/06/2005;6,08
11/07/2005;7,17
12/07/2005;6,66
12/07/2005;6,66
23/08/2005;6,31
26/08/2005;8,37
16/09/2005;8,35
07/11/2005;8,3
07/11/2005;7,14
08/11/2005;7,35
28/11/2005;8,14
06/01/2006;8,18
24/01/2006;8,47
02/02/2006;6,98
13/02/2006;6,67
13/02/2006;7,03
15/02/2006;7,84
20/02/2006;6,89
20/02/2006;6,21
20/02/2006;6,63
20/02/2006;6,22
20/02/2006;6,88
22/02/2006;5,47
06/03/2006;6,21
07/03/2006;6,74
28/03/2006;6,83
11/04/2006;8,16
12/04/2006;6,7
19/04/2006;6,97
20/04/2006;7,11
20/04/2006;7,31
28/04/2006;7,05
28/04/2006;5,93
05/05/2006;7,18
05/05/2006;6,81
09/05/2006;7,77
10/05/2006;6,54
10/05/2006;5,24
17/05/2006;6,77
12/06/2006;6,82
12/06/2006;7,29
12/06/2006;7,05
05/07/2006;7,5
31/07/2006;6,82
31/07/2006;7,12
01/08/2006;6,27
01/08/2006;5,88
01/08/2006;7,48
02/08/2006;5,36
07/08/2006;5,47
08/08/2006;4,94
17/08/2006;7,73
17/08/2006;7,63
24/08/2006;7,57
29/08/2006;7,68
29/08/2006;7,17
04/09/2006;7,6
04/09/2006;6,83
04/09/2006;6,86
05/09/2006;5,74
26/09/2006;7,49
11/10/2006;5,92
11/10/2006;7,31
17/10/2006;6,52
20/10/2006;7,53
27/10/2006;6,7
01/11/2006;7,6
01/11/2006;7,56
08/11/2006;6,55
08/11/2006;7,11
08/11/2006;7,01
16/11/2006;7,16
16/11/2006;7,79
23/11/2006;7,21
23/11/2006;6,73
23/11/2006;7,26
28/11/2006;7,45
28/11/2006;0
29/11/2006;5,36
30/11/2006;5
30/11/2006;6,68
05/12/2006;6,47
05/12/2006;7,41
05/12/2006;7,66
05/12/2006;7,14
19/04/2007;7,5
03/07/2007;6,9
10/08/2007;7,92
23/08/2007;5,5
26/10/2007;6
10/12/2007;7,6
28/01/2008;7,34
30/01/2008;7,64
18/02/2008;6,46
27/02/2008;7,1
27/02/2008;7,62
28/02/2008;7,55
28/02/2008;5,4
11/03/2008;5,91
15/04/2008;7,09
17/04/2008;7,6
25/04/2008;7,27
26/04/2008;6,96
11/05/2008;7,29
21/05/2008;7,79
22/05/2008;
26/05/2008;4,82
27/05/2008;6,85
28/05/2008;7,24
28/05/2008;6,6
29/05/2008;6
14/07/2008;7,8
25/07/2008;7,25
06/08/2008;7,46
07/08/2008;7,75
11/08/2008;8,18
14/08/2008;5,06
23/08/2008;6,94
25/08/2008;5,92
26/08/2008;7
26/08/2008;5,8
27/08/2008;6,98
29/08/2008;7,46
03/09/2008;5,53
04/09/2008;7,65
15/09/2008;7,66
15/09/2008;7,5
30/09/2008;7,72
02/10/2008;7,45
03/10/2008;7,42
06/10/2008;7,34
10/10/2008;8,16
22/10/2008;7,26
22/10/2008;7,89
25/10/2008;6,91
01/11/2008;7,33
06/11/2008;7,53
20/11/2008;7,2
24/11/2008;6,51
26/11/2008;7,53
26/11/2008;7,11
