ph;condutividade
8,01;127,2
8,5;106,2
5,7;98,7
6,7;19,7
8,17;104,5
5,93;73,4
8,49;93,2
8,33;88,5
7,3;124,6
6,65;61,7
5,72;26,8
5,47;28,1
8,36;89,8
7,3;69
6,6;10,4
6,5;7,2
6,8;12
6,7;11,9
5,7;42,5
6,3;28,9
6,99;7,23
6,29;5,78
6,44;5,48
6,8;29,1
7,2;90,7
8,32;97,3
5,6;27,6
5,94;12,22
5,91;16,35
5,6;64,7
6,4;8,9
5,59;67,6
5,96;11,61
8,36;89,8
5,73;5,1
6,6;5,6
6,55;9,9
6,63;26,6
7,17;49,4
8,38;99
6,14;27,9
5,91;36,2
8,08;88,6
6,8;37
6,4;10
6,7;15
6,5;10
6,6;13
0;4,9
7,7;6,6
7,45;9,8
7,5;28,6
0;51
8,47;147,39999
8,13;96,4
5,61;56,9
5,67;54,3
5,4;70,2
6,04;29,1
5,69;12,1
5,95;6,2
3,12;21,1
8,21;101,9
8,21;101,9
7,2;45,1
6,6;8
6,6;8,6
6,7;9,5
6,7;6,2
8,17;98,8
5,6;29,5
5,21;54,4
8,31;110,6
5,9;26,9
6,9;40,8
6,6;9
6,3;8,8
6,6;10,8
6,6;7,2
6,9;29,5
6,9;29,4
7,99;4,61
7,85;88,1
7,74;91,5
8,43;122
6,6;32,9
7,24;126,7
8,24;88,7
5,97;33,2
7,1;28
8,2;88,7
6,8;26,2
6,6;28
6,6;27,2
7,1;26,3
7,9;3,8
6,42;31,9
7;92,3
8,5;90,1
3,1;28,1
6,4;26,1
6,3;27,7
6,9;29,9
6,6;26,4
5,95;92,5
8,17;111,4
8,42;118,3
9,7;26,4
9,9;26,2
6,2;14,7
7,63;121,2
9,8;26,6
6,2;12,3
9,7;26,8
6,35;20
6,35;18,5
10;26,2
6,08;25,6
7,17;119,2
6,66;29,5
6,66;29,5
6,31;21
8,37;98,1
8,35;94,6
8,3;0
7,14;93,2
7,35;24,4
8,14;69,7
8,18;75,3
8,47;80,9
