"CÓDIGO HIDRO    SR HIDROGRAFICA   MUNICÍPIO              CORPO DÁGUA                LATITUDE LONGITUDE PERÍODO       INFLUÊNCIA DE MARÉ   ANO          DATA DA COLETA HORA DA COLETA TEMPERATURA DO AR (°C)    CONDUTIVIDADE (SpCond a 25 °C)     pH          OXIGENIO DISSOLVIDO (mg/L)     OXIGENIO DISSOLVIDO (%)    TURBIDEZ (NTU) TEMPERATURA DA ÁGUA (°C)    PROFUNDIDADE (m)"
"32100000   GUAMA             BENEVIDES              RIO BENFICA                    -1,3132    -48,304 SECO      SIM                        2016           24/11/16          15:04                  29,06                            3189,74       6,65                             7,74                     102,58            13,66                     29,55                  0,3"
"31645001   GUAMA             BELÉM                  RIO GUAMÁ                      -1,4552  -48,4017 SECO       SIM                        2016           24/11/16          13:14                  29,94                             952,61       6,68                             6,71                      89,14            78,52                      30,1                  0,3"
"31647000   GUAMA             BELÉM                  FURO DO MAGUARI                 -1,262  -48,4276 SECO       SIM                        2016           25/11/16          14:45                  29,76                            5618,42       7,28                             7,17                      96,02             5,02                     29,72                  0,3"
"31646000   GUAMA             BELÉM                  FURO DO MAGUARI                -1,2758    -48,445 SECO      SIM                        2016           25/11/16          16:10                  29,99                             4025,4       7,32                             7,25                      95,89            13,04                     29,35                  0,3"
"31041000   ACARA             ACARÁ                  RIO ACARÁ                      -1,6788  -48,4144 CHUVOSO    SIM                        2016           12/12/16          17:00                  29,12                              36,86       6,99                             6,85                       91,5           204,17                     30,61                  0,3"
"31025000   MOJU              MOJU                   RIO MOJU                       -1,6995  -48,4421 CHUVOSO    SIM                        2016           12/12/16          16:22                  28,19                              57,34       6,71                             6,94                       92,4            60,99                     30,34                  0,3"
"32370000   COSTA ATLANTICA   BRAGANÇA               RIO CAETE                      -0,9937  -46,7246 SECO       SIM                        2016           13/12/16          11:15                    27,3                          45887,86       7,34                             4,39                       67,3           135,43                     29,48                0,65"
"32390000   COSTA ATLANTICA   AUGUSTO CORREA         RIO URUMAJO                    -1,0751  -46,6361 SECO       SIM                        2016           14/12/16          13:25                    28,4                          21331,76       6,82                             7,86                      109,3            87,26                      28,8                0,64"
"31760000   TOCANTINS         ABAETETUBA             RIO ARAPIRANGA DE BEJA          -1,664  -48,7796 CHUVOSO    SIM                        2016           14/12/16          10:05                  28,74                              21,06       5,81                             3,79                       46,5             5,93                     25,78                  0,3"
"31750000   TOCANTINS         ABAETETUBA             RIO TOCANTINS                  -1,7259  -48,8929 CHUVOSO    SIM                        2016           14/12/16           9:30                  25,89                              54,31       7,62                             6,05                       79,1            44,93                     29,29                  0,3"
"32120000   COSTA ATLANTICA   MARAPANIM              RIO MARAPANIM                  -0,9426  -47,6472 SECO       SIM                        2016           15/12/16          17:00                    27,3                            266,15       5,98                              5,7                       71,4           226,17                      26,8                0,67"
"31770000   GUAMA             BARCARENA              RIO ITAPORANGA                 -1,5178  -48,6426 CHUVOSO    SIM                        2016           15/12/16          10:49                  27,36                             344,26       6,48                             5,51                                       34,15                     28,79                  0,3"
"31775000   GUAMA             BARCARENA              RIO ACARÁ                      -1,5584  -48,5052 CHUVOSO    SIM                        2016           16/12/16          11:25                    28,2                            456,17       6,63                             6,81                       89,1           178,93                     29,46                  0,3"
"31034000   ACARA             TOMÉ-AÇU               RIO ACARA MIRIM                 -2,423  -48,1467 CHUVOSO    NÃO                        2017           06/02/17          15:45                    30,5                             14,95       5,17                             5,49                      69,12             18,9                     26,83                0,91"
"32545000   GURUPI            PARAGOMINAS            RIO PRAINHA                  -2,99648  -47,34722 CHUVOSO    NÃO                        2017           07/02/17          16:50                    27,1                             48,57        5,9                             4,05                       54,2            75,34                      30,6                0,53"
"31690000   CAPIM             IPIXUNA DO PARA        IG. CARATAUAÇU                 -2,9996  -48,1909 CHUVOSO    NÃO                        2017           08/02/17          13:50                      27                             22,45        4,4                              4,4                       54,4             0,59                      25,4                  0,3"
"31678000   CAPIM             IPIXUNA DO PARA        RIO CAPIM                      -3,1606  -48,0975 CHUVOSO    NÃO                        2017           08/02/17          12:34                    28,7                             25,65        5,6                                6                       77,6            35,94                      28,7                  0,6"
"32549000   GURUPI            PARAGOMINAS            IG. MARITACA                   -2,7767  -47,1684 CHUVOSO    NÃO                        2017           09/02/17          14:32                    27,4                             27,18       5,16                              4,9                       61,1            52,59                     26,67                0,64"
"32550001   GURUPI            PARAGOMINAS            RIO URAIM                      -2,9287  -47,0528 CHUVOSO    NÃO                        2017           09/02/17          10:37                    27,2                             37,46        5,2                             1,48                       18,5            23,74                      26,8                0,64"
"31638000   GUAMA             CONCORDIA DO PARÁ      IGARAPE DA VILA CAPOEIRA     -1,86816  -48,02845 CHUVOSO    NÃO                        2017           13/02/17          16:30                  26,77                              16,33       5,13                             5,44                       67,1             9,89                      26,1                  0,3"
"31720000   CAPIM             AURORA DO PARÁ         RIO CAPIM                   -2,037365 -47,752179 CHUVOSO    NÃO                        2017           13/02/17          15:03                    25,8                             21,63       6,67                             5,77                         74            26,16                     28,26                  0,3"
"31039000   ACARA             ACARÁ                  RIO ACARÁ                      -1,9632 -48,19627 CHUVOSO    NÃO                        2017           13/02/17          13:44                    28,6                             16,18       6,26                             4,47                       56,1            15,76                     27,02                  0,3"
"31640000   GUAMA             BUJARU                 RIO BUJARU                   -1,71557  -47,97973 CHUVOSO    NÃO                        2017           14/02/17           9:13                  24,89                              19,64       5,48                             2,16                       26,7            10,64                     26,14                  0,3"
"31642000   GUAMA             SANTA ISABEL           RIO GUAMÁ                    -1,49582  -48,19072 CHUVOSO    SIM                        2017           15/02/17          13:02                  33,27                              25,36       5,71                             4,44                       57,3            52,66                     28,54                  0,3"
"31641000   GUAMA             BUJARU                 RIO GUAMÁ                    -1,51523  -48,04723 CHUVOSO    SIM                        2017           15/02/17          11:45                  31,28                              24,71       5,69                             4,56                       58,8            35,98                     28,55                  0,4"
"32100000   GUAMA             BENEVIDES              RIO BENFICA                    -1,3132    -48,304 CHUVOSO   SIM                        2017           23/02/17          16:35                  29,53                              49,96       7,07                             6,52                      81,92            20,17                     27,06                  0,3"
"31645001   GUAMA             BELÉM                  RIO GUAMÁ                      -1,4552  -48,4017 CHUVOSO    SIM                        2017           23/02/17          15:10                  30,07                              31,88       8,02                             5,48                       71,2            37,53                     28,96                  0,3"
"31530000   GUAMA             OURÉM                  RIO GUAMÁ                    -1,55183  -47,11294 CHUVOSO    NÃO                        2017           06/03/17          16:54                    26,5                             26,62       6,76                             5,61                       69,8            18,83                     26,59                  0,3"
"31409000   GUAMA             CAPITÃO POÇO           RIO GUAMÁ                       -1,859 -47,05096 CHUVOSO    NÃO                        2017           07/03/17           9:22                  27,26                              19,42       5,86                             4,75                       58,4            14,54                     25,88                  0,3"
"32400001   COSTA ATLANTICA   VISEU                  RIO PIRIÁ                    -1,80199  -46,69789 CHUVOSO    NÃO                        2017           07/03/17          14:30                  28,77                              32,14       5,92                             5,95                       73,8            23,56                   26,351                   0,3"
"32620001   GURUPI            CACHOEIRA DO PIRIA     RIO GURUPI                   -1,80003  -46,31499 CHUVOSO    NÃO                        2017           08/03/17          11:37                  26,04                                39,2      6,19                             4,91                       61,3            44,83                     26,71                  0,8"
