Data;pH;Turbidez;CondutividadeEletrica
20/01/2001;8,14;5,6;99,7
24/02/2001;7,95;0,63;70,2
19/03/2001;7,86;1,46;99,4
03/04/2001;6,5;7,1;92,4
09/05/2001;8,26;4,9;124,4
29/05/2001;8,06;7,6;
11/06/2001;6,88;4,1;97,1
08/08/2001;7,89;5,7;70,7
10/09/2001;7,97;1,9;99,1
10/10/2001;6,72;8,4;95,5
22/11/2001;9,66;19,9;125,4
08/12/2001;7,97;0,97;96
18/12/2001;6,79;32,8;81,9
15/02/2002;8,01;130;127,2
05/04/2002;8,5;0,43;106,2
09/04/2002;5,7;;98,7
30/04/2002;6,7;;19,7
11/06/2002;8,17;4,8;104,5
15/06/2002;5,93;;73,4
09/07/2002;8,49;1,3;93,2
06/08/2002;8,33;2,8;88,5
19/08/2002;7,3;;124,6
20/08/2002;6,65;;61,7
27/08/2002;5,72;;26,8
31/08/2002;5,47;;28,1
10/09/2002;8,36;3,1;89,8
17/09/2002;7,3;;69
18/09/2002;6,6;;10,4
19/09/2002;6,5;;7,2
20/09/2002;6,8;;12
23/09/2002;6,7;;11,9
22/10/2002;5,7;;42,5
24/10/2002;6,3;;28,9
25/10/2002;6,99;;7,23
28/10/2002;6,29;;5,78
29/10/2002;6,44;;5,48
17/11/2002;6,8;;29,1
18/11/2002;7,2;;90,7
28/11/2002;8,32;0,44;97,3
05/12/2002;5,6;;27,6
06/12/2002;5,94;;12,22
07/12/2002;5,91;;16,35
08/12/2002;5,6;;64,7
09/12/2002;6,4;;8,9
12/12/2002;5,59;;67,6
13/12/2002;5,96;;11,61
18/12/2002;8,36;3,1;89,8
28/01/2003;5,73;;5,1
29/01/2003;6,6;;5,6
31/01/2003;6,55;;9,9
31/01/2003;6,63;;26,6
03/02/2003;7,17;;49,4
12/02/2003;8,38;0,61;99
08/03/2003;6,14;;27,9
12/03/2003;5,91;;36,2
14/03/2003;8,08;0,6;88,6
07/04/2003;6,8;;37
08/04/2003;6,4;;10
10/04/2003;6,7;;15
11/04/2003;6,5;;10
12/04/2003;6,6;;13
14/04/2003;;;4,9
15/04/2003;7,7;;6,6
16/04/2003;7,45;;9,8
17/04/2003;7,5;;28,6
19/04/2003;;;51
28/05/2003;8,47;2,4;147,39999
26/06/2003;8,13;0,19;96,4
28/06/2003;5,61;;56,9
02/07/2003;5,67;;54,3
23/08/2003;5,4;;70,2
27/08/2003;6,04;;29,1
28/08/2003;5,69;;12,1
30/08/2003;5,95;;6,2
31/08/2003;3,12;;21,1
10/09/2003;8,21;5;101,9
10/09/2003;8,21;5;101,9
10/09/2003;7,2;;45,1
11/09/2003;6,6;;8
12/09/2003;6,6;;8,6
15/09/2003;6,7;;9,5
16/09/2003;6,7;;6,2
24/09/2003;8,17;1,1;98,8
21/10/2003;5,6;;29,5
24/10/2003;5,21;;54,4
19/11/2003;8,31;0,65;110,6
28/11/2003;5,9;;26,9
28/11/2003;6,9;;40,8
29/11/2003;6,6;;9
01/12/2003;6,3;;8,8
02/12/2003;6,6;;10,8
03/12/2003;6,6;;7,2
05/12/2003;6,9;;29,5
08/12/2003;6,9;;29,4
17/01/2004;7,99;189;4,61
18/03/2004;7,85;185;88,1
29/03/2004;7,74;168;91,5
14/07/2004;8,43;5,3;122
16/07/2004;6,6;;32,9
17/07/2004;7,24;;126,7
11/08/2004;8,24;2;88,7
28/08/2004;5,97;;33,2
16/09/2004;7,1;;28
19/09/2004;8,2;8,7;88,7
20/09/2004;6,8;;26,2
22/09/2004;6,6;;28
23/09/2004;6,6;;27,2
24/09/2004;7,1;;26,3
16/10/2004;7,9;7,5;3,8
06/11/2004;6,42;;31,9
07/11/2004;7;;92,3
22/11/2004;8,5;12,3;90,1
06/12/2004;3,1;;28,1
07/12/2004;6,4;;26,1
08/12/2004;6,3;;27,7
09/12/2004;6,9;;29,9
10/12/2004;6,6;;26,4
15/01/2005;5,95;83;92,5
23/03/2005;8,17;1,96;111,4
19/04/2005;8,42;0,23;118,3
18/06/2005;9,7;;26,4
20/06/2005;9,9;;26,2
20/06/2005;6,2;;14,7
21/06/2005;7,63;;121,2
23/06/2005;9,8;;26,6
23/06/2005;6,2;;12,3
24/06/2005;9,7;;26,8
24/06/2005;6,35;;20
25/06/2005;6,35;;18,5
27/06/2005;10;;26,2
27/06/2005;6,08;;25,6
11/07/2005;7,17;;119,2
12/07/2005;6,66;;29,5
12/07/2005;6,66;;29,5
23/08/2005;6,31;;21
26/08/2005;8,37;0,35;98,1
16/09/2005;8,35;3,3;94,6
07/11/2005;8,3;7,4;
07/11/2005;7,14;;93,2
08/11/2005;7,35;;24,4
28/11/2005;8,14;0,66;69,7
06/01/2006;8,18;0,5;75,3
