Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
01/07/2009;7,54;1,05;;0,3;7,3
01/02/2010;5,4;279;;0,8;6,8
01/05/2010;8,3;15,7;;0,8;8,2
01/08/2010;7,8;1,12;;1,6;8,4
01/11/2010;7,8;262;;1,7;8,4
01/02/2010;5;19,2;;1;7
01/05/2010;7,6;2,86;;1,1;7,5
01/08/2010;7,6;1,45;;1,3;8,3
01/11/2010;7,6;128;;40;7,6
01/02/2010;6,8;3,13;;1,1;6,9
01/05/2010;7,4;2,13;;0,9;8,3
01/08/2010;7,7;0,39;;1,1;8,3
01/11/2010;7,4;13;;10;7,3
01/02/2010;5;1,99;;1,9;6,6
01/05/2010;7,5;2,73;;1,3;7,6
01/08/2010;8,3;0,86;;0,8;7,7
01/11/2010;7,3;35;;10;8,7
01/02/2009;7,86;15,2;;0,8;6,8
01/02/2010;7,6;95;;0,8;5,6
01/05/2010;7,6;1,61;;1,2;7,3
01/08/2010;8,1;0,7;;1,7;8,9
01/11/2010;6,8;208;;20;10
01/07/2009;7,26;1,84;;0,4;8
01/02/2010;7,5;2,47;;0,8;7
01/05/2010;7,3;1,88;;1,1;7,1
01/08/2010;7,8;0,99;;0,3;8,3
01/11/2010;8,6;184;;1,5;7,3
01/07/2009;7,45;1,79;;0,3;8,1
01/02/2010;7,5;4,54;;0,5;7,1
01/05/2010;7,6;3,08;;0,8;3,8
01/08/2010;8;0,93;;0,6;7,4
01/11/2010;8,4;250;;1,6;8,7
10/08/2015;8,35;0,5;35,9;;
23/08/2005;6,31;;21;;7,3
28/08/2004;5,97;;33,2;;5,5
25/08/2010;6,79;3,41;0,045;;7,21
25/06/2009;6,75;3,28;39;;7,76
07/11/2015;8,49;0,5;35,4;;6,82
20/06/2017;8,96;117,4;59,2;;
11/10/2013;7,92;2,9;31,1;;7,24
20/03/2015;8,5;4,8;12,7;;7,34
25/09/2009;6,7;5,71;44;;7,2
21/06/2012;6,98;6,35;29;;
27/07/2011;6,94;6,24;40;;9,2
17/07/2018;7,46;1,44;;;7,35
07/12/2010;7,1;47,2;0,02;;6,84
21/10/2016;8,96;34;53,9;;6,03
05/12/2012;;6,72;;;
01/10/2012;7,08;4,84;40;;
23/03/2017;6,81;54,01;41,01;;6,31
17/07/2013;8,4;38,8;;;
23/04/2013;7,9;69,4;17,2;;95,2
20/03/2014;6,74;40,8;14,5;;7,16
10/11/2011;6,94;13,8;22;;3,1
29/03/2012;6,74;22,5;16;;
24/10/2018;7,3;17,9;;;7,12
30/01/2008;7,64;14;;1,7;5,8
17/04/2008;7,6;17;;0;6,6
24/03/2011;6,63;21;;2;8,6
02/07/2011;8,08;2;;2;8,2
31/08/2011;7,85;3;;2;7,6
23/08/2008;6,94;0;;0,6;7,8
20/11/2008;7,2;3;;3,6;9,5
14/06/2009;7,66;3;;0,2;6,3
12/02/2010;8,27;18;;1,3;5,9
25/05/2010;7,35;4;;2,36;6,9
26/10/2010;8,31;50;;0,59;7,2
19/08/2017;7,23;20,4;;;6,72
22/07/2015;6,39;;45,2;;8,02
03/12/2018;7,98;82,95;;;7,03
14/02/2017;8,42;58,9;36,9;;6,9
06/04/2015;8,37;;35,2;;7,02
26/09/2013;6,94;6,86;56,2;;7,68
04/12/2017;7,44;42,07;;;7,75
29/04/2017;7,46;;38,3;;7
09/10/2014;7,75;;56,4;;7,17
12/06/2018;7,7;9,67;;;8,32
25/10/2016;6,78;0;50,02;;6,69
29/04/2017;7,46;;38,3;;7
07/06/2016;6,07;;43,4;;7,1
29/03/2014;7,19;305,70001;33,4;;
10/07/2014;7,11;;45,7;;7,97
27/10/2017;7,29;12,4;0;;6,06
08/04/2016;6,35;;45,9;;7,21
20/10/2015;6,89;;54;;6,33
24/08/2018;7,51;14,11;;;7,33
11/10/2018;7,79;13,06;;;6,94
22/01/2019;7,03;30,07;;;7,06
28/04/2017;7,22;;45,2;;6,94
30/11/2018;7,91;41,7;;;6,93
13/04/2015;7,14;;;;92,5
13/02/2017;8,34;291,79999;30,8;;5,53
21/11/2013;6,83;70,5;68,4;;6,52
04/12/2017;7,87;58,66;;;7,51
24/04/2014;7,32;215;40,6;;7,2
23/11/2016;7,14;221;40,9;;
23/01/2019;7,32;18,89;;;6,84
26/10/2017;7,65;2,56;0;;7,72
08/12/2015;6,51;;46,6;;7,05
13/06/2018;7,73;2,52;;;7,89
28/04/2017;7,22;;45,2;;6,94
01/09/2015;8,43;0,1;17,7;;6,91
23/08/2018;7,91;2,14;;;8,69
20/08/2017;7,59;1,4;;;6,25
15/10/2018;7,99;5,3;;;6,76
14/01/1983;5,8;;92;;6,7
20/04/1983;5,6;;145;;4,2
20/04/1983;5,6;;145;;4,2
19/07/1983;8,1;;133;;
27/04/1984;7,6;;105;;7,4
17/06/1984;6,4;;146;;7,9
