periodode;periodoate;cod_interaguas;tipo_rede;UGRHI;codigo_ponto;status_ponto;data_coleta;hora_coleta;parametro;sinal;valor;unidade;tipo_parametro;sistema_hidrico;tipo_sistema_hidrico;classe;municipio;uf;inicio_operacao;fim_operacao;Latitude;Longitude;Altitude;Localizacao;Captacao;Lat;Long
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;08/02/1995;14:15;pH;;6.9;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;03/04/1995;14:50;pH;;6.7;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;24/05/1995;15:30;pH;;6.6;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;26/06/1995;14:00;pH;;6.6;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;12/07/1995;15:15;pH;;6.6;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;23/08/1995;14:30;pH;;6.8;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;21/09/1995;11:20;pH;;7.00;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;10/10/1995;15:00;pH;;7.1;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;07/11/1995;12:45;pH;;8.5;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;06/12/1995;15:00;pH;;8.1;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;31/01/1996;14:00;pH;;7.6;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;13/02/1996;10:40;pH;;6.7;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;17/04/1996;15:00;pH;;7.5;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;24/07/1996;13:30;pH;;7.5;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;21/08/1996;12:00;pH;;8.00;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;25/09/1996;12:00;pH;;7.7;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;22/10/1996;11:50;pH;;7.1;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;20/11/1996;13:00;pH;;7.5;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;04/12/1996;12:15;pH;;8.7;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/01/1997;12:00;pH;;7.00;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/02/1997;12:00;pH;;7.1;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/03/1997;12:00;pH;;7.2;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/04/1997;12:00;pH;;7.6;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/05/1997;12:00;pH;;7.4;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/06/1997;12:00;pH;;7.1;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/07/1997;12:00;pH;;7.4;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/08/1997;12:00;pH;;7.6;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/09/1997;12:00;pH;;7.5;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;01/10/1997;12:00;pH;;7.3;U.pH;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N;-22678056;-48251667
