tecnica,parametro,amostras,mape,rmse,lag
Baseline,Coliformes Termotolerantes,46,43.31,1.55,1
Baseline,Coliformes Termotolerantes,46,48.01,1.71,2
Baseline,Coliformes Termotolerantes,46,34.58,1.39,3
Baseline,Coliformes Termotolerantes,46,39.59,1.48,4
Baseline,Coliformes Termotolerantes,46,31.72,1.31,5
Baseline,Coliformes Termotolerantes,46,34.15,1.35,6
Baseline,Coliformes Termotolerantes,46,44.82,1.71,7
Baseline,Coliformes Termotolerantes,46,40.45,1.65,8
Baseline,Coliformes Termotolerantes,46,31.78,1.34,9
Baseline,Coliformes Termotolerantes,46,40.77,1.43,10
Baseline,Oxigênio Dissolvido,62,54.08,2.46,1
Baseline,Oxigênio Dissolvido,62,46.23,2.31,2
Baseline,Oxigênio Dissolvido,62,51.92,2.47,3
Baseline,Oxigênio Dissolvido,62,45.19,2.15,4
Baseline,Oxigênio Dissolvido,62,46.73,2.3,5
Baseline,Oxigênio Dissolvido,62,45.22,2.31,6
Baseline,Oxigênio Dissolvido,62,41.46,2.11,7
Baseline,Oxigênio Dissolvido,62,51.82,2.41,8
Baseline,Oxigênio Dissolvido,62,45.71,2.2,9
Baseline,Oxigênio Dissolvido,62,50.54,2.49,10
Baseline,Turbidez,57,101.4,6.3,1
Baseline,Turbidez,57,93.17,6.08,2
Baseline,Turbidez,57,106.91,6.99,3
Baseline,Turbidez,57,106.4,6.48,4
Baseline,Turbidez,57,74.52,5.59,5
Baseline,Turbidez,57,102.36,6.13,6
Baseline,Turbidez,57,100.93,6.62,7
Baseline,Turbidez,57,91.11,5.77,8
Baseline,Turbidez,57,92.85,5.99,9
Baseline,Turbidez,57,79.25,5.85,10
Baseline,Fósforo Total,58,91.51,0.03,1
Baseline,Fósforo Total,58,118.51,0.04,2
Baseline,Fósforo Total,58,105.76,0.04,3
Baseline,Fósforo Total,58,74.79,0.03,4
Baseline,Fósforo Total,58,82.76,0.03,5
Baseline,Fósforo Total,58,120.71,0.04,6
Baseline,Fósforo Total,58,134.86,0.04,7
Baseline,Fósforo Total,58,95.22,0.03,8
Baseline,Fósforo Total,58,84.12,0.03,9
Baseline,Fósforo Total,58,119.07,0.04,10
Baseline,Sólido Total,62,4.71,10.31,1
Baseline,Sólido Total,62,4.65,10.33,2
Baseline,Sólido Total,62,4.73,10.41,3
Baseline,Sólido Total,62,4.18,9.75,4
Baseline,Sólido Total,62,4.69,10.39,5
Baseline,Sólido Total,62,3.63,8.68,6
Baseline,Sólido Total,62,5.08,10.78,7
Baseline,Sólido Total,62,3.93,9.57,8
Baseline,Sólido Total,62,4.62,10.17,9
Baseline,Sólido Total,62,3.2,8.45,10
Baseline,"DBO (5, 20)",49,5.51,0.42,1
Baseline,"DBO (5, 20)",49,4.08,0.36,2
Baseline,"DBO (5, 20)",49,5.43,0.42,3
Baseline,"DBO (5, 20)",49,5.56,0.43,4
Baseline,"DBO (5, 20)",49,5.68,0.43,5
Baseline,"DBO (5, 20)",49,5.81,0.44,6
Baseline,"DBO (5, 20)",49,5.16,0.42,7
Baseline,"DBO (5, 20)",49,5.28,0.42,8
Baseline,"DBO (5, 20)",49,3.96,0.36,9
Baseline,"DBO (5, 20)",49,5.56,0.43,10
Baseline,Temperatura da Água,59,11.15,2.94,1
Baseline,Temperatura da Água,59,10.09,2.98,2
Baseline,Temperatura da Água,59,10.76,2.89,3
Baseline,Temperatura da Água,59,11.56,3.09,4
Baseline,Temperatura da Água,59,9.57,2.58,5
Baseline,Temperatura da Água,59,9.87,2.79,6
Baseline,Temperatura da Água,59,11.26,3.0,7
Baseline,Temperatura da Água,59,10.21,2.87,8
Baseline,Temperatura da Água,59,11.72,3.32,9
Baseline,Temperatura da Água,59,11.85,3.07,10
Baseline,pH,54,3.77,0.3,1
Baseline,pH,54,3.15,0.27,2
Baseline,pH,54,3.79,0.31,3
Baseline,pH,54,3.28,0.26,4
Baseline,pH,54,3.47,0.27,5
Baseline,pH,54,3.4,0.3,6
Baseline,pH,54,3.78,0.29,7
Baseline,pH,54,4.39,0.35,8
Baseline,pH,54,3.7,0.31,9
Baseline,pH,54,4.47,0.35,10
