tecnica,parametro,amostras,mape,rmse,lag
Regressão Linear,Coliformes Termotolerantes,46,55.41,1.72,1
Random Forest,Coliformes Termotolerantes,46,55.37,1.71,1
MLP,Coliformes Termotolerantes,46,66.93,2.89,1
LSTM,Coliformes Termotolerantes,46,47.23,1.52,1
Regressão Linear,Coliformes Termotolerantes,46,41.82,1.95,2
Random Forest,Coliformes Termotolerantes,46,41.84,1.65,2
MLP,Coliformes Termotolerantes,46,723.79,24.53,2
LSTM,Coliformes Termotolerantes,46,53.61,2.52,2
Regressão Linear,Coliformes Termotolerantes,46,44.77,2.01,3
Random Forest,Coliformes Termotolerantes,46,40.35,1.81,3
MLP,Coliformes Termotolerantes,46,56.13,2.33,3
LSTM,Coliformes Termotolerantes,46,39.58,1.7,3
Regressão Linear,Coliformes Termotolerantes,46,44.88,2.04,4
Random Forest,Coliformes Termotolerantes,46,38.26,1.73,4
MLP,Coliformes Termotolerantes,46,723.79,24.53,4
LSTM,Coliformes Termotolerantes,46,48.21,2.17,4
Regressão Linear,Coliformes Termotolerantes,46,46.34,2.08,5
Random Forest,Coliformes Termotolerantes,46,40.02,1.8,5
MLP,Coliformes Termotolerantes,46,40.76,1.49,5
LSTM,Coliformes Termotolerantes,46,58.66,2.61,5
Regressão Linear,Coliformes Termotolerantes,46,45.31,2.06,6
Random Forest,Coliformes Termotolerantes,46,40.45,1.83,6
MLP,Coliformes Termotolerantes,46,723.79,24.53,6
LSTM,Coliformes Termotolerantes,46,72.91,3.09,6
Regressão Linear,Coliformes Termotolerantes,46,49.29,2.2,7
Random Forest,Coliformes Termotolerantes,46,41.26,1.82,7
MLP,Coliformes Termotolerantes,46,722.33,24.47,7
LSTM,Coliformes Termotolerantes,46,40.92,1.81,7
Regressão Linear,Coliformes Termotolerantes,46,48.63,2.21,8
Random Forest,Coliformes Termotolerantes,46,40.68,1.77,8
MLP,Coliformes Termotolerantes,46,723.79,24.53,8
LSTM,Coliformes Termotolerantes,46,43.49,1.89,8
Regressão Linear,Coliformes Termotolerantes,46,56.96,2.55,9
Random Forest,Coliformes Termotolerantes,46,52.43,3.18,9
MLP,Coliformes Termotolerantes,46,52.27,2.48,9
LSTM,Coliformes Termotolerantes,46,723.79,24.53,9
Regressão Linear,Coliformes Termotolerantes,46,70.96,3.18,10
Random Forest,Coliformes Termotolerantes,46,65.34,3.85,10
MLP,Coliformes Termotolerantes,46,52.05,2.05,10
LSTM,Coliformes Termotolerantes,46,115.57,4.49,10
Regressão Linear,Oxigênio Dissolvido,62,34.02,1.85,1
Random Forest,Oxigênio Dissolvido,62,33.87,1.81,1
MLP,Oxigênio Dissolvido,62,35.57,1.79,1
LSTM,Oxigênio Dissolvido,62,35.33,1.79,1
Regressão Linear,Oxigênio Dissolvido,62,35.91,2.0,2
Random Forest,Oxigênio Dissolvido,62,38.24,2.08,2
MLP,Oxigênio Dissolvido,62,38.76,2.24,2
LSTM,Oxigênio Dissolvido,62,36.99,2.13,2
Regressão Linear,Oxigênio Dissolvido,62,35.15,2.06,3
Random Forest,Oxigênio Dissolvido,62,36.85,2.17,3
MLP,Oxigênio Dissolvido,62,38.81,2.35,3
LSTM,Oxigênio Dissolvido,62,34.5,1.96,3
Regressão Linear,Oxigênio Dissolvido,62,34.77,2.03,4
Random Forest,Oxigênio Dissolvido,62,36.79,2.13,4
MLP,Oxigênio Dissolvido,62,38.51,2.19,4
LSTM,Oxigênio Dissolvido,62,36.82,2.11,4
Regressão Linear,Oxigênio Dissolvido,62,34.7,2.01,5
Random Forest,Oxigênio Dissolvido,62,36.08,2.05,5
MLP,Oxigênio Dissolvido,62,37.96,2.15,5
LSTM,Oxigênio Dissolvido,62,61.94,3.65,5
Regressão Linear,Oxigênio Dissolvido,62,34.72,1.99,6
Random Forest,Oxigênio Dissolvido,62,35.13,2.0,6
MLP,Oxigênio Dissolvido,62,36.67,2.14,6
LSTM,Oxigênio Dissolvido,62,34.67,1.97,6
Regressão Linear,Oxigênio Dissolvido,62,34.39,1.96,7
Random Forest,Oxigênio Dissolvido,62,35.14,1.98,7
MLP,Oxigênio Dissolvido,62,37.62,2.09,7
LSTM,Oxigênio Dissolvido,62,35.49,2.04,7
Regressão Linear,Oxigênio Dissolvido,62,34.88,2.0,8
Random Forest,Oxigênio Dissolvido,62,33.91,1.95,8
MLP,Oxigênio Dissolvido,62,61.94,3.65,8
LSTM,Oxigênio Dissolvido,62,35.55,2.09,8
Regressão Linear,Oxigênio Dissolvido,62,34.97,1.98,9
Random Forest,Oxigênio Dissolvido,62,35.33,2.0,9
MLP,Oxigênio Dissolvido,62,36.65,2.01,9
LSTM,Oxigênio Dissolvido,62,33.85,1.96,9
Regressão Linear,Oxigênio Dissolvido,62,35.02,1.92,10
Random Forest,Oxigênio Dissolvido,62,35.22,1.96,10
MLP,Oxigênio Dissolvido,62,34.1,1.97,10
LSTM,Oxigênio Dissolvido,62,35.07,1.67,10
Regressão Linear,Turbidez,57,77.88,4.41,1
Random Forest,Turbidez,57,93.37,5.27,1
MLP,Turbidez,57,67.65,4.55,1
LSTM,Turbidez,57,71.48,4.47,1
Regressão Linear,Turbidez,57,78.32,4.45,2
Random Forest,Turbidez,57,102.92,5.22,2
MLP,Turbidez,57,71.62,6.95,2
LSTM,Turbidez,57,67.33,4.47,2
Regressão Linear,Turbidez,57,73.76,4.31,3
Random Forest,Turbidez,57,103.78,5.02,3
MLP,Turbidez,57,61.9,4.49,3
LSTM,Turbidez,57,76.15,4.62,3
Regressão Linear,Turbidez,57,72.8,4.31,4
Random Forest,Turbidez,57,92.28,4.59,4
MLP,Turbidez,57,71.62,6.95,4
LSTM,Turbidez,57,59.16,4.53,4
Regressão Linear,Turbidez,57,69.37,4.23,5
Random Forest,Turbidez,57,90.22,4.53,5
MLP,Turbidez,57,57.43,4.89,5
LSTM,Turbidez,57,58.55,4.6,5
Regressão Linear,Turbidez,57,68.7,4.26,6
Random Forest,Turbidez,57,88.24,4.46,6
MLP,Turbidez,57,105.25,5.8,6
LSTM,Turbidez,57,61.02,4.54,6
Regressão Linear,Turbidez,57,68.93,4.28,7
Random Forest,Turbidez,57,96.08,4.74,7
MLP,Turbidez,57,89.44,5.06,7
LSTM,Turbidez,57,69.6,4.81,7
Regressão Linear,Turbidez,57,69.13,4.29,8
Random Forest,Turbidez,57,93.25,4.71,8
MLP,Turbidez,57,96.32,5.43,8
LSTM,Turbidez,57,64.95,4.68,8
Regressão Linear,Turbidez,57,63.67,4.37,9
Random Forest,Turbidez,57,78.14,4.58,9
MLP,Turbidez,57,81.04,5.14,9
LSTM,Turbidez,57,58.53,4.82,9
Regressão Linear,Turbidez,57,65.18,4.43,10
Random Forest,Turbidez,57,79.05,4.66,10
MLP,Turbidez,57,71.21,5.09,10
LSTM,Turbidez,57,60.64,4.56,10
Regressão Linear,Fósforo Total,58,97.3,0.02,1
Random Forest,Fósforo Total,58,90.75,0.03,1
MLP,Fósforo Total,58,72.19,0.04,1
LSTM,Fósforo Total,58,79.95,0.02,1
