data_coleta,observado,previsao,lags,tecnica
2001-09-30,3.71,5.17,1,Regressão Linear
2001-11-30,1.95,5.14,1,Regressão Linear
2002-03-31,5.48,5.18,1,Regressão Linear
2002-05-31,3.61,5.09,1,Regressão Linear
2002-07-31,2.08,5.14,1,Regressão Linear
2002-09-30,3.99,5.18,1,Regressão Linear
2003-01-31,4.79,5.13,1,Regressão Linear
2003-04-30,2.83,5.11,1,Regressão Linear
2003-05-31,3.71,5.16,1,Regressão Linear
2003-09-30,3.53,5.14,1,Regressão Linear
2003-10-31,2.64,5.14,1,Regressão Linear
2004-03-31,4.61,5.17,1,Regressão Linear
2004-05-31,3.09,5.11,1,Regressão Linear
2004-07-31,3.66,5.15,1,Regressão Linear
2004-09-30,3.58,5.14,1,Regressão Linear
2004-10-31,4.16,5.14,1,Regressão Linear
2005-01-31,4.85,5.12,1,Regressão Linear
2005-03-31,5.19,5.11,1,Regressão Linear
2005-07-31,2.64,5.1,1,Regressão Linear
2005-09-30,3.37,5.17,1,Regressão Linear
2005-12-31,4.33,5.15,1,Regressão Linear
2006-07-31,3.07,5.12,1,Regressão Linear
2006-08-31,5.0,5.15,1,Regressão Linear
2006-10-31,4.52,5.1,1,Regressão Linear
2006-12-31,1.1,5.11,1,Regressão Linear
2007-08-31,4.72,5.21,1,Regressão Linear
2007-09-30,4.9,5.11,1,Regressão Linear
2007-11-30,4.97,5.1,1,Regressão Linear
2008-03-31,3.83,5.1,1,Regressão Linear
2008-04-30,2.08,5.13,1,Regressão Linear
2008-07-31,3.26,5.18,1,Regressão Linear
2008-08-31,4.28,5.15,1,Regressão Linear
2008-11-30,5.28,5.12,1,Regressão Linear
2009-07-31,3.43,5.09,1,Regressão Linear
2009-08-31,4.38,5.14,1,Regressão Linear
2009-11-30,5.66,5.12,1,Regressão Linear
2010-03-31,4.88,5.08,1,Regressão Linear
2010-05-31,3.83,5.1,1,Regressão Linear
2010-07-31,3.4,5.13,1,Regressão Linear
2010-09-30,3.53,5.15,1,Regressão Linear
2010-11-30,4.16,5.14,1,Regressão Linear
2011-03-31,3.69,5.12,1,Regressão Linear
2011-05-31,4.09,5.14,1,Regressão Linear
2011-07-31,1.1,5.13,1,Regressão Linear
2011-08-31,2.83,5.21,1,Regressão Linear
2011-11-30,4.26,5.16,1,Regressão Linear
2001-09-30,3.71,5.13,1,Random Forest
2001-11-30,1.95,5.13,1,Random Forest
2002-03-31,5.48,5.13,1,Random Forest
2002-05-31,3.61,5.24,1,Random Forest
2002-07-31,2.08,5.13,1,Random Forest
2002-09-30,3.99,5.13,1,Random Forest
2003-01-31,4.79,5.13,1,Random Forest
2003-04-30,2.83,5.13,1,Random Forest
2003-05-31,3.71,5.13,1,Random Forest
2003-09-30,3.53,5.13,1,Random Forest
2003-10-31,2.64,5.13,1,Random Forest
2004-03-31,4.61,5.13,1,Random Forest
2004-05-31,3.09,5.13,1,Random Forest
2004-07-31,3.66,5.13,1,Random Forest
2004-09-30,3.58,5.13,1,Random Forest
2004-10-31,4.16,5.13,1,Random Forest
2005-01-31,4.85,5.13,1,Random Forest
2005-03-31,5.19,5.26,1,Random Forest
2005-07-31,2.64,4.96,1,Random Forest
2005-09-30,3.37,5.13,1,Random Forest
2005-12-31,4.33,5.13,1,Random Forest
2006-07-31,3.07,5.13,1,Random Forest
