data_coleta,observado,previsao,lags,tecnica
2006-12-31,6.4,4.27,1,Regressão Linear
2007-07-31,5.7,4.32,1,Regressão Linear
2007-08-31,4.1,4.21,1,Regressão Linear
2007-09-30,3.95,3.97,1,Regressão Linear
2007-11-30,4.15,3.95,1,Regressão Linear
2008-03-31,2.6,3.98,1,Regressão Linear
2008-04-30,6.5,3.74,1,Regressão Linear
2008-07-31,7.2,4.33,1,Regressão Linear
2008-08-31,3.0,4.44,1,Regressão Linear
2008-11-30,4.0,3.8,1,Regressão Linear
2009-07-31,6.6,3.95,1,Regressão Linear
2009-08-31,3.1,4.35,1,Regressão Linear
2009-09-30,5.1,3.82,1,Regressão Linear
2009-10-31,1.6,4.12,1,Regressão Linear
2009-11-30,3.7,3.59,1,Regressão Linear
2010-03-31,2.3,3.91,1,Regressão Linear
2010-05-31,6.7,3.7,1,Regressão Linear
2010-07-31,4.25,4.36,1,Regressão Linear
2010-09-30,6.2,3.99,1,Regressão Linear
2010-11-30,5.4,4.29,1,Regressão Linear
2011-03-31,3.3,4.17,1,Regressão Linear
2011-05-31,6.1,3.85,1,Regressão Linear
2011-06-30,4.3,4.27,1,Regressão Linear
2011-07-31,7.0,4.0,1,Regressão Linear
2011-08-31,6.9,4.41,1,Regressão Linear
2011-11-30,3.4,4.39,1,Regressão Linear
2012-01-31,3.0,3.86,1,Regressão Linear
2012-05-31,7.2,3.8,1,Regressão Linear
2012-07-31,5.15,4.44,1,Regressão Linear
2012-09-30,4.7,4.13,1,Regressão Linear
2012-11-30,4.64,4.06,1,Regressão Linear
2013-04-30,7.5,4.05,1,Regressão Linear
2013-05-31,6.33,4.48,1,Regressão Linear
2013-06-30,2.34,4.31,1,Regressão Linear
2013-09-30,6.62,3.7,1,Regressão Linear
2013-10-31,5.1,4.35,1,Regressão Linear
2013-11-30,5.53,4.12,1,Regressão Linear
2014-01-31,1.61,4.19,1,Regressão Linear
2014-05-31,6.9,3.59,1,Regressão Linear
2014-07-31,6.59,4.39,1,Regressão Linear
2014-09-30,7.27,4.35,1,Regressão Linear
2014-11-30,6.39,4.45,1,Regressão Linear
2014-12-31,3.53,4.32,1,Regressão Linear
2015-01-31,5.1,3.88,1,Regressão Linear
2015-05-31,4.26,4.12,1,Regressão Linear
2015-07-31,7.22,4.0,1,Regressão Linear
2015-09-30,6.02,4.44,1,Regressão Linear
2015-11-30,4.84,4.26,1,Regressão Linear
2016-01-31,2.85,4.08,1,Regressão Linear
2016-07-31,5.44,3.78,1,Regressão Linear
2016-09-30,4.06,4.17,1,Regressão Linear
2016-10-31,4.98,3.96,1,Regressão Linear
2016-11-30,3.46,4.1,1,Regressão Linear
2017-07-31,6.37,3.87,1,Regressão Linear
2017-09-30,4.32,4.31,1,Regressão Linear
2017-11-30,3.03,4.0,1,Regressão Linear
2018-05-31,6.21,3.81,1,Regressão Linear
2018-08-31,2.48,4.29,1,Regressão Linear
2018-09-30,6.82,3.73,1,Regressão Linear
2018-10-31,3.7,4.38,1,Regressão Linear
2018-11-30,4.31,3.91,1,Regressão Linear
2019-09-30,2.35,4.0,1,Regressão Linear
2006-12-31,6.4,4.49,1,Random Forest
2007-07-31,5.7,3.98,1,Random Forest
2007-08-31,4.1,3.45,1,Random Forest
2007-09-30,3.95,3.18,1,Random Forest
2007-11-30,4.15,3.49,1,Random Forest
2008-03-31,2.6,2.2,1,Random Forest
2008-04-30,6.5,3.15,1,Random Forest
2008-07-31,7.2,3.98,1,Random Forest
2008-08-31,3.0,5.07,1,Random Forest
2008-11-30,4.0,3.77,1,Random Forest
2009-07-31,6.6,4.35,1,Random Forest
2009-08-31,3.1,3.98,1,Random Forest
2009-09-30,5.1,4.66,1,Random Forest
2009-10-31,1.6,4.44,1,Random Forest
2009-11-30,3.7,4.74,1,Random Forest
2010-03-31,2.3,2.66,1,Random Forest
2010-05-31,6.7,4.06,1,Random Forest
2010-07-31,4.25,4.04,1,Random Forest
2010-09-30,6.2,4.91,1,Random Forest
2010-11-30,5.4,3.98,1,Random Forest
2011-03-31,3.3,5.02,1,Random Forest
2011-05-31,6.1,3.25,1,Random Forest
2011-06-30,4.3,4.49,1,Random Forest
2011-07-31,7.0,3.71,1,Random Forest
2011-08-31,6.9,5.07,1,Random Forest
2011-11-30,3.4,5.07,1,Random Forest
2012-01-31,3.0,3.9,1,Random Forest
2012-05-31,7.2,3.77,1,Random Forest
2012-07-31,5.15,5.07,1,Random Forest
2012-09-30,4.7,4.4,1,Random Forest
2012-11-30,4.64,5.35,1,Random Forest
2013-04-30,7.5,4.3,1,Random Forest
2013-05-31,6.33,5.07,1,Random Forest
2013-06-30,2.34,3.98,1,Random Forest
2013-09-30,6.62,4.62,1,Random Forest
2013-10-31,5.1,4.01,1,Random Forest
2013-11-30,5.53,4.44,1,Random Forest
2014-01-31,1.61,4.63,1,Random Forest
2014-05-31,6.9,4.74,1,Random Forest
2014-07-31,6.59,5.07,1,Random Forest
2014-09-30,7.27,3.98,1,Random Forest
2014-11-30,6.39,5.07,1,Random Forest
2014-12-31,3.53,3.98,1,Random Forest
2015-01-31,5.1,3.42,1,Random Forest
2015-05-31,4.26,4.44,1,Random Forest
2015-07-31,7.22,3.74,1,Random Forest
2015-09-30,6.02,5.07,1,Random Forest
2015-11-30,4.84,4.54,1,Random Forest
2016-01-31,2.85,4.22,1,Random Forest
2016-07-31,5.44,2.79,1,Random Forest
2016-09-30,4.06,5.02,1,Random Forest
2016-10-31,4.98,4.33,1,Random Forest
2016-11-30,3.46,4.0,1,Random Forest
2017-07-31,6.37,4.16,1,Random Forest
2017-09-30,4.32,3.98,1,Random Forest
2017-11-30,3.03,3.69,1,Random Forest
2018-05-31,6.21,4.25,1,Random Forest
2018-08-31,2.48,3.98,1,Random Forest
2018-09-30,6.82,3.77,1,Random Forest
2018-10-31,3.7,4.23,1,Random Forest
2018-11-30,4.31,2.66,1,Random Forest
2019-09-30,2.35,3.69,1,Random Forest
2006-12-31,6.4,4.71,1,MLP
2007-07-31,5.7,4.81,1,MLP
2007-08-31,4.1,4.58,1,MLP
2007-09-30,3.95,4.07,1,MLP
2007-11-30,4.15,4.02,1,MLP
2008-03-31,2.6,4.09,1,MLP
2008-04-30,6.5,3.82,1,MLP
2008-07-31,7.2,4.84,1,MLP
2008-08-31,3.0,5.06,1,MLP
2008-11-30,4.0,3.81,1,MLP
2009-07-31,6.6,4.04,1,MLP
2009-08-31,3.1,4.87,1,MLP
2009-09-30,5.1,3.8,1,MLP
2009-10-31,1.6,4.39,1,MLP
2009-11-30,3.7,3.84,1,MLP
2010-03-31,2.3,3.94,1,MLP
2010-05-31,6.7,3.84,1,MLP
2010-07-31,4.25,4.9,1,MLP
2010-09-30,6.2,4.12,1,MLP
2010-11-30,5.4,4.74,1,MLP
2011-03-31,3.3,4.49,1,MLP
2011-05-31,6.1,3.82,1,MLP
2011-06-30,4.3,4.71,1,MLP
2011-07-31,7.0,4.14,1,MLP
2011-08-31,6.9,5.0,1,MLP
2011-11-30,3.4,4.97,1,MLP
2012-01-31,3.0,3.85,1,MLP
2012-05-31,7.2,3.81,1,MLP
2012-07-31,5.15,5.06,1,MLP
2012-09-30,4.7,4.41,1,MLP
2012-11-30,4.64,4.26,1,MLP
2013-04-30,7.5,4.24,1,MLP
2013-05-31,6.33,5.16,1,MLP
2013-06-30,2.34,4.79,1,MLP
2013-09-30,6.62,3.84,1,MLP
2013-10-31,5.1,4.88,1,MLP
2013-11-30,5.53,4.39,1,MLP
2014-01-31,1.61,4.53,1,MLP
2014-05-31,6.9,3.84,1,MLP
2014-07-31,6.59,4.97,1,MLP
2014-09-30,7.27,4.87,1,MLP
2014-11-30,6.39,5.09,1,MLP
2014-12-31,3.53,4.8,1,MLP
2015-01-31,5.1,3.89,1,MLP
2015-05-31,4.26,4.39,1,MLP
2015-07-31,7.22,4.12,1,MLP
2015-09-30,6.02,5.07,1,MLP
2015-11-30,4.84,4.69,1,MLP
2016-01-31,2.85,4.31,1,MLP
2016-07-31,5.44,3.81,1,MLP
2016-09-30,4.06,4.5,1,MLP
2016-10-31,4.98,4.06,1,MLP
2016-11-30,3.46,4.35,1,MLP
2017-07-31,6.37,3.87,1,MLP
2017-09-30,4.32,4.8,1,MLP
2017-11-30,3.03,4.14,1,MLP
2018-05-31,6.21,3.81,1,MLP
2018-08-31,2.48,4.75,1,MLP
2018-09-30,6.82,3.83,1,MLP
2018-10-31,3.7,4.94,1,MLP
2018-11-30,4.31,3.94,1,MLP
2019-09-30,2.35,4.14,1,MLP
2006-12-31,6.4,4.62,1,LSTM
2007-07-31,5.7,4.7,1,LSTM
2007-08-31,4.1,4.53,1,LSTM
2007-09-30,3.95,4.16,1,LSTM
2007-11-30,4.15,4.12,1,LSTM
2008-03-31,2.6,4.17,1,LSTM
2008-04-30,6.5,3.81,1,LSTM
2008-07-31,7.2,4.72,1,LSTM
2008-08-31,3.0,4.89,1,LSTM
2008-11-30,4.0,3.9,1,LSTM
