data_coleta,observado,previsao,lags,tecnica
2006-12-31,20.0,22.69,1,Regressão Linear
2007-08-31,23.2,22.69,1,Regressão Linear
2007-09-30,21.15,22.65,1,Regressão Linear
2007-11-30,19.7,22.67,1,Regressão Linear
2008-03-31,23.7,22.69,1,Regressão Linear
2008-04-30,20.4,22.64,1,Regressão Linear
2008-07-31,18.7,22.68,1,Regressão Linear
2008-08-31,20.8,22.7,1,Regressão Linear
2008-11-30,21.0,22.68,1,Regressão Linear
2009-07-31,20.15,22.67,1,Regressão Linear
2009-08-31,23.6,22.69,1,Regressão Linear
2009-09-30,18.7,22.64,1,Regressão Linear
2009-10-31,22.8,22.7,1,Regressão Linear
2009-11-30,21.9,22.65,1,Regressão Linear
2010-03-31,22.6,22.66,1,Regressão Linear
2010-05-31,20.2,22.66,1,Regressão Linear
2010-07-31,21.1,22.68,1,Regressão Linear
2010-09-30,19.8,22.67,1,Regressão Linear
2010-11-30,21.6,22.69,1,Regressão Linear
2011-03-31,22.9,22.67,1,Regressão Linear
2011-05-31,20.2,22.65,1,Regressão Linear
2011-06-30,23.3,22.68,1,Regressão Linear
2011-07-31,18.6,22.65,1,Regressão Linear
2011-08-31,19.3,22.7,1,Regressão Linear
2011-11-30,21.7,22.7,1,Regressão Linear
2012-01-31,21.1,22.67,1,Regressão Linear
2012-05-31,20.7,22.67,1,Regressão Linear
2012-07-31,20.55,22.68,1,Regressão Linear
2012-09-30,19.1,22.68,1,Regressão Linear
2012-11-30,25.5,22.7,1,Regressão Linear
2013-04-30,18.17,22.62,1,Regressão Linear
2013-05-31,19.49,22.71,1,Regressão Linear
2013-06-30,24.19,22.69,1,Regressão Linear
2013-09-30,18.51,22.64,1,Regressão Linear
2013-10-31,22.39,22.7,1,Regressão Linear
2013-11-30,21.13,22.66,1,Regressão Linear
2014-01-31,23.0,22.67,1,Regressão Linear
2014-05-31,21.26,22.65,1,Regressão Linear
2014-07-31,18.1,22.67,1,Regressão Linear
2014-09-30,22.5,22.71,1,Regressão Linear
2014-11-30,24.1,22.66,1,Regressão Linear
2014-12-31,25.68,22.64,1,Regressão Linear
2015-01-31,29.0,22.62,1,Regressão Linear
2015-05-31,21.4,22.58,1,Regressão Linear
2015-07-31,18.8,22.67,1,Regressão Linear
2015-09-30,22.2,22.7,1,Regressão Linear
2015-11-30,24.6,22.66,1,Regressão Linear
2016-01-31,23.62,22.63,1,Regressão Linear
2016-09-30,21.34,22.64,1,Regressão Linear
2016-10-31,21.4,22.67,1,Regressão Linear
2016-11-30,22.01,22.67,1,Regressão Linear
2017-09-30,20.67,22.66,1,Regressão Linear
2017-11-30,21.75,22.68,1,Regressão Linear
2018-05-31,20.4,22.67,1,Regressão Linear
2018-08-31,22.4,22.68,1,Regressão Linear
2018-09-30,20.4,22.66,1,Regressão Linear
2018-10-31,21.6,22.68,1,Regressão Linear
2018-11-30,19.6,22.67,1,Regressão Linear
2019-09-30,22.7,22.69,1,Regressão Linear
2006-12-31,20.0,21.86,1,Random Forest
2007-08-31,23.2,23.09,1,Random Forest
2007-09-30,21.15,20.07,1,Random Forest
2007-11-30,19.7,20.81,1,Random Forest
2008-03-31,23.7,21.71,1,Random Forest
2008-04-30,20.4,21.66,1,Random Forest
2008-07-31,18.7,23.75,1,Random Forest
2008-08-31,20.8,22.77,1,Random Forest
2008-11-30,21.0,21.71,1,Random Forest
2009-07-31,20.15,20.42,1,Random Forest
2009-08-31,23.6,23.75,1,Random Forest
2009-09-30,18.7,23.16,1,Random Forest
2009-10-31,22.8,22.77,1,Random Forest
2009-11-30,21.9,22.13,1,Random Forest
2010-03-31,22.6,21.71,1,Random Forest
2010-05-31,20.2,23.07,1,Random Forest
2010-07-31,21.1,23.75,1,Random Forest
2010-09-30,19.8,20.81,1,Random Forest
2010-11-30,21.6,21.86,1,Random Forest
2011-03-31,22.9,23.85,1,Random Forest
2011-05-31,20.2,21.39,1,Random Forest
2011-06-30,23.3,23.75,1,Random Forest
2011-07-31,18.6,22.2,1,Random Forest
2011-08-31,19.3,21.47,1,Random Forest
2011-11-30,21.7,21.52,1,Random Forest
2012-01-31,21.1,23.48,1,Random Forest
2012-05-31,20.7,20.81,1,Random Forest
2012-07-31,20.55,22.03,1,Random Forest
2012-09-30,19.1,24.37,1,Random Forest
2012-11-30,25.5,22.77,1,Random Forest
2013-04-30,18.17,21.78,1,Random Forest
2013-05-31,19.49,21.47,1,Random Forest
2013-06-30,24.19,20.8,1,Random Forest
2013-09-30,18.51,21.45,1,Random Forest
2013-10-31,22.39,21.47,1,Random Forest
2013-11-30,21.13,23.07,1,Random Forest
2014-01-31,23.0,20.81,1,Random Forest
2014-05-31,21.26,19.5,1,Random Forest
2014-07-31,18.1,22.76,1,Random Forest
2014-09-30,22.5,21.47,1,Random Forest
