data_coleta,observado,previsao,lags,tecnica
2006-08-31,2.4,5.89,1,Regressão Linear
2006-10-31,5.3,5.96,1,Regressão Linear
2006-11-30,2.2,6.38,1,Regressão Linear
2006-12-31,2.8,5.93,1,Regressão Linear
2007-08-31,5.11,6.02,1,Regressão Linear
2007-09-30,7.83,6.35,1,Regressão Linear
2007-11-30,14.48,6.75,1,Regressão Linear
2008-03-31,6.68,7.71,1,Regressão Linear
2008-04-30,2.41,6.58,1,Regressão Linear
2008-07-31,3.76,5.96,1,Regressão Linear
2008-08-31,8.02,6.16,1,Regressão Linear
2008-11-30,11.9,6.78,1,Regressão Linear
2009-07-31,3.38,7.34,1,Regressão Linear
2009-08-31,4.56,6.1,1,Regressão Linear
2009-10-31,15.0,6.27,1,Regressão Linear
2009-11-30,17.3,7.79,1,Regressão Linear
2010-03-31,9.02,8.12,1,Regressão Linear
2010-05-31,2.71,6.92,1,Regressão Linear
2010-07-31,2.12,6.0,1,Regressão Linear
2010-09-30,3.58,5.92,1,Regressão Linear
2011-03-31,13.8,6.13,1,Regressão Linear
2011-05-31,11.9,7.61,1,Regressão Linear
2011-07-31,3.12,7.34,1,Regressão Linear
2011-08-31,4.02,6.06,1,Regressão Linear
2011-11-30,4.11,6.19,1,Regressão Linear
2012-05-31,1.66,6.21,1,Regressão Linear
2012-07-31,7.04,5.85,1,Regressão Linear
2012-09-30,3.77,6.63,1,Regressão Linear
2012-11-30,3.29,6.16,1,Regressão Linear
2013-04-30,17.77,6.09,1,Regressão Linear
2013-09-30,1.25,8.19,1,Regressão Linear
2013-10-31,12.2,5.79,1,Regressão Linear
2013-11-30,2.03,7.38,1,Regressão Linear
2014-01-31,5.16,5.91,1,Regressão Linear
2014-05-31,6.03,6.36,1,Regressão Linear
2014-07-31,3.11,6.49,1,Regressão Linear
2014-09-30,6.2,6.06,1,Regressão Linear
2014-11-30,3.81,6.51,1,Regressão Linear
2014-12-31,4.0,6.16,1,Regressão Linear
2015-01-31,6.31,6.19,1,Regressão Linear
2015-05-31,6.35,6.53,1,Regressão Linear
2015-07-31,5.87,6.53,1,Regressão Linear
2015-09-30,9.55,6.46,1,Regressão Linear
2015-11-30,6.66,7.0,1,Regressão Linear
2016-01-31,14.0,6.58,1,Regressão Linear
2016-07-31,7.3,7.64,1,Regressão Linear
2016-09-30,10.1,6.67,1,Regressão Linear
2016-10-31,5.9,7.08,1,Regressão Linear
2017-07-31,3.73,6.47,1,Regressão Linear
2017-09-30,5.98,6.15,1,Regressão Linear
2017-11-30,13.0,6.48,1,Regressão Linear
2018-05-31,3.7,7.5,1,Regressão Linear
2018-08-31,16.0,6.15,1,Regressão Linear
2018-09-30,2.0,7.93,1,Regressão Linear
2018-10-31,10.0,5.9,1,Regressão Linear
2018-11-30,3.15,7.06,1,Regressão Linear
2019-09-30,5.77,6.07,1,Regressão Linear
2006-08-31,2.4,9.03,1,Random Forest
2006-10-31,5.3,4.91,1,Random Forest
