data_coleta,observado,previsao,lags,tecnica
2008-04-30,6.7,6.45,1,Regressão Linear
2008-07-31,6.4,6.49,1,Regressão Linear
2008-08-31,6.1,6.45,1,Regressão Linear
2008-11-30,6.3,6.41,1,Regressão Linear
2009-07-31,6.7,6.44,1,Regressão Linear
2009-08-31,6.3,6.49,1,Regressão Linear
2009-09-30,6.4,6.44,1,Regressão Linear
2009-10-31,6.3,6.45,1,Regressão Linear
2009-11-30,6.3,6.44,1,Regressão Linear
2010-03-31,6.3,6.44,1,Regressão Linear
2010-05-31,6.3,6.44,1,Regressão Linear
2010-07-31,6.6,6.44,1,Regressão Linear
2010-09-30,6.5,6.48,1,Regressão Linear
2010-11-30,6.3,6.46,1,Regressão Linear
2011-03-31,6.2,6.44,1,Regressão Linear
2011-05-31,6.3,6.42,1,Regressão Linear
2011-06-30,6.3,6.44,1,Regressão Linear
2011-07-31,6.7,6.44,1,Regressão Linear
2011-08-31,6.4,6.49,1,Regressão Linear
2011-11-30,6.2,6.45,1,Regressão Linear
2012-01-31,6.3,6.42,1,Regressão Linear
2012-05-31,6.5,6.44,1,Regressão Linear
2012-07-31,6.3,6.46,1,Regressão Linear
2012-09-30,6.6,6.44,1,Regressão Linear
2012-11-30,6.33,6.48,1,Regressão Linear
2013-04-30,6.66,6.44,1,Regressão Linear
2013-05-31,6.44,6.48,1,Regressão Linear
2013-06-30,6.53,6.45,1,Regressão Linear
2013-09-30,6.82,6.47,1,Regressão Linear
2013-10-31,6.72,6.5,1,Regressão Linear
2013-11-30,6.98,6.49,1,Regressão Linear
2014-01-31,6.16,6.52,1,Regressão Linear
2014-05-31,6.86,6.42,1,Regressão Linear
2014-07-31,6.78,6.51,1,Regressão Linear
2014-09-30,6.83,6.5,1,Regressão Linear
2014-11-30,6.43,6.5,1,Regressão Linear
2014-12-31,6.62,6.45,1,Regressão Linear
2015-01-31,6.37,6.48,1,Regressão Linear
2015-05-31,6.54,6.45,1,Regressão Linear
2015-07-31,6.57,6.47,1,Regressão Linear
2015-09-30,6.26,6.47,1,Regressão Linear
2015-11-30,6.34,6.43,1,Regressão Linear
2016-07-31,6.08,6.44,1,Regressão Linear
2016-09-30,6.34,6.41,1,Regressão Linear
2016-10-31,6.23,6.44,1,Regressão Linear
2016-11-30,6.65,6.43,1,Regressão Linear
2017-09-30,6.39,6.48,1,Regressão Linear
2017-11-30,6.32,6.45,1,Regressão Linear
2018-05-31,6.8,6.44,1,Regressão Linear
2018-08-31,6.37,6.5,1,Regressão Linear
2018-09-30,6.83,6.45,1,Regressão Linear
2018-10-31,6.11,6.5,1,Regressão Linear
2018-11-30,6.44,6.41,1,Regressão Linear
2019-09-30,6.25,6.46,1,Regressão Linear
2008-04-30,6.7,6.57,1,Random Forest
2008-07-31,6.4,6.49,1,Random Forest
2008-08-31,6.1,6.57,1,Random Forest
2008-11-30,6.3,6.58,1,Random Forest
2009-07-31,6.7,6.28,1,Random Forest
2009-08-31,6.3,6.49,1,Random Forest
2009-09-30,6.4,6.28,1,Random Forest
2009-10-31,6.3,6.57,1,Random Forest
2009-11-30,6.3,6.28,1,Random Forest
2010-03-31,6.3,6.28,1,Random Forest
2010-05-31,6.3,6.28,1,Random Forest
2010-07-31,6.6,6.28,1,Random Forest
2010-09-30,6.5,6.46,1,Random Forest
2010-11-30,6.3,6.46,1,Random Forest
2011-03-31,6.2,6.28,1,Random Forest
2011-05-31,6.3,6.15,1,Random Forest
2011-06-30,6.3,6.28,1,Random Forest
2011-07-31,6.7,6.28,1,Random Forest
2011-08-31,6.4,6.49,1,Random Forest
2011-11-30,6.2,6.57,1,Random Forest
2012-01-31,6.3,6.15,1,Random Forest
2012-05-31,6.5,6.28,1,Random Forest
2012-07-31,6.3,6.46,1,Random Forest
2012-09-30,6.6,6.28,1,Random Forest
2012-11-30,6.33,6.46,1,Random Forest
2013-04-30,6.66,6.47,1,Random Forest
2013-05-31,6.44,6.47,1,Random Forest
2013-06-30,6.53,6.36,1,Random Forest
2013-09-30,6.82,6.51,1,Random Forest
2013-10-31,6.72,6.48,1,Random Forest
2013-11-30,6.98,6.49,1,Random Forest
2014-01-31,6.16,6.47,1,Random Forest
2014-05-31,6.86,6.48,1,Random Forest
2014-07-31,6.78,6.64,1,Random Forest
2014-09-30,6.83,6.48,1,Random Forest
2014-11-30,6.43,6.63,1,Random Forest
2014-12-31,6.62,6.36,1,Random Forest
2015-01-31,6.37,6.46,1,Random Forest
2015-05-31,6.54,6.47,1,Random Forest
2015-07-31,6.57,6.51,1,Random Forest
2015-09-30,6.26,6.54,1,Random Forest
2015-11-30,6.34,6.41,1,Random Forest
2016-07-31,6.08,6.47,1,Random Forest
2016-09-30,6.34,6.58,1,Random Forest
2016-10-31,6.23,6.47,1,Random Forest
2016-11-30,6.65,6.21,1,Random Forest
2017-09-30,6.39,6.4,1,Random Forest
2017-11-30,6.32,6.61,1,Random Forest
2018-05-31,6.8,6.31,1,Random Forest
2018-08-31,6.37,6.48,1,Random Forest
2018-09-30,6.83,6.47,1,Random Forest
2018-10-31,6.11,6.63,1,Random Forest
2018-11-30,6.44,6.58,1,Random Forest
2019-09-30,6.25,6.36,1,Random Forest
2008-04-30,6.7,6.4,1,MLP
2008-07-31,6.4,6.47,1,MLP
2008-08-31,6.1,6.4,1,MLP
2008-11-30,6.3,6.32,1,MLP
2009-07-31,6.7,6.37,1,MLP
2009-08-31,6.3,6.47,1,MLP
2009-09-30,6.4,6.37,1,MLP
2009-10-31,6.3,6.4,1,MLP
2009-11-30,6.3,6.37,1,MLP
2010-03-31,6.3,6.37,1,MLP
2010-05-31,6.3,6.37,1,MLP
2010-07-31,6.6,6.37,1,MLP
2010-09-30,6.5,6.45,1,MLP
2010-11-30,6.3,6.42,1,MLP
2011-03-31,6.2,6.37,1,MLP
2011-05-31,6.3,6.35,1,MLP
2011-06-30,6.3,6.37,1,MLP
2011-07-31,6.7,6.37,1,MLP
2011-08-31,6.4,6.47,1,MLP
2011-11-30,6.2,6.4,1,MLP
2012-01-31,6.3,6.35,1,MLP
2012-05-31,6.5,6.37,1,MLP
2012-07-31,6.3,6.42,1,MLP
2012-09-30,6.6,6.37,1,MLP
2012-11-30,6.33,6.45,1,MLP
2013-04-30,6.66,6.38,1,MLP
2013-05-31,6.44,6.46,1,MLP
2013-06-30,6.53,6.41,1,MLP
