data_coleta,observado,previsao,lags,tecnica
2001-11-30,3.71,1.95,1,Baseline
2002-03-31,1.95,5.48,1,Baseline
2002-05-31,5.48,3.61,1,Baseline
2002-07-31,3.61,2.08,1,Baseline
2002-09-30,2.08,3.99,1,Baseline
2003-01-31,3.99,4.79,1,Baseline
2003-04-30,4.79,2.83,1,Baseline
2003-05-31,2.83,3.71,1,Baseline
2003-09-30,3.71,3.53,1,Baseline
2003-10-31,3.53,2.64,1,Baseline
2004-03-31,2.64,4.61,1,Baseline
2004-05-31,4.61,3.09,1,Baseline
2004-07-31,3.09,3.66,1,Baseline
2004-09-30,3.66,3.58,1,Baseline
2004-10-31,3.58,4.16,1,Baseline
2005-01-31,4.16,4.85,1,Baseline
2005-03-31,4.85,5.19,1,Baseline
2005-07-31,5.19,2.64,1,Baseline
2005-09-30,2.64,3.37,1,Baseline
2005-12-31,3.37,4.33,1,Baseline
2006-07-31,4.33,3.07,1,Baseline
2006-08-31,3.07,5.0,1,Baseline
2006-10-31,5.0,4.52,1,Baseline
2006-12-31,4.52,1.1,1,Baseline
2007-08-31,1.1,4.72,1,Baseline
2007-09-30,4.72,4.9,1,Baseline
2007-11-30,4.9,4.97,1,Baseline
2008-03-31,4.97,3.83,1,Baseline
2008-04-30,3.83,2.08,1,Baseline
2008-07-31,2.08,3.26,1,Baseline
2008-08-31,3.26,4.28,1,Baseline
2008-11-30,4.28,5.28,1,Baseline
2009-07-31,5.28,3.43,1,Baseline
2009-08-31,3.43,4.38,1,Baseline
2009-11-30,4.38,5.66,1,Baseline
2010-03-31,5.66,4.88,1,Baseline
2010-05-31,4.88,3.83,1,Baseline
2010-07-31,3.83,3.4,1,Baseline
2010-09-30,3.4,3.53,1,Baseline
2010-11-30,3.53,4.16,1,Baseline
2011-03-31,4.16,3.69,1,Baseline
2011-05-31,3.69,4.09,1,Baseline
2011-07-31,4.09,1.1,1,Baseline
2011-08-31,1.1,2.83,1,Baseline
2011-11-30,2.83,4.26,1,Baseline
2002-03-31,3.71,5.48,2,Baseline
2002-05-31,1.95,3.61,2,Baseline
2002-07-31,5.48,2.08,2,Baseline
2002-09-30,3.61,3.99,2,Baseline
2003-01-31,2.08,4.79,2,Baseline
2003-04-30,3.99,2.83,2,Baseline
2003-05-31,4.79,3.71,2,Baseline
2003-09-30,2.83,3.53,2,Baseline
2003-10-31,3.71,2.64,2,Baseline
2004-03-31,3.53,4.61,2,Baseline
2004-05-31,2.64,3.09,2,Baseline
2004-07-31,4.61,3.66,2,Baseline
2004-09-30,3.09,3.58,2,Baseline
2004-10-31,3.66,4.16,2,Baseline
2005-01-31,3.58,4.85,2,Baseline
2005-03-31,4.16,5.19,2,Baseline
2005-07-31,4.85,2.64,2,Baseline
2005-09-30,5.19,3.37,2,Baseline
2005-12-31,2.64,4.33,2,Baseline
2006-07-31,3.37,3.07,2,Baseline
2006-08-31,4.33,5.0,2,Baseline
2006-10-31,3.07,4.52,2,Baseline
2006-12-31,5.0,1.1,2,Baseline
2007-08-31,4.52,4.72,2,Baseline
2007-09-30,1.1,4.9,2,Baseline
2007-11-30,4.72,4.97,2,Baseline
2008-03-31,4.9,3.83,2,Baseline
2008-04-30,4.97,2.08,2,Baseline
2008-07-31,3.83,3.26,2,Baseline
2008-08-31,2.08,4.28,2,Baseline
2008-11-30,3.26,5.28,2,Baseline
2009-07-31,4.28,3.43,2,Baseline
2009-08-31,5.28,4.38,2,Baseline
2009-11-30,3.43,5.66,2,Baseline
2010-03-31,4.38,4.88,2,Baseline
2010-05-31,5.66,3.83,2,Baseline
2010-07-31,4.88,3.4,2,Baseline
2010-09-30,3.83,3.53,2,Baseline
2010-11-30,3.4,4.16,2,Baseline
2011-03-31,3.53,3.69,2,Baseline
2011-05-31,4.16,4.09,2,Baseline
2011-07-31,3.69,1.1,2,Baseline
2011-08-31,4.09,2.83,2,Baseline
2011-11-30,1.1,4.26,2,Baseline
2002-05-31,3.71,3.61,3,Baseline
2002-07-31,1.95,2.08,3,Baseline
2002-09-30,5.48,3.99,3,Baseline
2003-01-31,3.61,4.79,3,Baseline
2003-04-30,2.08,2.83,3,Baseline
2003-05-31,3.99,3.71,3,Baseline
2003-09-30,4.79,3.53,3,Baseline
2003-10-31,2.83,2.64,3,Baseline
2004-03-31,3.71,4.61,3,Baseline
2004-05-31,3.53,3.09,3,Baseline
2004-07-31,2.64,3.66,3,Baseline
2004-09-30,4.61,3.58,3,Baseline
2004-10-31,3.09,4.16,3,Baseline
2005-01-31,3.66,4.85,3,Baseline
2005-03-31,3.58,5.19,3,Baseline
2005-07-31,4.16,2.64,3,Baseline
2005-09-30,4.85,3.37,3,Baseline
2005-12-31,5.19,4.33,3,Baseline
2006-07-31,2.64,3.07,3,Baseline
2006-08-31,3.37,5.0,3,Baseline
2006-10-31,4.33,4.52,3,Baseline
2006-12-31,3.07,1.1,3,Baseline
2007-08-31,5.0,4.72,3,Baseline
2007-09-30,4.52,4.9,3,Baseline
2007-11-30,1.1,4.97,3,Baseline
2008-03-31,4.72,3.83,3,Baseline
2008-04-30,4.9,2.08,3,Baseline
2008-07-31,4.97,3.26,3,Baseline
2008-08-31,3.83,4.28,3,Baseline
2008-11-30,2.08,5.28,3,Baseline
2009-07-31,3.26,3.43,3,Baseline
2009-08-31,4.28,4.38,3,Baseline
2009-11-30,5.28,5.66,3,Baseline
2010-03-31,3.43,4.88,3,Baseline
2010-05-31,4.38,3.83,3,Baseline
2010-07-31,5.66,3.4,3,Baseline
2010-09-30,4.88,3.53,3,Baseline
2010-11-30,3.83,4.16,3,Baseline
2011-03-31,3.4,3.69,3,Baseline
2011-05-31,3.53,4.09,3,Baseline
2011-07-31,4.16,1.1,3,Baseline
2011-08-31,3.69,2.83,3,Baseline
2011-11-30,4.09,4.26,3,Baseline
2002-07-31,3.71,2.08,4,Baseline
2002-09-30,1.95,3.99,4,Baseline
2003-01-31,5.48,4.79,4,Baseline
2003-04-30,3.61,2.83,4,Baseline
2003-05-31,2.08,3.71,4,Baseline
2003-09-30,3.99,3.53,4,Baseline
2003-10-31,4.79,2.64,4,Baseline
2004-03-31,2.83,4.61,4,Baseline
2004-05-31,3.71,3.09,4,Baseline
2004-07-31,3.53,3.66,4,Baseline
2004-09-30,2.64,3.58,4,Baseline
2004-10-31,4.61,4.16,4,Baseline
2005-01-31,3.09,4.85,4,Baseline
2005-03-31,3.66,5.19,4,Baseline
2005-07-31,3.58,2.64,4,Baseline
2005-09-30,4.16,3.37,4,Baseline
2005-12-31,4.85,4.33,4,Baseline
2006-07-31,5.19,3.07,4,Baseline
2006-08-31,2.64,5.0,4,Baseline
2006-10-31,3.37,4.52,4,Baseline
2006-12-31,4.33,1.1,4,Baseline
2007-08-31,3.07,4.72,4,Baseline
2007-09-30,5.0,4.9,4,Baseline
2007-11-30,4.52,4.97,4,Baseline
2008-03-31,1.1,3.83,4,Baseline
2008-04-30,4.72,2.08,4,Baseline
2008-07-31,4.9,3.26,4,Baseline
2008-08-31,4.97,4.28,4,Baseline
2008-11-30,3.83,5.28,4,Baseline
2009-07-31,2.08,3.43,4,Baseline
2009-08-31,3.26,4.38,4,Baseline
2009-11-30,4.28,5.66,4,Baseline
2010-03-31,5.28,4.88,4,Baseline
2010-05-31,3.43,3.83,4,Baseline
2010-07-31,4.38,3.4,4,Baseline
2010-09-30,5.66,3.53,4,Baseline
2010-11-30,4.88,4.16,4,Baseline
2011-03-31,3.83,3.69,4,Baseline
2011-05-31,3.4,4.09,4,Baseline
2011-07-31,3.53,1.1,4,Baseline
2011-08-31,4.16,2.83,4,Baseline
2011-11-30,3.69,4.26,4,Baseline
2002-09-30,3.71,3.99,5,Baseline
2003-01-31,1.95,4.79,5,Baseline
2003-04-30,5.48,2.83,5,Baseline
2003-05-31,3.61,3.71,5,Baseline
2003-09-30,2.08,3.53,5,Baseline
2003-10-31,3.99,2.64,5,Baseline
2004-03-31,4.79,4.61,5,Baseline
2004-05-31,2.83,3.09,5,Baseline
2004-07-31,3.71,3.66,5,Baseline
2004-09-30,3.53,3.58,5,Baseline
2004-10-31,2.64,4.16,5,Baseline
2005-01-31,4.61,4.85,5,Baseline
2005-03-31,3.09,5.19,5,Baseline
2005-07-31,3.66,2.64,5,Baseline
2005-09-30,3.58,3.37,5,Baseline
2005-12-31,4.16,4.33,5,Baseline
2006-07-31,4.85,3.07,5,Baseline
2006-08-31,5.19,5.0,5,Baseline
2006-10-31,2.64,4.52,5,Baseline
2006-12-31,3.37,1.1,5,Baseline
2007-08-31,4.33,4.72,5,Baseline
2007-09-30,3.07,4.9,5,Baseline
2007-11-30,5.0,4.97,5,Baseline
2008-03-31,4.52,3.83,5,Baseline
2008-04-30,1.1,2.08,5,Baseline
2008-07-31,4.72,3.26,5,Baseline
2008-08-31,4.9,4.28,5,Baseline
2008-11-30,4.97,5.28,5,Baseline
2009-07-31,3.83,3.43,5,Baseline
2009-08-31,2.08,4.38,5,Baseline
2009-11-30,3.26,5.66,5,Baseline
2010-03-31,4.28,4.88,5,Baseline
2010-05-31,5.28,3.83,5,Baseline
2010-07-31,3.43,3.4,5,Baseline
2010-09-30,4.38,3.53,5,Baseline
2010-11-30,5.66,4.16,5,Baseline
2011-03-31,4.88,3.69,5,Baseline
2011-05-31,3.83,4.09,5,Baseline
2011-07-31,3.4,1.1,5,Baseline
2011-08-31,3.53,2.83,5,Baseline
2011-11-30,4.16,4.26,5,Baseline
2003-01-31,3.71,4.79,6,Baseline
2003-04-30,1.95,2.83,6,Baseline
2003-05-31,5.48,3.71,6,Baseline
2003-09-30,3.61,3.53,6,Baseline
2003-10-31,2.08,2.64,6,Baseline
2004-03-31,3.99,4.61,6,Baseline
2004-05-31,4.79,3.09,6,Baseline
2004-07-31,2.83,3.66,6,Baseline
2004-09-30,3.71,3.58,6,Baseline
2004-10-31,3.53,4.16,6,Baseline
2005-01-31,2.64,4.85,6,Baseline
2005-03-31,4.61,5.19,6,Baseline
2005-07-31,3.09,2.64,6,Baseline
2005-09-30,3.66,3.37,6,Baseline
2005-12-31,3.58,4.33,6,Baseline
2006-07-31,4.16,3.07,6,Baseline
2006-08-31,4.85,5.0,6,Baseline
2006-10-31,5.19,4.52,6,Baseline
2006-12-31,2.64,1.1,6,Baseline
2007-08-31,3.37,4.72,6,Baseline
2007-09-30,4.33,4.9,6,Baseline
2007-11-30,3.07,4.97,6,Baseline
2008-03-31,5.0,3.83,6,Baseline
2008-04-30,4.52,2.08,6,Baseline
2008-07-31,1.1,3.26,6,Baseline
2008-08-31,4.72,4.28,6,Baseline
2008-11-30,4.9,5.28,6,Baseline
2009-07-31,4.97,3.43,6,Baseline
2009-08-31,3.83,4.38,6,Baseline
2009-11-30,2.08,5.66,6,Baseline
2010-03-31,3.26,4.88,6,Baseline
2010-05-31,4.28,3.83,6,Baseline
2010-07-31,5.28,3.4,6,Baseline
2010-09-30,3.43,3.53,6,Baseline
2010-11-30,4.38,4.16,6,Baseline
2011-03-31,5.66,3.69,6,Baseline
2011-05-31,4.88,4.09,6,Baseline
2011-07-31,3.83,1.1,6,Baseline
2011-08-31,3.4,2.83,6,Baseline
2011-11-30,3.53,4.26,6,Baseline
2003-04-30,3.71,2.83,7,Baseline
