data_coleta,observado,previsao,lags,tecnica
2007-07-31,6.4,5.7,1,Baseline
2007-08-31,5.7,4.1,1,Baseline
2007-09-30,4.1,3.95,1,Baseline
2007-11-30,3.95,4.15,1,Baseline
2008-03-31,4.15,2.6,1,Baseline
2008-04-30,2.6,6.5,1,Baseline
2008-07-31,6.5,7.2,1,Baseline
2008-08-31,7.2,3.0,1,Baseline
2008-11-30,3.0,4.0,1,Baseline
2009-07-31,4.0,6.6,1,Baseline
2009-08-31,6.6,3.1,1,Baseline
2009-09-30,3.1,5.1,1,Baseline
2009-10-31,5.1,1.6,1,Baseline
2009-11-30,1.6,3.7,1,Baseline
2010-03-31,3.7,2.3,1,Baseline
2010-05-31,2.3,6.7,1,Baseline
2010-07-31,6.7,4.25,1,Baseline
2010-09-30,4.25,6.2,1,Baseline
2010-11-30,6.2,5.4,1,Baseline
2011-03-31,5.4,3.3,1,Baseline
2011-05-31,3.3,6.1,1,Baseline
2011-06-30,6.1,4.3,1,Baseline
2011-07-31,4.3,7.0,1,Baseline
2011-08-31,7.0,6.9,1,Baseline
2011-11-30,6.9,3.4,1,Baseline
2012-01-31,3.4,3.0,1,Baseline
2012-05-31,3.0,7.2,1,Baseline
2012-07-31,7.2,5.15,1,Baseline
2012-09-30,5.15,4.7,1,Baseline
2012-11-30,4.7,4.64,1,Baseline
2013-04-30,4.64,7.5,1,Baseline
2013-05-31,7.5,6.33,1,Baseline
2013-06-30,6.33,2.34,1,Baseline
2013-09-30,2.34,6.62,1,Baseline
2013-10-31,6.62,5.1,1,Baseline
2013-11-30,5.1,5.53,1,Baseline
2014-01-31,5.53,1.61,1,Baseline
2014-05-31,1.61,6.9,1,Baseline
2014-07-31,6.9,6.59,1,Baseline
2014-09-30,6.59,7.27,1,Baseline
2014-11-30,7.27,6.39,1,Baseline
2014-12-31,6.39,3.53,1,Baseline
2015-01-31,3.53,5.1,1,Baseline
2015-05-31,5.1,4.26,1,Baseline
2015-07-31,4.26,7.22,1,Baseline
2015-09-30,7.22,6.02,1,Baseline
2015-11-30,6.02,4.84,1,Baseline
2016-01-31,4.84,2.85,1,Baseline
2016-07-31,2.85,5.44,1,Baseline
2016-09-30,5.44,4.06,1,Baseline
2016-10-31,4.06,4.98,1,Baseline
2016-11-30,4.98,3.46,1,Baseline
2017-07-31,3.46,6.37,1,Baseline
2017-09-30,6.37,4.32,1,Baseline
2017-11-30,4.32,3.03,1,Baseline
2018-05-31,3.03,6.21,1,Baseline
2018-08-31,6.21,2.48,1,Baseline
2018-09-30,2.48,6.82,1,Baseline
2018-10-31,6.82,3.7,1,Baseline
2018-11-30,3.7,4.31,1,Baseline
2019-09-30,4.31,2.35,1,Baseline
2007-08-31,6.4,4.1,2,Baseline
2007-09-30,5.7,3.95,2,Baseline
2007-11-30,4.1,4.15,2,Baseline
2008-03-31,3.95,2.6,2,Baseline
2008-04-30,4.15,6.5,2,Baseline
2008-07-31,2.6,7.2,2,Baseline
2008-08-31,6.5,3.0,2,Baseline
2008-11-30,7.2,4.0,2,Baseline
2009-07-31,3.0,6.6,2,Baseline
