data_coleta,observado,previsao,lags,tecnica
2006-12-31,100.0,100.0,1,Baseline
2007-07-31,100.0,100.0,1,Baseline
2007-08-31,100.0,100.0,1,Baseline
2007-09-30,100.0,100.0,1,Baseline
2007-11-30,100.0,100.0,1,Baseline
2008-03-31,100.0,100.0,1,Baseline
2008-04-30,100.0,128.0,1,Baseline
2008-07-31,128.0,100.0,1,Baseline
2008-08-31,100.0,100.0,1,Baseline
2008-11-30,100.0,100.0,1,Baseline
2009-07-31,100.0,100.0,1,Baseline
2009-08-31,100.0,100.0,1,Baseline
2009-09-30,100.0,120.0,1,Baseline
2009-10-31,120.0,100.0,1,Baseline
2009-11-30,100.0,100.0,1,Baseline
2010-03-31,100.0,100.0,1,Baseline
2010-05-31,100.0,100.0,1,Baseline
2010-07-31,100.0,103.0,1,Baseline
2010-09-30,103.0,100.0,1,Baseline
2010-11-30,100.0,100.0,1,Baseline
2011-03-31,100.0,100.0,1,Baseline
2011-05-31,100.0,100.0,1,Baseline
2011-06-30,100.0,120.0,1,Baseline
2011-07-31,120.0,100.0,1,Baseline
2011-08-31,100.0,100.0,1,Baseline
2011-11-30,100.0,100.0,1,Baseline
2012-01-31,100.0,122.0,1,Baseline
2012-05-31,122.0,100.0,1,Baseline
2012-07-31,100.0,100.0,1,Baseline
2012-09-30,100.0,100.0,1,Baseline
2013-04-30,100.0,100.0,1,Baseline
2013-05-31,100.0,100.0,1,Baseline
2013-06-30,100.0,124.0,1,Baseline
2013-09-30,124.0,100.0,1,Baseline
2013-10-31,100.0,100.0,1,Baseline
2013-11-30,100.0,100.0,1,Baseline
2014-01-31,100.0,100.0,1,Baseline
2014-05-31,100.0,100.0,1,Baseline
2014-07-31,100.0,100.0,1,Baseline
2014-09-30,100.0,100.0,1,Baseline
2014-11-30,100.0,100.0,1,Baseline
2014-12-31,100.0,100.0,1,Baseline
2015-01-31,100.0,100.0,1,Baseline
2015-05-31,100.0,119.0,1,Baseline
2015-07-31,119.0,100.0,1,Baseline
2015-09-30,100.0,100.0,1,Baseline
2015-11-30,100.0,100.0,1,Baseline
2016-01-31,100.0,100.0,1,Baseline
2016-07-31,100.0,100.0,1,Baseline
2016-09-30,100.0,100.0,1,Baseline
2016-10-31,100.0,100.0,1,Baseline
2016-11-30,100.0,112.0,1,Baseline
2017-07-31,112.0,100.0,1,Baseline
