data_coleta,observado,previsao,lags,tecnica
2007-08-31,20.0,23.2,1,Baseline
2007-09-30,23.2,21.15,1,Baseline
2007-11-30,21.15,19.7,1,Baseline
2008-03-31,19.7,23.7,1,Baseline
2008-04-30,23.7,20.4,1,Baseline
2008-07-31,20.4,18.7,1,Baseline
2008-08-31,18.7,20.8,1,Baseline
2008-11-30,20.8,21.0,1,Baseline
2009-07-31,21.0,20.15,1,Baseline
2009-08-31,20.15,23.6,1,Baseline
2009-09-30,23.6,18.7,1,Baseline
2009-10-31,18.7,22.8,1,Baseline
2009-11-30,22.8,21.9,1,Baseline
2010-03-31,21.9,22.6,1,Baseline
2010-05-31,22.6,20.2,1,Baseline
2010-07-31,20.2,21.1,1,Baseline
2010-09-30,21.1,19.8,1,Baseline
2010-11-30,19.8,21.6,1,Baseline
2011-03-31,21.6,22.9,1,Baseline
2011-05-31,22.9,20.2,1,Baseline
2011-06-30,20.2,23.3,1,Baseline
2011-07-31,23.3,18.6,1,Baseline
2011-08-31,18.6,19.3,1,Baseline
2011-11-30,19.3,21.7,1,Baseline
2012-01-31,21.7,21.1,1,Baseline
2012-05-31,21.1,20.7,1,Baseline
2012-07-31,20.7,20.55,1,Baseline
2012-09-30,20.55,19.1,1,Baseline
2012-11-30,19.1,25.5,1,Baseline
2013-04-30,25.5,18.17,1,Baseline
2013-05-31,18.17,19.49,1,Baseline
2013-06-30,19.49,24.19,1,Baseline
2013-09-30,24.19,18.51,1,Baseline
2013-10-31,18.51,22.39,1,Baseline
2013-11-30,22.39,21.13,1,Baseline
2014-01-31,21.13,23.0,1,Baseline
2014-05-31,23.0,21.26,1,Baseline
2014-07-31,21.26,18.1,1,Baseline
2014-09-30,18.1,22.5,1,Baseline
2014-11-30,22.5,24.1,1,Baseline
2014-12-31,24.1,25.68,1,Baseline
2015-01-31,25.68,29.0,1,Baseline
2015-05-31,29.0,21.4,1,Baseline
2015-07-31,21.4,18.8,1,Baseline
2015-09-30,18.8,22.2,1,Baseline
2015-11-30,22.2,24.6,1,Baseline
2016-01-31,24.6,23.62,1,Baseline
2016-09-30,23.62,21.34,1,Baseline
2016-10-31,21.34,21.4,1,Baseline
2016-11-30,21.4,22.01,1,Baseline
2017-09-30,22.01,20.67,1,Baseline
2017-11-30,20.67,21.75,1,Baseline
2018-05-31,21.75,20.4,1,Baseline
2018-08-31,20.4,22.4,1,Baseline
2018-09-30,22.4,20.4,1,Baseline
2018-10-31,20.4,21.6,1,Baseline
2018-11-30,21.6,19.6,1,Baseline
2019-09-30,19.6,22.7,1,Baseline
2007-09-30,20.0,21.15,2,Baseline
2007-11-30,23.2,19.7,2,Baseline
2008-03-31,21.15,23.7,2,Baseline
2008-04-30,19.7,20.4,2,Baseline
2008-07-31,23.7,18.7,2,Baseline
2008-08-31,20.4,20.8,2,Baseline
2008-11-30,18.7,21.0,2,Baseline
2009-07-31,20.8,20.15,2,Baseline
2009-08-31,21.0,23.6,2,Baseline
2009-09-30,20.15,18.7,2,Baseline
2009-10-31,23.6,22.8,2,Baseline
2009-11-30,18.7,21.9,2,Baseline
2010-03-31,22.8,22.6,2,Baseline
2010-05-31,21.9,20.2,2,Baseline
2010-07-31,22.6,21.1,2,Baseline
2010-09-30,20.2,19.8,2,Baseline
2010-11-30,21.1,21.6,2,Baseline
2011-03-31,19.8,22.9,2,Baseline
2011-05-31,21.6,20.2,2,Baseline
2011-06-30,22.9,23.3,2,Baseline
2011-07-31,20.2,18.6,2,Baseline
2011-08-31,23.3,19.3,2,Baseline
2011-11-30,18.6,21.7,2,Baseline
2012-01-31,19.3,21.1,2,Baseline
2012-05-31,21.7,20.7,2,Baseline
2012-07-31,21.1,20.55,2,Baseline
2012-09-30,20.7,19.1,2,Baseline
2012-11-30,20.55,25.5,2,Baseline
2013-04-30,19.1,18.17,2,Baseline
2013-05-31,25.5,19.49,2,Baseline
2013-06-30,18.17,24.19,2,Baseline
2013-09-30,19.49,18.51,2,Baseline
2013-10-31,24.19,22.39,2,Baseline
2013-11-30,18.51,21.13,2,Baseline
2014-01-31,22.39,23.0,2,Baseline
2014-05-31,21.13,21.26,2,Baseline
2014-07-31,23.0,18.1,2,Baseline
2014-09-30,21.26,22.5,2,Baseline
2014-11-30,18.1,24.1,2,Baseline
2014-12-31,22.5,25.68,2,Baseline
2015-01-31,24.1,29.0,2,Baseline
2015-05-31,25.68,21.4,2,Baseline
2015-07-31,29.0,18.8,2,Baseline
2015-09-30,21.4,22.2,2,Baseline
2015-11-30,18.8,24.6,2,Baseline
2016-01-31,22.2,23.62,2,Baseline
2016-09-30,24.6,21.34,2,Baseline
2016-10-31,23.62,21.4,2,Baseline
2016-11-30,21.34,22.01,2,Baseline
2017-09-30,21.4,20.67,2,Baseline
2017-11-30,22.01,21.75,2,Baseline
2018-05-31,20.67,20.4,2,Baseline
2018-08-31,21.75,22.4,2,Baseline
2018-09-30,20.4,20.4,2,Baseline
2018-10-31,22.4,21.6,2,Baseline
2018-11-30,20.4,19.6,2,Baseline
2019-09-30,21.6,22.7,2,Baseline
2007-11-30,20.0,19.7,3,Baseline
2008-03-31,23.2,23.7,3,Baseline
2008-04-30,21.15,20.4,3,Baseline
2008-07-31,19.7,18.7,3,Baseline
2008-08-31,23.7,20.8,3,Baseline
2008-11-30,20.4,21.0,3,Baseline
2009-07-31,18.7,20.15,3,Baseline
2009-08-31,20.8,23.6,3,Baseline
2009-09-30,21.0,18.7,3,Baseline
2009-10-31,20.15,22.8,3,Baseline
2009-11-30,23.6,21.9,3,Baseline
2010-03-31,18.7,22.6,3,Baseline
2010-05-31,22.8,20.2,3,Baseline
2010-07-31,21.9,21.1,3,Baseline
2010-09-30,22.6,19.8,3,Baseline
2010-11-30,20.2,21.6,3,Baseline
2011-03-31,21.1,22.9,3,Baseline
2011-05-31,19.8,20.2,3,Baseline
2011-06-30,21.6,23.3,3,Baseline
2011-07-31,22.9,18.6,3,Baseline
2011-08-31,20.2,19.3,3,Baseline
2011-11-30,23.3,21.7,3,Baseline
2012-01-31,18.6,21.1,3,Baseline
2012-05-31,19.3,20.7,3,Baseline
2012-07-31,21.7,20.55,3,Baseline
2012-09-30,21.1,19.1,3,Baseline
2012-11-30,20.7,25.5,3,Baseline
2013-04-30,20.55,18.17,3,Baseline
2013-05-31,19.1,19.49,3,Baseline
2013-06-30,25.5,24.19,3,Baseline
2013-09-30,18.17,18.51,3,Baseline
2013-10-31,19.49,22.39,3,Baseline
2013-11-30,24.19,21.13,3,Baseline
2014-01-31,18.51,23.0,3,Baseline
2014-05-31,22.39,21.26,3,Baseline
2014-07-31,21.13,18.1,3,Baseline
2014-09-30,23.0,22.5,3,Baseline
2014-11-30,21.26,24.1,3,Baseline
2014-12-31,18.1,25.68,3,Baseline
2015-01-31,22.5,29.0,3,Baseline
2015-05-31,24.1,21.4,3,Baseline
2015-07-31,25.68,18.8,3,Baseline
2015-09-30,29.0,22.2,3,Baseline
2015-11-30,21.4,24.6,3,Baseline
2016-01-31,18.8,23.62,3,Baseline
2016-09-30,22.2,21.34,3,Baseline
