data_coleta,observado,previsao,lags,tecnica
2006-10-31,2.4,5.3,1,Baseline
2006-11-30,5.3,2.2,1,Baseline
2006-12-31,2.2,2.8,1,Baseline
2007-08-31,2.8,5.11,1,Baseline
2007-09-30,5.11,7.83,1,Baseline
2007-11-30,7.83,14.48,1,Baseline
2008-03-31,14.48,6.68,1,Baseline
2008-04-30,6.68,2.41,1,Baseline
2008-07-31,2.41,3.76,1,Baseline
2008-08-31,3.76,8.02,1,Baseline
2008-11-30,8.02,11.9,1,Baseline
2009-07-31,11.9,3.38,1,Baseline
2009-08-31,3.38,4.56,1,Baseline
2009-10-31,4.56,15.0,1,Baseline
2009-11-30,15.0,17.3,1,Baseline
2010-03-31,17.3,9.02,1,Baseline
2010-05-31,9.02,2.71,1,Baseline
2010-07-31,2.71,2.12,1,Baseline
2010-09-30,2.12,3.58,1,Baseline
2011-03-31,3.58,13.8,1,Baseline
2011-05-31,13.8,11.9,1,Baseline
2011-07-31,11.9,3.12,1,Baseline
2011-08-31,3.12,4.02,1,Baseline
2011-11-30,4.02,4.11,1,Baseline
2012-05-31,4.11,1.66,1,Baseline
2012-07-31,1.66,7.04,1,Baseline
2012-09-30,7.04,3.77,1,Baseline
2012-11-30,3.77,3.29,1,Baseline
2013-04-30,3.29,17.77,1,Baseline
2013-09-30,17.77,1.25,1,Baseline
2013-10-31,1.25,12.2,1,Baseline
2013-11-30,12.2,2.03,1,Baseline
2014-01-31,2.03,5.16,1,Baseline
2014-05-31,5.16,6.03,1,Baseline
2014-07-31,6.03,3.11,1,Baseline
2014-09-30,3.11,6.2,1,Baseline
2014-11-30,6.2,3.81,1,Baseline
2014-12-31,3.81,4.0,1,Baseline
2015-01-31,4.0,6.31,1,Baseline
2015-05-31,6.31,6.35,1,Baseline
2015-07-31,6.35,5.87,1,Baseline
2015-09-30,5.87,9.55,1,Baseline
2015-11-30,9.55,6.66,1,Baseline
2016-01-31,6.66,14.0,1,Baseline
2016-07-31,14.0,7.3,1,Baseline
2016-09-30,7.3,10.1,1,Baseline
2016-10-31,10.1,5.9,1,Baseline
2017-07-31,5.9,3.73,1,Baseline
2017-09-30,3.73,5.98,1,Baseline
2017-11-30,5.98,13.0,1,Baseline
2018-05-31,13.0,3.7,1,Baseline
2018-08-31,3.7,16.0,1,Baseline
2018-09-30,16.0,2.0,1,Baseline
2018-10-31,2.0,10.0,1,Baseline
2018-11-30,10.0,3.15,1,Baseline
2019-09-30,3.15,5.77,1,Baseline
2006-11-30,2.4,2.2,2,Baseline
2006-12-31,5.3,2.8,2,Baseline
2007-08-31,2.2,5.11,2,Baseline
2007-09-30,2.8,7.83,2,Baseline
2007-11-30,5.11,14.48,2,Baseline
2008-03-31,7.83,6.68,2,Baseline
2008-04-30,14.48,2.41,2,Baseline
2008-07-31,6.68,3.76,2,Baseline
2008-08-31,2.41,8.02,2,Baseline
2008-11-30,3.76,11.9,2,Baseline
2009-07-31,8.02,3.38,2,Baseline
2009-08-31,11.9,4.56,2,Baseline
2009-10-31,3.38,15.0,2,Baseline
2009-11-30,4.56,17.3,2,Baseline
2010-03-31,15.0,9.02,2,Baseline
2010-05-31,17.3,2.71,2,Baseline
2010-07-31,9.02,2.12,2,Baseline
2010-09-30,2.71,3.58,2,Baseline
2011-03-31,2.12,13.8,2,Baseline
2011-05-31,3.58,11.9,2,Baseline
2011-07-31,13.8,3.12,2,Baseline
2011-08-31,11.9,4.02,2,Baseline
2011-11-30,3.12,4.11,2,Baseline
2012-05-31,4.02,1.66,2,Baseline
2012-07-31,4.11,7.04,2,Baseline
2012-09-30,1.66,3.77,2,Baseline
2012-11-30,7.04,3.29,2,Baseline
2013-04-30,3.77,17.77,2,Baseline
2013-09-30,3.29,1.25,2,Baseline
2013-10-31,17.77,12.2,2,Baseline
2013-11-30,1.25,2.03,2,Baseline
2014-01-31,12.2,5.16,2,Baseline
2014-05-31,2.03,6.03,2,Baseline
2014-07-31,5.16,3.11,2,Baseline
2014-09-30,6.03,6.2,2,Baseline
2014-11-30,3.11,3.81,2,Baseline
2014-12-31,6.2,4.0,2,Baseline
2015-01-31,3.81,6.31,2,Baseline
2015-05-31,4.0,6.35,2,Baseline
2015-07-31,6.31,5.87,2,Baseline
2015-09-30,6.35,9.55,2,Baseline
2015-11-30,5.87,6.66,2,Baseline
2016-01-31,9.55,14.0,2,Baseline
2016-07-31,6.66,7.3,2,Baseline
2016-09-30,14.0,10.1,2,Baseline
2016-10-31,7.3,5.9,2,Baseline
2017-07-31,10.1,3.73,2,Baseline
2017-09-30,5.9,5.98,2,Baseline
2017-11-30,3.73,13.0,2,Baseline
2018-05-31,5.98,3.7,2,Baseline
2018-08-31,13.0,16.0,2,Baseline
2018-09-30,3.7,2.0,2,Baseline
2018-10-31,16.0,10.0,2,Baseline
2018-11-30,2.0,3.15,2,Baseline
2019-09-30,10.0,5.77,2,Baseline
2006-12-31,2.4,2.8,3,Baseline
2007-08-31,5.3,5.11,3,Baseline
2007-09-30,2.2,7.83,3,Baseline
2007-11-30,2.8,14.48,3,Baseline
2008-03-31,5.11,6.68,3,Baseline
2008-04-30,7.83,2.41,3,Baseline
2008-07-31,14.48,3.76,3,Baseline
2008-08-31,6.68,8.02,3,Baseline
2008-11-30,2.41,11.9,3,Baseline
2009-07-31,3.76,3.38,3,Baseline
2009-08-31,8.02,4.56,3,Baseline
2009-10-31,11.9,15.0,3,Baseline
2009-11-30,3.38,17.3,3,Baseline
2010-03-31,4.56,9.02,3,Baseline
2010-05-31,15.0,2.71,3,Baseline
2010-07-31,17.3,2.12,3,Baseline
2010-09-30,9.02,3.58,3,Baseline
2011-03-31,2.71,13.8,3,Baseline
2011-05-31,2.12,11.9,3,Baseline
2011-07-31,3.58,3.12,3,Baseline
2011-08-31,13.8,4.02,3,Baseline
2011-11-30,11.9,4.11,3,Baseline
2012-05-31,3.12,1.66,3,Baseline
2012-07-31,4.02,7.04,3,Baseline
2012-09-30,4.11,3.77,3,Baseline
2012-11-30,1.66,3.29,3,Baseline
2013-04-30,7.04,17.77,3,Baseline
2013-09-30,3.77,1.25,3,Baseline
2013-10-31,3.29,12.2,3,Baseline
2013-11-30,17.77,2.03,3,Baseline
2014-01-31,1.25,5.16,3,Baseline
2014-05-31,12.2,6.03,3,Baseline
2014-07-31,2.03,3.11,3,Baseline
2014-09-30,5.16,6.2,3,Baseline
2014-11-30,6.03,3.81,3,Baseline
2014-12-31,3.11,4.0,3,Baseline
2015-01-31,6.2,6.31,3,Baseline
2015-05-31,3.81,6.35,3,Baseline
2015-07-31,4.0,5.87,3,Baseline
2015-09-30,6.31,9.55,3,Baseline
2015-11-30,6.35,6.66,3,Baseline
2016-01-31,5.87,14.0,3,Baseline
2016-07-31,9.55,7.3,3,Baseline
2016-09-30,6.66,10.1,3,Baseline
2016-10-31,14.0,5.9,3,Baseline
2017-07-31,7.3,3.73,3,Baseline
2017-09-30,10.1,5.98,3,Baseline
2017-11-30,5.9,13.0,3,Baseline
2018-05-31,3.73,3.7,3,Baseline
2018-08-31,5.98,16.0,3,Baseline
2018-09-30,13.0,2.0,3,Baseline
2018-10-31,3.7,10.0,3,Baseline
2018-11-30,16.0,3.15,3,Baseline
2019-09-30,2.0,5.77,3,Baseline
2007-08-31,2.4,5.11,4,Baseline
2007-09-30,5.3,7.83,4,Baseline
2007-11-30,2.2,14.48,4,Baseline
2008-03-31,2.8,6.68,4,Baseline
2008-04-30,5.11,2.41,4,Baseline
2008-07-31,7.83,3.76,4,Baseline
2008-08-31,14.48,8.02,4,Baseline
2008-11-30,6.68,11.9,4,Baseline
2009-07-31,2.41,3.38,4,Baseline
2009-08-31,3.76,4.56,4,Baseline
2009-10-31,8.02,15.0,4,Baseline
2009-11-30,11.9,17.3,4,Baseline
2010-03-31,3.38,9.02,4,Baseline
2010-05-31,4.56,2.71,4,Baseline
2010-07-31,15.0,2.12,4,Baseline
2010-09-30,17.3,3.58,4,Baseline
2011-03-31,9.02,13.8,4,Baseline
2011-05-31,2.71,11.9,4,Baseline
2011-07-31,2.12,3.12,4,Baseline
2011-08-31,3.58,4.02,4,Baseline
2011-11-30,13.8,4.11,4,Baseline
2012-05-31,11.9,1.66,4,Baseline
2012-07-31,3.12,7.04,4,Baseline
2012-09-30,4.02,3.77,4,Baseline
