data_coleta,observado,previsao,lags,tecnica
2008-07-31,6.7,6.4,1,Baseline
2008-08-31,6.4,6.1,1,Baseline
2008-11-30,6.1,6.3,1,Baseline
2009-07-31,6.3,6.7,1,Baseline
2009-08-31,6.7,6.3,1,Baseline
2009-09-30,6.3,6.4,1,Baseline
2009-10-31,6.4,6.3,1,Baseline
2009-11-30,6.3,6.3,1,Baseline
2010-03-31,6.3,6.3,1,Baseline
2010-05-31,6.3,6.3,1,Baseline
2010-07-31,6.3,6.6,1,Baseline
2010-09-30,6.6,6.5,1,Baseline
2010-11-30,6.5,6.3,1,Baseline
2011-03-31,6.3,6.2,1,Baseline
2011-05-31,6.2,6.3,1,Baseline
2011-06-30,6.3,6.3,1,Baseline
2011-07-31,6.3,6.7,1,Baseline
2011-08-31,6.7,6.4,1,Baseline
2011-11-30,6.4,6.2,1,Baseline
2012-01-31,6.2,6.3,1,Baseline
2012-05-31,6.3,6.5,1,Baseline
2012-07-31,6.5,6.3,1,Baseline
2012-09-30,6.3,6.6,1,Baseline
2012-11-30,6.6,6.33,1,Baseline
2013-04-30,6.33,6.66,1,Baseline
2013-05-31,6.66,6.44,1,Baseline
2013-06-30,6.44,6.53,1,Baseline
2013-09-30,6.53,6.82,1,Baseline
2013-10-31,6.82,6.72,1,Baseline
2013-11-30,6.72,6.98,1,Baseline
2014-01-31,6.98,6.16,1,Baseline
2014-05-31,6.16,6.86,1,Baseline
2014-07-31,6.86,6.78,1,Baseline
2014-09-30,6.78,6.83,1,Baseline
2014-11-30,6.83,6.43,1,Baseline
2014-12-31,6.43,6.62,1,Baseline
2015-01-31,6.62,6.37,1,Baseline
2015-05-31,6.37,6.54,1,Baseline
2015-07-31,6.54,6.57,1,Baseline
2015-09-30,6.57,6.26,1,Baseline
2015-11-30,6.26,6.34,1,Baseline
2016-07-31,6.34,6.08,1,Baseline
2016-09-30,6.08,6.34,1,Baseline
2016-10-31,6.34,6.23,1,Baseline
2016-11-30,6.23,6.65,1,Baseline
2017-09-30,6.65,6.39,1,Baseline
2017-11-30,6.39,6.32,1,Baseline
2018-05-31,6.32,6.8,1,Baseline
2018-08-31,6.8,6.37,1,Baseline
2018-09-30,6.37,6.83,1,Baseline
2018-10-31,6.83,6.11,1,Baseline
2018-11-30,6.11,6.44,1,Baseline
2019-09-30,6.44,6.25,1,Baseline
2008-08-31,6.7,6.1,2,Baseline
2008-11-30,6.4,6.3,2,Baseline
2009-07-31,6.1,6.7,2,Baseline
2009-08-31,6.3,6.3,2,Baseline
2009-09-30,6.7,6.4,2,Baseline
2009-10-31,6.3,6.3,2,Baseline
2009-11-30,6.4,6.3,2,Baseline
2010-03-31,6.3,6.3,2,Baseline
2010-05-31,6.3,6.3,2,Baseline
2010-07-31,6.3,6.6,2,Baseline
2010-09-30,6.3,6.5,2,Baseline
2010-11-30,6.6,6.3,2,Baseline
2011-03-31,6.5,6.2,2,Baseline
2011-05-31,6.3,6.3,2,Baseline
2011-06-30,6.2,6.3,2,Baseline
2011-07-31,6.3,6.7,2,Baseline
2011-08-31,6.3,6.4,2,Baseline
2011-11-30,6.7,6.2,2,Baseline
2012-01-31,6.4,6.3,2,Baseline
2012-05-31,6.2,6.5,2,Baseline
2012-07-31,6.3,6.3,2,Baseline
2012-09-30,6.5,6.6,2,Baseline
2012-11-30,6.3,6.33,2,Baseline
2013-04-30,6.6,6.66,2,Baseline
2013-05-31,6.33,6.44,2,Baseline
2013-06-30,6.66,6.53,2,Baseline
2013-09-30,6.44,6.82,2,Baseline
2013-10-31,6.53,6.72,2,Baseline
2013-11-30,6.82,6.98,2,Baseline
2014-01-31,6.72,6.16,2,Baseline
2014-05-31,6.98,6.86,2,Baseline
2014-07-31,6.16,6.78,2,Baseline
2014-09-30,6.86,6.83,2,Baseline
2014-11-30,6.78,6.43,2,Baseline
2014-12-31,6.83,6.62,2,Baseline
2015-01-31,6.43,6.37,2,Baseline
2015-05-31,6.62,6.54,2,Baseline
2015-07-31,6.37,6.57,2,Baseline
2015-09-30,6.54,6.26,2,Baseline
2015-11-30,6.57,6.34,2,Baseline
2016-07-31,6.26,6.08,2,Baseline
2016-09-30,6.34,6.34,2,Baseline
2016-10-31,6.08,6.23,2,Baseline
2016-11-30,6.34,6.65,2,Baseline
2017-09-30,6.23,6.39,2,Baseline
2017-11-30,6.65,6.32,2,Baseline
2018-05-31,6.39,6.8,2,Baseline
2018-08-31,6.32,6.37,2,Baseline
2018-09-30,6.8,6.83,2,Baseline
2018-10-31,6.37,6.11,2,Baseline
2018-11-30,6.83,6.44,2,Baseline
2019-09-30,6.11,6.25,2,Baseline
2008-11-30,6.7,6.3,3,Baseline
2009-07-31,6.4,6.7,3,Baseline
2009-08-31,6.1,6.3,3,Baseline
2009-09-30,6.3,6.4,3,Baseline
2009-10-31,6.7,6.3,3,Baseline
2009-11-30,6.3,6.3,3,Baseline
2010-03-31,6.4,6.3,3,Baseline
2010-05-31,6.3,6.3,3,Baseline
2010-07-31,6.3,6.6,3,Baseline
2010-09-30,6.3,6.5,3,Baseline
2010-11-30,6.3,6.3,3,Baseline
2011-03-31,6.6,6.2,3,Baseline
2011-05-31,6.5,6.3,3,Baseline
2011-06-30,6.3,6.3,3,Baseline
2011-07-31,6.2,6.7,3,Baseline
2011-08-31,6.3,6.4,3,Baseline
2011-11-30,6.3,6.2,3,Baseline
2012-01-31,6.7,6.3,3,Baseline
2012-05-31,6.4,6.5,3,Baseline
2012-07-31,6.2,6.3,3,Baseline
2012-09-30,6.3,6.6,3,Baseline
2012-11-30,6.5,6.33,3,Baseline
2013-04-30,6.3,6.66,3,Baseline
2013-05-31,6.6,6.44,3,Baseline
2013-06-30,6.33,6.53,3,Baseline
2013-09-30,6.66,6.82,3,Baseline
2013-10-31,6.44,6.72,3,Baseline
2013-11-30,6.53,6.98,3,Baseline
2014-01-31,6.82,6.16,3,Baseline
2014-05-31,6.72,6.86,3,Baseline
2014-07-31,6.98,6.78,3,Baseline
2014-09-30,6.16,6.83,3,Baseline
2014-11-30,6.86,6.43,3,Baseline
2014-12-31,6.78,6.62,3,Baseline
2015-01-31,6.83,6.37,3,Baseline
2015-05-31,6.43,6.54,3,Baseline
2015-07-31,6.62,6.57,3,Baseline
2015-09-30,6.37,6.26,3,Baseline
2015-11-30,6.54,6.34,3,Baseline
2016-07-31,6.57,6.08,3,Baseline
2016-09-30,6.26,6.34,3,Baseline
2016-10-31,6.34,6.23,3,Baseline
2016-11-30,6.08,6.65,3,Baseline
2017-09-30,6.34,6.39,3,Baseline
2017-11-30,6.23,6.32,3,Baseline
2018-05-31,6.65,6.8,3,Baseline
2018-08-31,6.39,6.37,3,Baseline
2018-09-30,6.32,6.83,3,Baseline
2018-10-31,6.8,6.11,3,Baseline
