,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,24.05,
1,Random Forest,Coliformes Termotolerantes,151,29.05,
2,MLP,Coliformes Termotolerantes,151,30.94,
3,LSTM,Coliformes Termotolerantes,151,28.83,
4,Regressão Linear,Oxigênio Dissolvido,186,17.86,
5,Random Forest,Oxigênio Dissolvido,186,19.06,
6,MLP,Oxigênio Dissolvido,186,19.57,
7,LSTM,Oxigênio Dissolvido,186,19.5,
8,Regressão Linear,Turbidez,176,37.63,
9,Random Forest,Turbidez,176,38.74,
10,MLP,Turbidez,176,37.67,
11,LSTM,Turbidez,176,37.63,
12,Regressão Linear,Fósforo Total,192,17.17,
13,Random Forest,Fósforo Total,192,16.75,
14,MLP,Fósforo Total,192,16.08,
15,LSTM,Fósforo Total,192,16.96,
16,Regressão Linear,Sólido Total,197,8.71,
17,Random Forest,Sólido Total,197,2.95,
18,MLP,Sólido Total,197,7.33,
19,LSTM,Sólido Total,197,10.34,
20,Regressão Linear,"DBO (5, 20)",161,7.96,
21,Random Forest,"DBO (5, 20)",161,7.32,
22,MLP,"DBO (5, 20)",161,0.45,
23,LSTM,"DBO (5, 20)",161,0.97,
24,Regressão Linear,Temperatura da Água,195,2.68,
25,Random Forest,Temperatura da Água,195,3.12,
26,MLP,Temperatura da Água,195,2.24,
27,LSTM,Temperatura da Água,195,3.1,
28,Regressão Linear,pH,167,1.0,
29,Random Forest,pH,167,1.19,
30,MLP,pH,167,0.88,
31,LSTM,pH,167,0.9,
