,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,166,29.36,
1,Random Forest,Coliformes Termotolerantes,166,34.59,
2,MLP,Coliformes Termotolerantes,166,33.11,
3,LSTM,Coliformes Termotolerantes,166,32.91,
4,Regressão Linear,Oxigênio Dissolvido,201,32.99,
5,Random Forest,Oxigênio Dissolvido,201,45.56,
6,MLP,Oxigênio Dissolvido,201,43.66,
7,LSTM,Oxigênio Dissolvido,201,49.84,
8,Regressão Linear,Turbidez,200,46.14,
9,Random Forest,Turbidez,200,48.94,
10,MLP,Turbidez,200,43.8,
11,LSTM,Turbidez,200,43.69,
12,Regressão Linear,Fósforo Total,202,38.71,
13,Random Forest,Fósforo Total,202,39.0,
14,MLP,Fósforo Total,202,38.16,
15,LSTM,Fósforo Total,202,37.44,
16,Regressão Linear,Sólido Total,202,9.23,
17,Random Forest,Sólido Total,202,2.37,
18,MLP,Sólido Total,202,11.62,
19,LSTM,Sólido Total,202,11.82,
20,Regressão Linear,"DBO (5, 20)",199,11.26,
21,Random Forest,"DBO (5, 20)",199,7.58,
22,MLP,"DBO (5, 20)",199,4.58,
23,LSTM,"DBO (5, 20)",199,8.76,
24,Regressão Linear,Temperatura da Água,202,3.41,
25,Random Forest,Temperatura da Água,202,4.0,
26,MLP,Temperatura da Água,202,3.47,
27,LSTM,Temperatura da Água,202,3.4,
28,Regressão Linear,pH,202,1.4,
29,Random Forest,pH,202,1.99,
30,MLP,pH,202,1.4,
31,LSTM,pH,202,1.38,
