,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,166,29.36,
1,Random Forest,Coliformes Termotolerantes,166,34.43,
2,MLP,Coliformes Termotolerantes,166,33.23,
3,LSTM,Coliformes Termotolerantes,166,32.98,
4,Regressão Linear,Oxigênio Dissolvido,201,32.99,
5,Random Forest,Oxigênio Dissolvido,201,47.58,
6,MLP,Oxigênio Dissolvido,201,42.54,
7,LSTM,Oxigênio Dissolvido,201,51.43,
8,Regressão Linear,Turbidez,200,46.14,
9,Random Forest,Turbidez,200,48.82,
10,MLP,Turbidez,200,43.79,
11,LSTM,Turbidez,200,43.47,
12,Regressão Linear,Fósforo Total,202,38.71,
13,Random Forest,Fósforo Total,202,39.0,
14,MLP,Fósforo Total,202,38.56,
15,LSTM,Fósforo Total,202,37.96,
16,Regressão Linear,Sólido Total,202,9.23,
17,Random Forest,Sólido Total,202,2.44,
18,MLP,Sólido Total,202,9.55,
19,LSTM,Sólido Total,202,12.09,
20,Regressão Linear,"DBO (5, 20)",199,11.26,
21,Random Forest,"DBO (5, 20)",199,7.9,
22,MLP,"DBO (5, 20)",199,6.8,
23,LSTM,"DBO (5, 20)",199,9.88,
24,Regressão Linear,Temperatura da Água,202,3.41,
25,Random Forest,Temperatura da Água,202,4.05,
26,MLP,Temperatura da Água,202,3.46,
27,LSTM,Temperatura da Água,202,3.42,
28,Regressão Linear,pH,202,1.4,
29,Random Forest,pH,202,1.96,
30,MLP,pH,202,1.39,
31,LSTM,pH,202,1.39,
