,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,23.7,1
1,Random Forest,Coliformes Termotolerantes,151,29.61,1
2,MLP,Coliformes Termotolerantes,151,28.71,1
3,LSTM,Coliformes Termotolerantes,151,28.51,1
4,Regressão Linear,Coliformes Termotolerantes,151,23.66,2
5,Random Forest,Coliformes Termotolerantes,151,26.27,2
6,MLP,Coliformes Termotolerantes,151,28.6,2
7,LSTM,Coliformes Termotolerantes,151,27.91,2
8,Regressão Linear,Coliformes Termotolerantes,151,23.73,3
9,Random Forest,Coliformes Termotolerantes,151,25.22,3
10,MLP,Coliformes Termotolerantes,151,28.26,3
11,LSTM,Coliformes Termotolerantes,151,28.94,3
12,Regressão Linear,Coliformes Termotolerantes,151,24.88,4
13,Random Forest,Coliformes Termotolerantes,151,25.19,4
14,MLP,Coliformes Termotolerantes,151,32.58,4
15,LSTM,Coliformes Termotolerantes,151,30.63,4
16,Regressão Linear,Coliformes Termotolerantes,151,26.69,5
17,Random Forest,Coliformes Termotolerantes,151,26.93,5
18,MLP,Coliformes Termotolerantes,151,30.53,5
19,LSTM,Coliformes Termotolerantes,151,30.94,5
20,Regressão Linear,Coliformes Termotolerantes,151,24.61,6
21,Random Forest,Coliformes Termotolerantes,151,23.97,6
22,MLP,Coliformes Termotolerantes,151,27.28,6
23,LSTM,Coliformes Termotolerantes,151,29.67,6
24,Regressão Linear,Coliformes Termotolerantes,151,26.44,7
25,Random Forest,Coliformes Termotolerantes,151,29.52,7
26,MLP,Coliformes Termotolerantes,151,30.18,7
27,LSTM,Coliformes Termotolerantes,151,31.42,7
28,Regressão Linear,Coliformes Termotolerantes,151,26.32,8
29,Random Forest,Coliformes Termotolerantes,151,26.27,8
30,MLP,Coliformes Termotolerantes,151,31.5,8
31,LSTM,Coliformes Termotolerantes,151,30.8,8
32,Regressão Linear,Coliformes Termotolerantes,151,26.6,9
33,Random Forest,Coliformes Termotolerantes,151,26.54,9
34,MLP,Coliformes Termotolerantes,151,31.26,9
35,LSTM,Coliformes Termotolerantes,151,29.71,9
36,Regressão Linear,Oxigênio Dissolvido,186,18.79,1
37,Random Forest,Oxigênio Dissolvido,186,22.22,1
38,MLP,Oxigênio Dissolvido,186,20.62,1
39,LSTM,Oxigênio Dissolvido,186,19.46,1
40,Regressão Linear,Oxigênio Dissolvido,186,18.21,2
41,Random Forest,Oxigênio Dissolvido,186,21.33,2
42,MLP,Oxigênio Dissolvido,186,19.52,2
43,LSTM,Oxigênio Dissolvido,186,18.44,2
44,Regressão Linear,Oxigênio Dissolvido,186,18.1,3
45,Random Forest,Oxigênio Dissolvido,186,19.47,3
46,MLP,Oxigênio Dissolvido,186,19.38,3
47,LSTM,Oxigênio Dissolvido,186,18.2,3
