,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,166,29.69,1
1,Random Forest,Coliformes Termotolerantes,166,34.98,1
2,MLP,Coliformes Termotolerantes,166,33.65,1
3,LSTM,Coliformes Termotolerantes,166,32.9,1
4,Regressão Linear,Coliformes Termotolerantes,166,29.43,2
5,Random Forest,Coliformes Termotolerantes,166,33.35,2
6,MLP,Coliformes Termotolerantes,166,32.96,2
7,LSTM,Coliformes Termotolerantes,166,32.9,2
8,Regressão Linear,Coliformes Termotolerantes,166,30.3,3
9,Random Forest,Coliformes Termotolerantes,166,35.51,3
10,MLP,Coliformes Termotolerantes,166,33.45,3
11,LSTM,Coliformes Termotolerantes,166,33.42,3
12,Regressão Linear,Coliformes Termotolerantes,166,30.36,4
13,Random Forest,Coliformes Termotolerantes,166,35.55,4
14,MLP,Coliformes Termotolerantes,166,33.72,4
15,LSTM,Coliformes Termotolerantes,166,33.58,4
16,Regressão Linear,Coliformes Termotolerantes,166,31.03,5
17,Random Forest,Coliformes Termotolerantes,166,32.24,5
18,MLP,Coliformes Termotolerantes,166,33.84,5
19,LSTM,Coliformes Termotolerantes,166,33.2,5
20,Regressão Linear,Coliformes Termotolerantes,166,31.53,6
21,Random Forest,Coliformes Termotolerantes,166,35.21,6
22,MLP,Coliformes Termotolerantes,166,33.57,6
23,LSTM,Coliformes Termotolerantes,166,33.66,6
24,Regressão Linear,Coliformes Termotolerantes,166,31.89,7
25,Random Forest,Coliformes Termotolerantes,166,37.46,7
26,MLP,Coliformes Termotolerantes,166,34.52,7
27,LSTM,Coliformes Termotolerantes,166,34.5,7
28,Regressão Linear,Coliformes Termotolerantes,166,32.09,8
29,Random Forest,Coliformes Termotolerantes,166,33.6,8
30,MLP,Coliformes Termotolerantes,166,34.4,8
31,LSTM,Coliformes Termotolerantes,166,34.78,8
32,Regressão Linear,Coliformes Termotolerantes,166,32.11,9
33,Random Forest,Coliformes Termotolerantes,166,34.54,9
34,MLP,Coliformes Termotolerantes,166,34.13,9
35,LSTM,Coliformes Termotolerantes,166,34.02,9
36,Regressão Linear,Oxigênio Dissolvido,201,33.75,1
37,Random Forest,Oxigênio Dissolvido,201,54.05,1
38,MLP,Oxigênio Dissolvido,201,42.88,1
39,LSTM,Oxigênio Dissolvido,201,50.91,1
40,Regressão Linear,Oxigênio Dissolvido,201,34.28,2
41,Random Forest,Oxigênio Dissolvido,201,43.27,2
42,MLP,Oxigênio Dissolvido,201,41.42,2
43,LSTM,Oxigênio Dissolvido,201,54.36,2
44,Regressão Linear,Oxigênio Dissolvido,201,34.29,3
45,Random Forest,Oxigênio Dissolvido,201,44.83,3
46,MLP,Oxigênio Dissolvido,201,42.7,3
47,LSTM,Oxigênio Dissolvido,201,54.53,3
48,Regressão Linear,Oxigênio Dissolvido,201,39.31,4
49,Random Forest,Oxigênio Dissolvido,201,41.96,4
50,MLP,Oxigênio Dissolvido,201,42.31,4
51,LSTM,Oxigênio Dissolvido,201,50.49,4
52,Regressão Linear,Oxigênio Dissolvido,201,35.13,5
53,Random Forest,Oxigênio Dissolvido,201,61.8,5
54,MLP,Oxigênio Dissolvido,201,42.26,5
55,LSTM,Oxigênio Dissolvido,201,51.58,5
56,Regressão Linear,Oxigênio Dissolvido,201,32.79,6
57,Random Forest,Oxigênio Dissolvido,201,49.95,6
58,MLP,Oxigênio Dissolvido,201,42.8,6
59,LSTM,Oxigênio Dissolvido,201,54.19,6
60,Regressão Linear,Oxigênio Dissolvido,201,35.32,7
61,Random Forest,Oxigênio Dissolvido,201,46.62,7
62,MLP,Oxigênio Dissolvido,201,43.79,7
63,LSTM,Oxigênio Dissolvido,201,53.18,7
64,Regressão Linear,Oxigênio Dissolvido,201,37.36,8
65,Random Forest,Oxigênio Dissolvido,201,39.03,8
66,MLP,Oxigênio Dissolvido,201,41.12,8
67,LSTM,Oxigênio Dissolvido,201,55.14,8
68,Regressão Linear,Oxigênio Dissolvido,201,35.65,9
69,Random Forest,Oxigênio Dissolvido,201,60.35,9
70,MLP,Oxigênio Dissolvido,201,45.13,9
71,LSTM,Oxigênio Dissolvido,201,53.62,9
72,Regressão Linear,Turbidez,200,49.83,1
73,Random Forest,Turbidez,200,52.17,1
74,MLP,Turbidez,200,46.75,1
75,LSTM,Turbidez,200,46.27,1
76,Regressão Linear,Turbidez,200,46.72,2
77,Random Forest,Turbidez,200,51.29,2
78,MLP,Turbidez,200,44.99,2
79,LSTM,Turbidez,200,43.82,2
80,Regressão Linear,Turbidez,200,45.5,3
81,Random Forest,Turbidez,200,46.4,3
82,MLP,Turbidez,200,43.32,3
83,LSTM,Turbidez,200,44.42,3
84,Regressão Linear,Turbidez,200,46.18,4
85,Random Forest,Turbidez,200,51.64,4
86,MLP,Turbidez,200,43.77,4
87,LSTM,Turbidez,200,44.52,4
88,Regressão Linear,Turbidez,200,46.21,5
89,Random Forest,Turbidez,200,49.16,5
90,MLP,Turbidez,200,44.95,5
91,LSTM,Turbidez,200,44.7,5
92,Regressão Linear,Turbidez,200,46.05,6
93,Random Forest,Turbidez,200,46.58,6
94,MLP,Turbidez,200,44.53,6
95,LSTM,Turbidez,200,44.05,6
96,Regressão Linear,Turbidez,200,48.19,7
97,Random Forest,Turbidez,200,53.14,7
98,MLP,Turbidez,200,45.14,7
99,LSTM,Turbidez,200,44.78,7
100,Regressão Linear,Turbidez,200,46.33,8
101,Random Forest,Turbidez,200,47.26,8
102,MLP,Turbidez,200,43.77,8
103,LSTM,Turbidez,200,44.71,8
104,Regressão Linear,Turbidez,200,44.32,9
105,Random Forest,Turbidez,200,49.23,9
106,MLP,Turbidez,200,42.09,9
107,LSTM,Turbidez,200,42.62,9
108,Regressão Linear,Fósforo Total,202,38.45,1
109,Random Forest,Fósforo Total,202,38.29,1
110,MLP,Fósforo Total,202,37.46,1
111,LSTM,Fósforo Total,202,37.28,1
112,Regressão Linear,Fósforo Total,202,38.04,2
113,Random Forest,Fósforo Total,202,40.77,2
114,MLP,Fósforo Total,202,37.97,2
115,LSTM,Fósforo Total,202,37.51,2
116,Regressão Linear,Fósforo Total,202,37.81,3
117,Random Forest,Fósforo Total,202,44.48,3
118,MLP,Fósforo Total,202,37.57,3
119,LSTM,Fósforo Total,202,36.87,3
120,Regressão Linear,Fósforo Total,202,38.33,4
121,Random Forest,Fósforo Total,202,38.5,4
122,MLP,Fósforo Total,202,37.79,4
123,LSTM,Fósforo Total,202,37.65,4
124,Regressão Linear,Fósforo Total,202,38.37,5
125,Random Forest,Fósforo Total,202,39.8,5
126,MLP,Fósforo Total,202,37.91,5
127,LSTM,Fósforo Total,202,37.08,5
128,Regressão Linear,Fósforo Total,202,36.18,6
129,Random Forest,Fósforo Total,202,38.0,6
130,MLP,Fósforo Total,202,35.46,6
131,LSTM,Fósforo Total,202,35.06,6
132,Regressão Linear,Fósforo Total,202,35.43,7
133,Random Forest,Fósforo Total,202,37.26,7
134,MLP,Fósforo Total,202,34.61,7
135,LSTM,Fósforo Total,202,34.9,7
136,Regressão Linear,Fósforo Total,202,36.2,8
137,Random Forest,Fósforo Total,202,38.65,8
138,MLP,Fósforo Total,202,35.71,8
139,LSTM,Fósforo Total,202,35.08,8
140,Regressão Linear,Fósforo Total,202,37.09,9
141,Random Forest,Fósforo Total,202,43.36,9
142,MLP,Fósforo Total,202,37.43,9
143,LSTM,Fósforo Total,202,35.17,9
144,Regressão Linear,Sólido Total,202,8.37,1
145,Random Forest,Sólido Total,202,2.88,1
146,MLP,Sólido Total,202,9.43,1
147,LSTM,Sólido Total,202,12.12,1
148,Regressão Linear,Sólido Total,202,9.94,2
149,Random Forest,Sólido Total,202,3.08,2
150,MLP,Sólido Total,202,9.76,2
151,LSTM,Sólido Total,202,13.38,2
152,Regressão Linear,Sólido Total,202,12.49,3
153,Random Forest,Sólido Total,202,3.5,3
154,MLP,Sólido Total,202,12.07,3
155,LSTM,Sólido Total,202,12.73,3
156,Regressão Linear,Sólido Total,202,11.95,4
157,Random Forest,Sólido Total,202,4.07,4
158,MLP,Sólido Total,202,10.48,4
159,LSTM,Sólido Total,202,12.4,4
160,Regressão Linear,Sólido Total,202,11.36,5
161,Random Forest,Sólido Total,202,4.87,5
162,MLP,Sólido Total,202,10.49,5
163,LSTM,Sólido Total,202,12.34,5
164,Regressão Linear,Sólido Total,202,11.14,6
165,Random Forest,Sólido Total,202,6.71,6
166,MLP,Sólido Total,202,11.28,6
167,LSTM,Sólido Total,202,13.04,6
168,Regressão Linear,Sólido Total,202,12.21,7
169,Random Forest,Sólido Total,202,3.97,7
170,MLP,Sólido Total,202,10.85,7
171,LSTM,Sólido Total,202,11.57,7
172,Regressão Linear,Sólido Total,202,15.3,8
173,Random Forest,Sólido Total,202,10.06,8
174,MLP,Sólido Total,202,12.78,8
175,LSTM,Sólido Total,202,11.87,8
176,Regressão Linear,Sólido Total,202,12.92,9
177,Random Forest,Sólido Total,202,4.69,9
178,MLP,Sólido Total,202,11.18,9
179,LSTM,Sólido Total,202,11.65,9
180,Regressão Linear,"DBO (5, 20)",199,11.87,1
181,Random Forest,"DBO (5, 20)",199,9.39,1
182,MLP,"DBO (5, 20)",199,3.92,1
183,LSTM,"DBO (5, 20)",199,7.38,1
184,Regressão Linear,"DBO (5, 20)",199,11.01,2
185,Random Forest,"DBO (5, 20)",199,8.7,2
