,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,23.96,
1,Random Forest,Coliformes Termotolerantes,151,29.0,
2,MLP,Coliformes Termotolerantes,151,30.62,
3,LSTM,Coliformes Termotolerantes,151,29.55,
4,Regressão Linear,Oxigênio Dissolvido,186,17.81,
5,Random Forest,Oxigênio Dissolvido,186,18.8,
6,MLP,Oxigênio Dissolvido,186,20.26,
7,LSTM,Oxigênio Dissolvido,186,19.95,
8,Regressão Linear,Turbidez,176,37.62,
9,Random Forest,Turbidez,176,38.67,
10,MLP,Turbidez,176,38.46,
11,LSTM,Turbidez,176,38.22,
12,Regressão Linear,Fósforo Total,192,16.78,
13,Random Forest,Fósforo Total,192,16.49,
14,MLP,Fósforo Total,192,16.25,
15,LSTM,Fósforo Total,192,16.63,
16,Regressão Linear,Sólido Total,197,11.09,
17,Random Forest,Sólido Total,197,2.57,
18,MLP,Sólido Total,197,12.99,
19,LSTM,Sólido Total,197,12.88,
20,Regressão Linear,"DBO (5, 20)",161,7.24,
21,Random Forest,"DBO (5, 20)",161,7.25,
22,MLP,"DBO (5, 20)",161,0.53,
23,LSTM,"DBO (5, 20)",161,0.97,
24,Regressão Linear,Temperatura da Água,195,2.68,
25,Random Forest,Temperatura da Água,195,3.16,
26,MLP,Temperatura da Água,195,2.33,
27,LSTM,Temperatura da Água,195,2.47,
28,Regressão Linear,pH,167,1.0,
29,Random Forest,pH,167,1.18,
30,MLP,pH,167,0.88,
31,LSTM,pH,167,0.89,
