,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,179,26.49,1
1,Random Forest,Coliformes Termotolerantes,179,29.41,1
2,MLP,Coliformes Termotolerantes,179,32.46,1
3,LSTM,Coliformes Termotolerantes,179,31.96,1
4,Regressão Linear,Coliformes Termotolerantes,179,25.84,2
5,Random Forest,Coliformes Termotolerantes,179,27.53,2
6,MLP,Coliformes Termotolerantes,179,30.69,2
7,LSTM,Coliformes Termotolerantes,179,31.16,1
8,Regressão Linear,Coliformes Termotolerantes,179,25.62,3
9,Random Forest,Coliformes Termotolerantes,179,27.96,3
10,MLP,Coliformes Termotolerantes,179,30.6,3
11,LSTM,Coliformes Termotolerantes,179,30.95,1
12,Regressão Linear,Coliformes Termotolerantes,179,24.49,4
13,Random Forest,Coliformes Termotolerantes,179,27.26,4
14,MLP,Coliformes Termotolerantes,179,29.99,4
15,LSTM,Coliformes Termotolerantes,179,29.66,1
16,Regressão Linear,Coliformes Termotolerantes,179,23.49,5
17,Random Forest,Coliformes Termotolerantes,179,26.15,5
18,MLP,Coliformes Termotolerantes,179,29.46,5
19,LSTM,Coliformes Termotolerantes,179,31.56,1
20,Regressão Linear,Coliformes Termotolerantes,179,24.06,6
21,Random Forest,Coliformes Termotolerantes,179,26.66,6
22,MLP,Coliformes Termotolerantes,179,29.95,6
23,LSTM,Coliformes Termotolerantes,179,30.88,1
24,Regressão Linear,Coliformes Termotolerantes,179,23.12,7
25,Random Forest,Coliformes Termotolerantes,179,26.02,7
26,MLP,Coliformes Termotolerantes,179,30.74,7
27,LSTM,Coliformes Termotolerantes,179,30.72,1
28,Regressão Linear,Coliformes Termotolerantes,179,22.79,8
29,Random Forest,Coliformes Termotolerantes,179,25.85,8
30,MLP,Coliformes Termotolerantes,179,27.79,8
31,LSTM,Coliformes Termotolerantes,179,30.61,1
32,Regressão Linear,Coliformes Termotolerantes,179,22.07,9
33,Random Forest,Coliformes Termotolerantes,179,24.85,9
34,MLP,Coliformes Termotolerantes,179,29.67,9
35,LSTM,Coliformes Termotolerantes,179,31.27,1
36,Regressão Linear,Coliformes Termotolerantes,179,22.36,10
37,Random Forest,Coliformes Termotolerantes,179,23.6,10
38,MLP,Coliformes Termotolerantes,179,30.91,10
39,LSTM,Coliformes Termotolerantes,179,31.5,1
40,Regressão Linear,Oxigênio Dissolvido,179,15.17,1
41,Random Forest,Oxigênio Dissolvido,179,16.96,1
42,MLP,Oxigênio Dissolvido,179,15.67,1
43,LSTM,Oxigênio Dissolvido,179,15.54,1
44,Regressão Linear,Oxigênio Dissolvido,179,15.57,2
45,Random Forest,Oxigênio Dissolvido,179,16.72,2
46,MLP,Oxigênio Dissolvido,179,15.88,2
47,LSTM,Oxigênio Dissolvido,179,15.65,1
48,Regressão Linear,Oxigênio Dissolvido,179,15.96,3
49,Random Forest,Oxigênio Dissolvido,179,15.66,3
