,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,55.41,1
1,Random Forest,Coliformes Termotolerantes,151,55.4,1
2,MLP,Coliformes Termotolerantes,151,50.55,1
3,LSTM,Coliformes Termotolerantes,151,52.56,1
4,Regressão Linear,Coliformes Termotolerantes,151,41.82,2
5,Random Forest,Coliformes Termotolerantes,151,42.45,2
6,MLP,Coliformes Termotolerantes,151,38.27,2
7,LSTM,Coliformes Termotolerantes,151,35.38,2
8,Regressão Linear,Coliformes Termotolerantes,151,44.77,3
9,Random Forest,Coliformes Termotolerantes,151,40.53,3
10,MLP,Coliformes Termotolerantes,151,33.21,3
11,LSTM,Coliformes Termotolerantes,151,34.24,3
12,Regressão Linear,Coliformes Termotolerantes,151,44.88,4
13,Random Forest,Coliformes Termotolerantes,151,38.81,4
14,MLP,Coliformes Termotolerantes,151,36.32,4
15,LSTM,Coliformes Termotolerantes,151,33.08,4
16,Regressão Linear,Coliformes Termotolerantes,151,46.34,5
17,Random Forest,Coliformes Termotolerantes,151,41.86,5
18,MLP,Coliformes Termotolerantes,151,35.38,5
19,LSTM,Coliformes Termotolerantes,151,34.05,5
20,Regressão Linear,Coliformes Termotolerantes,151,45.31,6
21,Random Forest,Coliformes Termotolerantes,151,38.89,6
22,MLP,Coliformes Termotolerantes,151,35.31,6
23,LSTM,Coliformes Termotolerantes,151,30.63,6
24,Regressão Linear,Coliformes Termotolerantes,151,49.29,7
25,Random Forest,Coliformes Termotolerantes,151,39.65,7
26,MLP,Coliformes Termotolerantes,151,33.01,7
27,LSTM,Coliformes Termotolerantes,151,32.71,7
28,Regressão Linear,Coliformes Termotolerantes,151,48.63,8
29,Random Forest,Coliformes Termotolerantes,151,41.32,8
30,MLP,Coliformes Termotolerantes,151,36.56,8
31,LSTM,Coliformes Termotolerantes,151,30.96,8
32,Regressão Linear,Coliformes Termotolerantes,151,56.96,9
33,Random Forest,Coliformes Termotolerantes,151,52.58,9
34,MLP,Coliformes Termotolerantes,151,35.98,9
35,LSTM,Coliformes Termotolerantes,151,32.92,9
36,Regressão Linear,Coliformes Termotolerantes,151,70.96,10
37,Random Forest,Coliformes Termotolerantes,151,60.9,10
38,MLP,Coliformes Termotolerantes,151,32.61,10
39,LSTM,Coliformes Termotolerantes,151,31.5,10
40,Regressão Linear,Oxigênio Dissolvido,204,27.13,1
41,Random Forest,Oxigênio Dissolvido,204,28.59,1
42,MLP,Oxigênio Dissolvido,204,28.56,1
43,LSTM,Oxigênio Dissolvido,204,27.83,1
44,Regressão Linear,Oxigênio Dissolvido,204,28.47,2
45,Random Forest,Oxigênio Dissolvido,204,31.69,2
46,MLP,Oxigênio Dissolvido,204,30.18,2
47,LSTM,Oxigênio Dissolvido,204,27.69,2
48,Regressão Linear,Oxigênio Dissolvido,204,27.21,3
49,Random Forest,Oxigênio Dissolvido,204,30.94,3
50,MLP,Oxigênio Dissolvido,204,28.63,3
51,LSTM,Oxigênio Dissolvido,204,27.54,3
52,Regressão Linear,Oxigênio Dissolvido,204,26.96,4
53,Random Forest,Oxigênio Dissolvido,204,30.68,4
54,MLP,Oxigênio Dissolvido,204,27.94,4
55,LSTM,Oxigênio Dissolvido,204,27.67,4
56,Regressão Linear,Oxigênio Dissolvido,204,26.97,5
57,Random Forest,Oxigênio Dissolvido,204,30.43,5
58,MLP,Oxigênio Dissolvido,204,29.86,5
59,LSTM,Oxigênio Dissolvido,204,27.66,5
60,Regressão Linear,Oxigênio Dissolvido,204,27.0,6
61,Random Forest,Oxigênio Dissolvido,204,29.8,6
62,MLP,Oxigênio Dissolvido,204,28.07,6
63,LSTM,Oxigênio Dissolvido,204,27.72,6
64,Regressão Linear,Oxigênio Dissolvido,204,26.93,7
65,Random Forest,Oxigênio Dissolvido,204,28.57,7
66,MLP,Oxigênio Dissolvido,204,26.39,7
67,LSTM,Oxigênio Dissolvido,204,27.7,7
68,Regressão Linear,Oxigênio Dissolvido,204,27.02,8
69,Random Forest,Oxigênio Dissolvido,204,29.8,8
70,MLP,Oxigênio Dissolvido,204,27.76,8
71,LSTM,Oxigênio Dissolvido,204,27.47,8
72,Regressão Linear,Oxigênio Dissolvido,204,27.03,9
73,Random Forest,Oxigênio Dissolvido,204,29.24,9
74,MLP,Oxigênio Dissolvido,204,28.52,9
75,LSTM,Oxigênio Dissolvido,204,27.58,9
76,Regressão Linear,Oxigênio Dissolvido,204,27.29,10
77,Random Forest,Oxigênio Dissolvido,204,29.62,10
78,MLP,Oxigênio Dissolvido,204,28.5,10
79,LSTM,Oxigênio Dissolvido,204,27.82,10
80,Regressão Linear,Turbidez,189,106.09,1
81,Random Forest,Turbidez,189,107.33,1
82,MLP,Turbidez,189,94.26,1
83,LSTM,Turbidez,189,100.77,1
84,Regressão Linear,Turbidez,189,106.98,2
85,Random Forest,Turbidez,189,106.3,2
86,MLP,Turbidez,189,96.51,2
87,LSTM,Turbidez,189,99.85,2
88,Regressão Linear,Turbidez,189,109.69,3
89,Random Forest,Turbidez,189,106.42,3
90,MLP,Turbidez,189,93.6,3
91,LSTM,Turbidez,189,99.83,3
92,Regressão Linear,Turbidez,189,112.98,4
93,Random Forest,Turbidez,189,101.68,4
94,MLP,Turbidez,189,94.08,4
95,LSTM,Turbidez,189,101.32,4
96,Regressão Linear,Turbidez,189,112.76,5
97,Random Forest,Turbidez,189,103.18,5
98,MLP,Turbidez,189,92.45,5
99,LSTM,Turbidez,189,103.9,5
100,Regressão Linear,Turbidez,189,114.91,6
101,Random Forest,Turbidez,189,102.36,6
102,MLP,Turbidez,189,91.95,6
103,LSTM,Turbidez,189,102.49,6
104,Regressão Linear,Turbidez,189,115.63,7
105,Random Forest,Turbidez,189,101.11,7
106,MLP,Turbidez,189,92.25,7
107,LSTM,Turbidez,189,103.55,7
108,Regressão Linear,Turbidez,189,112.01,8
109,Random Forest,Turbidez,189,61.73,8
110,MLP,Turbidez,189,94.45,8
111,LSTM,Turbidez,189,102.57,8
112,Regressão Linear,Turbidez,189,104.97,9
113,Random Forest,Turbidez,189,49.83,9
114,MLP,Turbidez,189,89.71,9
115,LSTM,Turbidez,189,102.38,9
116,Regressão Linear,Turbidez,189,110.6,10
117,Random Forest,Turbidez,189,49.91,10
118,MLP,Turbidez,189,89.85,10
119,LSTM,Turbidez,189,102.75,10
120,Regressão Linear,Fósforo Total,192,15.42,1
121,Random Forest,Fósforo Total,192,17.83,1
122,MLP,Fósforo Total,192,15.36,1
123,LSTM,Fósforo Total,192,15.23,1
124,Regressão Linear,Fósforo Total,192,15.49,2
125,Random Forest,Fósforo Total,192,17.8,2
126,MLP,Fósforo Total,192,15.6,2
127,LSTM,Fósforo Total,192,15.35,2
128,Regressão Linear,Fósforo Total,192,15.48,3
129,Random Forest,Fósforo Total,192,17.54,3
130,MLP,Fósforo Total,192,15.32,3
131,LSTM,Fósforo Total,192,15.27,3
132,Regressão Linear,Fósforo Total,192,15.27,4
133,Random Forest,Fósforo Total,192,16.68,4
134,MLP,Fósforo Total,192,15.41,4
135,LSTM,Fósforo Total,192,15.34,4
136,Regressão Linear,Fósforo Total,192,15.55,5
137,Random Forest,Fósforo Total,192,16.11,5
138,MLP,Fósforo Total,192,15.3,5
139,LSTM,Fósforo Total,192,15.18,5
140,Regressão Linear,Fósforo Total,192,15.67,6
141,Random Forest,Fósforo Total,192,16.2,6
142,MLP,Fósforo Total,192,17.0,6
143,LSTM,Fósforo Total,192,15.3,6
144,Regressão Linear,Fósforo Total,192,14.89,7
145,Random Forest,Fósforo Total,192,16.01,7
146,MLP,Fósforo Total,192,17.16,7
147,LSTM,Fósforo Total,192,15.48,7
148,Regressão Linear,Fósforo Total,192,14.96,8
149,Random Forest,Fósforo Total,192,16.06,8
150,MLP,Fósforo Total,192,15.79,8
151,LSTM,Fósforo Total,192,15.37,8
152,Regressão Linear,Fósforo Total,192,15.45,9
153,Random Forest,Fósforo Total,192,15.72,9
154,MLP,Fósforo Total,192,16.08,9
155,LSTM,Fósforo Total,192,15.32,9
156,Regressão Linear,Fósforo Total,192,15.52,10
157,Random Forest,Fósforo Total,192,15.44,10
158,MLP,Fósforo Total,192,15.38,10
159,LSTM,Fósforo Total,192,15.38,10
160,Regressão Linear,Sólido Total,205,2.17,1
161,Random Forest,Sólido Total,205,3.29,1
162,MLP,Sólido Total,205,2.36,1
163,LSTM,Sólido Total,205,2.56,1
164,Regressão Linear,Sólido Total,205,2.09,2
165,Random Forest,Sólido Total,205,2.79,2
166,MLP,Sólido Total,205,2.67,2
167,LSTM,Sólido Total,205,2.37,2
168,Regressão Linear,Sólido Total,205,1.94,3
169,Random Forest,Sólido Total,205,2.9,3
170,MLP,Sólido Total,205,2.24,3
171,LSTM,Sólido Total,205,2.33,3
172,Regressão Linear,Sólido Total,205,1.91,4
173,Random Forest,Sólido Total,205,2.92,4
174,MLP,Sólido Total,205,2.43,4
175,LSTM,Sólido Total,205,2.31,4
176,Regressão Linear,Sólido Total,205,0.98,5
177,Random Forest,Sólido Total,205,0.86,5
178,MLP,Sólido Total,205,1.37,5
179,LSTM,Sólido Total,205,1.04,5
180,Regressão Linear,Sólido Total,205,0.83,6
181,Random Forest,Sólido Total,205,0.73,6
182,MLP,Sólido Total,205,0.8,6
183,LSTM,Sólido Total,205,0.76,6
184,Regressão Linear,Sólido Total,205,0.85,7
185,Random Forest,Sólido Total,205,0.76,7
186,MLP,Sólido Total,205,1.09,7
187,LSTM,Sólido Total,205,0.81,7
188,Regressão Linear,Sólido Total,205,1.14,8
189,Random Forest,Sólido Total,205,0.86,8
190,MLP,Sólido Total,205,1.57,8
191,LSTM,Sólido Total,205,0.85,8
192,Regressão Linear,Sólido Total,205,1.1,9
193,Random Forest,Sólido Total,205,0.85,9
194,MLP,Sólido Total,205,2.83,9
195,LSTM,Sólido Total,205,1.79,9
196,Regressão Linear,Sólido Total,205,4.65,10
197,Random Forest,Sólido Total,205,4.67,10
198,MLP,Sólido Total,205,12.79,10
199,LSTM,Sólido Total,205,13.43,10
200,Regressão Linear,"DBO (5, 20)",161,10.09,1
201,Random Forest,"DBO (5, 20)",161,8.94,1
202,MLP,"DBO (5, 20)",161,8.94,1
203,LSTM,"DBO (5, 20)",161,13.8,1
204,Regressão Linear,"DBO (5, 20)",161,9.01,2
205,Random Forest,"DBO (5, 20)",161,8.43,2
206,MLP,"DBO (5, 20)",161,7.39,2
207,LSTM,"DBO (5, 20)",161,13.5,2
208,Regressão Linear,"DBO (5, 20)",161,8.7,3
209,Random Forest,"DBO (5, 20)",161,8.19,3
210,MLP,"DBO (5, 20)",161,5.65,3
211,LSTM,"DBO (5, 20)",161,13.35,3
212,Regressão Linear,"DBO (5, 20)",161,7.28,4
213,Random Forest,"DBO (5, 20)",161,5.04,4
214,MLP,"DBO (5, 20)",161,11.31,4
215,LSTM,"DBO (5, 20)",161,13.06,4
216,Regressão Linear,"DBO (5, 20)",161,6.85,5
217,Random Forest,"DBO (5, 20)",161,5.82,5
218,MLP,"DBO (5, 20)",161,3.56,5
219,LSTM,"DBO (5, 20)",161,13.3,5
220,Regressão Linear,"DBO (5, 20)",161,6.93,6
221,Random Forest,"DBO (5, 20)",161,5.84,6
222,MLP,"DBO (5, 20)",161,3.48,6
223,LSTM,"DBO (5, 20)",161,13.24,6
224,Regressão Linear,"DBO (5, 20)",161,7.19,7
225,Random Forest,"DBO (5, 20)",161,7.18,7
226,MLP,"DBO (5, 20)",161,4.87,7
227,LSTM,"DBO (5, 20)",161,13.28,7
228,Regressão Linear,"DBO (5, 20)",161,7.57,8
229,Random Forest,"DBO (5, 20)",161,7.5,8
230,MLP,"DBO (5, 20)",161,5.74,8
231,LSTM,"DBO (5, 20)",161,13.11,8
232,Regressão Linear,"DBO (5, 20)",161,7.27,9
233,Random Forest,"DBO (5, 20)",161,7.8,9
234,MLP,"DBO (5, 20)",161,6.74,9
235,LSTM,"DBO (5, 20)",161,13.11,9
236,Regressão Linear,"DBO (5, 20)",161,7.28,10
237,Random Forest,"DBO (5, 20)",161,8.65,10
238,MLP,"DBO (5, 20)",161,5.92,10
239,LSTM,"DBO (5, 20)",161,13.08,10
240,Regressão Linear,Temperatura da Água,195,2.87,1
241,Random Forest,Temperatura da Água,195,2.84,1
242,MLP,Temperatura da Água,195,2.82,1
243,LSTM,Temperatura da Água,195,2.85,1
244,Regressão Linear,Temperatura da Água,195,3.03,2
245,Random Forest,Temperatura da Água,195,3.21,2
246,MLP,Temperatura da Água,195,2.93,2
247,LSTM,Temperatura da Água,195,2.85,2
248,Regressão Linear,Temperatura da Água,195,3.19,3
249,Random Forest,Temperatura da Água,195,3.54,3
250,MLP,Temperatura da Água,195,2.88,3
251,LSTM,Temperatura da Água,195,2.83,3
252,Regressão Linear,Temperatura da Água,195,3.06,4
253,Random Forest,Temperatura da Água,195,3.46,4
254,MLP,Temperatura da Água,195,2.93,4
255,LSTM,Temperatura da Água,195,2.86,4
256,Regressão Linear,Temperatura da Água,195,2.9,5
257,Random Forest,Temperatura da Água,195,3.37,5
258,MLP,Temperatura da Água,195,2.81,5
259,LSTM,Temperatura da Água,195,2.87,5
260,Regressão Linear,Temperatura da Água,195,3.07,6
261,Random Forest,Temperatura da Água,195,3.31,6
262,MLP,Temperatura da Água,195,2.98,6
263,LSTM,Temperatura da Água,195,2.88,6
264,Regressão Linear,Temperatura da Água,195,3.25,7
265,Random Forest,Temperatura da Água,195,3.28,7
266,MLP,Temperatura da Água,195,2.78,7
267,LSTM,Temperatura da Água,195,2.83,7
268,Regressão Linear,Temperatura da Água,195,3.38,8
269,Random Forest,Temperatura da Água,195,3.32,8
270,MLP,Temperatura da Água,195,2.94,8
271,LSTM,Temperatura da Água,195,2.89,8
272,Regressão Linear,Temperatura da Água,195,3.31,9
273,Random Forest,Temperatura da Água,195,3.22,9
274,MLP,Temperatura da Água,195,3.53,9
275,LSTM,Temperatura da Água,195,2.86,9
276,Regressão Linear,Temperatura da Água,195,3.35,10
277,Random Forest,Temperatura da Água,195,3.25,10
278,MLP,Temperatura da Água,195,3.61,10
279,LSTM,Temperatura da Água,195,2.88,10
280,Regressão Linear,pH,179,1.56,1
281,Random Forest,pH,179,1.82,1
282,MLP,pH,179,1.55,1
283,LSTM,pH,179,1.53,1
284,Regressão Linear,pH,179,1.56,2
285,Random Forest,pH,179,1.68,2
286,MLP,pH,179,1.62,2
287,LSTM,pH,179,1.53,2
288,Regressão Linear,pH,179,1.59,3
289,Random Forest,pH,179,1.54,3
290,MLP,pH,179,1.56,3
291,LSTM,pH,179,1.54,3
292,Regressão Linear,pH,179,1.56,4
293,Random Forest,pH,179,1.54,4
294,MLP,pH,179,1.53,4
295,LSTM,pH,179,1.54,4
296,Regressão Linear,pH,179,1.57,5
297,Random Forest,pH,179,1.69,5
298,MLP,pH,179,1.69,5
299,LSTM,pH,179,1.53,5
300,Regressão Linear,pH,179,1.62,6
301,Random Forest,pH,179,1.77,6
302,MLP,pH,179,1.69,6
303,LSTM,pH,179,1.53,6
304,Regressão Linear,pH,179,1.63,7
305,Random Forest,pH,179,1.71,7
306,MLP,pH,179,1.81,7
307,LSTM,pH,179,1.55,7
308,Regressão Linear,pH,179,1.67,8
309,Random Forest,pH,179,1.7,8
310,MLP,pH,179,1.78,8
311,LSTM,pH,179,1.54,8
312,Regressão Linear,pH,179,1.66,9
313,Random Forest,pH,179,1.72,9
314,MLP,pH,179,1.7,9
315,LSTM,pH,179,1.54,9
316,Regressão Linear,pH,179,1.66,10
317,Random Forest,pH,179,1.69,10
318,MLP,pH,179,1.67,10
319,LSTM,pH,179,1.54,10
