,data_coleta,observado,previsao
0,2006-11-30,-3.912022955428147,-2.8439276218414307
1,2006-12-31,-2.995732253553991,-2.884063482284546
2,2007-08-31,-3.218875799868201,-2.8278887271881104
3,2007-09-30,-3.218875799868201,-2.858211040496826
4,2007-11-30,-3.218875799868201,-2.9072303771972656
5,2008-03-31,-3.912022955428147,-2.9922454357147217
6,2008-04-30,-3.912022955428147,-2.9372293949127197
7,2008-07-31,-2.3025850829940455,-2.9746510982513428
8,2008-08-31,-3.1010927669895954,-2.9891839027404785
9,2008-11-30,-2.8134107000933697,-2.9996864795684814
10,2009-07-31,-3.688879414113937,-3.0029609203338623
11,2009-08-31,-3.912022955428147,-2.936278820037842
12,2009-10-31,-2.8134107000933697,-2.867105007171631
13,2009-11-30,-2.5257286318082555,-2.9481465816497803
14,2010-03-31,-3.912022955428147,-2.958493947982788
15,2010-05-31,-3.506557863986649,-3.0036633014678955
16,2010-07-31,-2.590267152112493,-2.97065806388855
17,2010-09-30,-2.995732253553991,-2.902729034423828
18,2010-11-30,-3.912022955428147,-2.9296131134033203
19,2011-03-31,-3.506557863986649,-2.9984018802642822
20,2011-05-31,-3.218875799868201,-2.9435107707977295
21,2011-06-30,-2.2072749040988118,-2.9211342334747314
22,2011-07-31,-4.074541876102393,-2.977262258529663
23,2011-08-31,-4.961844987069691,-3.0077555179595947
24,2011-11-30,-4.961844987069691,-2.968632459640503
25,2012-05-31,-2.8647039936037273,-2.9888994693756104
26,2012-07-31,-3.506557863986649,-3.045168876647949
27,2012-09-30,-4.961844987069691,-3.215243101119995
28,2012-11-30,-4.961844987069691,-3.2270779609680176
29,2013-04-30,-3.218875799868201,-3.1553943157196045
30,2013-05-31,-2.8134107000933697,-3.0667576789855957
31,2013-06-30,-2.995732253553991,-3.1673691272735596
32,2013-09-30,-3.912022955428147,-3.202484607696533
33,2013-10-31,-2.995732253553991,-3.0798730850219727
34,2013-11-30,-3.218875799868201,-2.928356170654297
35,2014-01-31,-3.506557863986649,-2.925835132598877
36,2014-05-31,-4.605170085988096,-2.9677863121032715
37,2014-07-31,-4.605170085988096,-3.015180826187134
38,2014-09-30,-3.506557863986649,-2.9957962036132812
39,2014-11-30,-3.506557863986649,-3.0732052326202393
40,2014-12-31,-3.218875799868201,-3.1415088176727295
41,2015-01-31,-3.912022955428147,-3.1820085048675537
42,2015-05-31,-2.995732253553991,-3.1067779064178467
43,2015-07-31,-2.995732253553991,-3.007826805114746
44,2015-09-30,-2.995732253553991,-2.9959936141967773
45,2015-11-30,-2.995732253553991,-2.9750003814697266
46,2016-07-31,-3.218875799868201,-2.9736154079437256
47,2016-09-30,-2.5257286318082555,-2.899437665939331
48,2016-10-31,-2.995732253553991,-2.898013114929199
49,2017-07-31,-3.912022955428147,-2.894674301147461
50,2017-09-30,-2.8705691129529263,-2.9000766277313232
51,2017-11-30,-2.407945597540761,-2.908635139465332
52,2018-05-31,-3.912022955428147,-2.8901915550231934
53,2018-08-31,-2.407945597540761,-2.9447264671325684
54,2018-09-30,-3.912022955428147,-2.957235097885132
55,2018-10-31,-3.218875799868201,-2.884847640991211
56,2018-11-30,-4.199705011213263,-2.908010959625244
57,2019-09-30,-3.218875799868201,-2.9965736865997314
