data_coleta,observado,previsao
2006-11-30,-3.912022955428147,-2.908904552459717
2006-12-31,-2.995732253553991,-2.6258187294006348
2007-08-31,-3.218875799868201,-2.98223876953125
2007-09-30,-3.218875799868201,-2.8136563301086426
2007-11-30,-3.218875799868201,-3.0485432147979736
2008-03-31,-3.912022955428147,-2.992119789123535
2008-04-30,-3.912022955428147,-2.9492719173431396
2008-07-31,-2.3025850829940455,-3.12038254737854
2008-08-31,-3.1010927669895954,-3.0788302421569824
2008-11-30,-2.8134107000933697,-3.18188738822937
2009-07-31,-3.688879414113937,-2.9279229640960693
2009-08-31,-3.912022955428147,-2.8079075813293457
2009-10-31,-2.8134107000933697,-2.92620849609375
2009-11-30,-2.5257286318082555,-3.0969555377960205
2010-03-31,-3.912022955428147,-3.135603189468384
2010-05-31,-3.506557863986649,-2.817291021347046
2010-07-31,-2.590267152112493,-2.9611921310424805
2010-09-30,-2.995732253553991,-2.9346303939819336
2010-11-30,-3.912022955428147,-3.0459039211273193
2011-03-31,-3.506557863986649,-2.796473979949951
2011-05-31,-3.218875799868201,-3.0615947246551514
2011-06-30,-2.2072749040988118,-2.964698314666748
2011-07-31,-4.074541876102393,-3.1208577156066895
2011-08-31,-4.961844987069691,-2.821597099304199
2011-11-30,-4.961844987069691,-2.7456119060516357
2012-05-31,-2.8647039936037273,-3.0444834232330322
2012-07-31,-3.506557863986649,-3.372825860977173
2012-09-30,-4.961844987069691,-3.8454694747924805
2012-11-30,-4.961844987069691,-2.7767715454101562
2013-04-30,-3.218875799868201,-3.0834124088287354
2013-05-31,-2.8134107000933697,-3.250051975250244
2013-06-30,-2.995732253553991,-3.838535785675049
2013-09-30,-3.912022955428147,-3.3403663635253906
2013-10-31,-2.995732253553991,-2.6833419799804688
2013-11-30,-3.218875799868201,-3.0917768478393555
2014-01-31,-3.506557863986649,-2.9614577293395996
2014-05-31,-4.605170085988096,-3.091473340988159
2014-07-31,-4.605170085988096,-2.8968088626861572
2014-09-30,-3.506557863986649,-3.1061582565307617
2014-11-30,-3.506557863986649,-3.2354578971862793
2014-12-31,-3.218875799868201,-3.4931602478027344
2015-01-31,-3.912022955428147,-3.336817741394043
2015-05-31,-2.995732253553991,-3.0015063285827637
2015-07-31,-2.995732253553991,-3.1824376583099365
2015-09-30,-2.995732253553991,-3.1030478477478027
2015-11-30,-2.995732253553991,-3.0713462829589844
2016-07-31,-3.218875799868201,-2.93646502494812
2016-09-30,-2.5257286318082555,-2.951056480407715
2016-10-31,-2.995732253553991,-3.009979486465454
2017-07-31,-3.912022955428147,-2.905799388885498
2017-09-30,-2.8705691129529263,-2.855036735534668
2017-11-30,-2.407945597540761,-3.0581209659576416
2018-05-31,-3.912022955428147,-2.9973559379577637
2018-08-31,-2.407945597540761,-2.880300998687744
2018-09-30,-3.912022955428147,-3.007826328277588
2018-10-31,-3.218875799868201,-2.7282259464263916
2018-11-30,-4.199705011213263,-3.145259141921997
2019-09-30,-3.218875799868201,-2.9521403312683105
