data_coleta,observado,previsao
2006-11-30,-3.912022955428147,-3.0165748596191406
2006-12-31,-2.995732253553991,-2.927915573120117
2007-08-31,-3.218875799868201,-3.0668575763702393
2007-09-30,-3.218875799868201,-2.988435745239258
2007-11-30,-3.218875799868201,-3.1285219192504883
2008-03-31,-3.912022955428147,-3.098820447921753
2008-04-30,-3.912022955428147,-3.0671136379241943
2008-07-31,-2.3025850829940455,-3.181694507598877
2008-08-31,-3.1010927669895954,-3.2178664207458496
2008-11-30,-2.8134107000933697,-3.0976788997650146
2009-07-31,-3.688879414113937,-2.9680936336517334
2009-08-31,-3.912022955428147,-2.9750783443450928
2009-10-31,-2.8134107000933697,-3.031904697418213
2009-11-30,-2.5257286318082555,-3.1852874755859375
2010-03-31,-3.912022955428147,-3.184330701828003
2010-05-31,-3.506557863986649,-3.010200262069702
2010-07-31,-2.590267152112493,-3.035949945449829
2010-09-30,-2.995732253553991,-3.1084911823272705
2010-11-30,-3.912022955428147,-3.0996222496032715
2011-03-31,-3.506557863986649,-3.064558982849121
2011-05-31,-3.218875799868201,-3.1134912967681885
2011-06-30,-2.2072749040988118,-3.130558729171753
2011-07-31,-4.074541876102393,-3.2830729484558105
2011-08-31,-4.961844987069691,-2.9538862705230713
2011-11-30,-4.961844987069691,-3.2222213745117188
2012-05-31,-2.8647039936037273,-3.1796953678131104
2012-07-31,-3.506557863986649,-3.4214699268341064
2012-09-30,-4.961844987069691,-3.3427319526672363
2012-11-30,-4.961844987069691,-3.492324113845825
2013-04-30,-3.218875799868201,-3.2270712852478027
2013-05-31,-2.8134107000933697,-3.3848676681518555
2013-06-30,-2.995732253553991,-3.537642002105713
2013-09-30,-3.912022955428147,-2.889544725418091
2013-10-31,-2.995732253553991,-2.777495861053467
2013-11-30,-3.218875799868201,-3.1866416931152344
2014-01-31,-3.506557863986649,-3.0528314113616943
2014-05-31,-4.605170085988096,-3.1680550575256348
2014-07-31,-4.605170085988096,-3.169703483581543
2014-09-30,-3.506557863986649,-3.255265235900879
2014-11-30,-3.506557863986649,-3.3720479011535645
2014-12-31,-3.218875799868201,-3.435795307159424
2015-01-31,-3.912022955428147,-3.1923301219940186
2015-05-31,-2.995732253553991,-3.1223297119140625
2015-07-31,-2.995732253553991,-3.269010543823242
2015-09-30,-2.995732253553991,-3.181856155395508
2015-11-30,-2.995732253553991,-3.134408473968506
2016-07-31,-3.218875799868201,-3.0289182662963867
2016-09-30,-2.5257286318082555,-3.0595662593841553
2016-10-31,-2.995732253553991,-3.1139731407165527
2017-07-31,-3.912022955428147,-3.022266149520874
2017-09-30,-2.8705691129529263,-3.0048635005950928
2017-11-30,-2.407945597540761,-3.100369930267334
2018-05-31,-3.912022955428147,-3.0783889293670654
2018-08-31,-2.407945597540761,-3.089423179626465
2018-09-30,-3.912022955428147,-2.8963849544525146
2018-10-31,-3.218875799868201,-2.881889820098877
2018-11-30,-4.199705011213263,-3.2289600372314453
2019-09-30,-3.218875799868201,-3.1267755031585693
