tecnica,parametro,amostras,mape,lag
Regressão Linear,Coliformes Termotolerantes,151,28.03,
Random Forest,Coliformes Termotolerantes,151,27.04,
MLP,Coliformes Termotolerantes,151,31.52,
LSTM,Coliformes Termotolerantes,151,30.09,
Regressão Linear,Oxigênio Dissolvido,204,17.57,
Random Forest,Oxigênio Dissolvido,204,19.4,
MLP,Oxigênio Dissolvido,204,17.79,
LSTM,Oxigênio Dissolvido,204,17.69,
Regressão Linear,Turbidez,189,34.37,
Random Forest,Turbidez,189,34.0,
MLP,Turbidez,189,35.5,
LSTM,Turbidez,189,35.54,
Regressão Linear,Fósforo Total,192,14.88,
Random Forest,Fósforo Total,192,15.41,
MLP,Fósforo Total,192,15.67,
LSTM,Fósforo Total,192,15.02,
Regressão Linear,Sólido Total,205,1.53,
Random Forest,Sólido Total,205,1.24,
MLP,Sólido Total,205,0.97,
LSTM,Sólido Total,205,0.91,
Regressão Linear,"DBO (5, 20)",161,5.42,
Random Forest,"DBO (5, 20)",161,3.23,
MLP,"DBO (5, 20)",161,0.06,
LSTM,"DBO (5, 20)",161,0.27,
Regressão Linear,Temperatura da Água,195,1.74,
Random Forest,Temperatura da Água,195,1.81,
MLP,Temperatura da Água,195,1.72,
LSTM,Temperatura da Água,195,1.77,
Regressão Linear,pH,179,1.11,
Random Forest,pH,179,1.26,
MLP,pH,179,1.14,
LSTM,pH,179,1.13,
