tecnica,parametro,amostras,mape,lag
Regressão Linear,Coliformes Termotolerantes,151,28.03,
Random Forest,Coliformes Termotolerantes,151,26.17,
MLP,Coliformes Termotolerantes,151,58.01,
LSTM,Coliformes Termotolerantes,151,28.0,
Regressão Linear,Oxigênio Dissolvido,204,17.57,
Random Forest,Oxigênio Dissolvido,204,19.25,
MLP,Oxigênio Dissolvido,204,30.88,
LSTM,Oxigênio Dissolvido,204,17.47,
Regressão Linear,Turbidez,189,34.37,
Random Forest,Turbidez,189,33.86,
MLP,Turbidez,189,58.59,
LSTM,Turbidez,189,36.43,
Regressão Linear,Fósforo Total,192,14.88,
Random Forest,Fósforo Total,192,15.65,
MLP,Fósforo Total,192,63.24,
LSTM,Fósforo Total,192,15.54,
Regressão Linear,Sólido Total,205,1.53,
Random Forest,Sólido Total,205,1.25,
MLP,Sólido Total,205,28.27,
LSTM,Sólido Total,205,2.52,
Regressão Linear,"DBO (5, 20)",161,5.42,
Random Forest,"DBO (5, 20)",161,3.13,
MLP,"DBO (5, 20)",161,36.91,
LSTM,"DBO (5, 20)",161,36.91,
Regressão Linear,Temperatura da Água,195,1.74,
Random Forest,Temperatura da Água,195,1.83,
MLP,Temperatura da Água,195,8.45,
LSTM,Temperatura da Água,195,1.71,
Regressão Linear,pH,179,1.11,
Random Forest,pH,179,1.27,
MLP,pH,179,1.09,
LSTM,pH,179,1.08,
