tecnica,parametro,amostras,mape,lag
Regressão Linear,Coliformes Termotolerantes,170,32.14,
Random Forest,Coliformes Termotolerantes,170,25.11,
MLP,Coliformes Termotolerantes,170,32.79,
LSTM,Coliformes Termotolerantes,170,32.9,
Regressão Linear,Oxigênio Dissolvido,207,43.07,
Random Forest,Oxigênio Dissolvido,207,39.25,
MLP,Oxigênio Dissolvido,207,34.64,
LSTM,Oxigênio Dissolvido,207,51.23,
Regressão Linear,Turbidez,205,43.34,
Random Forest,Turbidez,205,41.96,
MLP,Turbidez,205,45.56,
LSTM,Turbidez,205,42.96,
Regressão Linear,Fósforo Total,207,35.83,
Random Forest,Fósforo Total,207,31.48,
MLP,Fósforo Total,207,33.87,
LSTM,Fósforo Total,207,35.9,
Regressão Linear,Sólido Total,207,2.76,
Random Forest,Sólido Total,207,1.88,
MLP,Sólido Total,207,1.47,
LSTM,Sólido Total,207,3.49,
Regressão Linear,"DBO (5, 20)",205,5.53,
Random Forest,"DBO (5, 20)",205,7.95,
MLP,"DBO (5, 20)",205,7.93,
LSTM,"DBO (5, 20)",205,6.46,
Regressão Linear,Temperatura da Água,207,1.65,
Random Forest,Temperatura da Água,207,1.66,
MLP,Temperatura da Água,207,1.53,
LSTM,Temperatura da Água,207,1.43,
Regressão Linear,pH,207,1.4,
Random Forest,pH,207,1.48,
MLP,pH,207,1.45,
LSTM,pH,207,1.54,
