tecnica,parametro,amostras,mape,lag
Regressão Linear,Coliformes Termotolerantes,179,32.85,1
Random Forest,Coliformes Termotolerantes,179,32.79,1
MLP,Coliformes Termotolerantes,179,28.07,1
LSTM,Coliformes Termotolerantes,179,29.75,1
Regressão Linear,Coliformes Termotolerantes,179,40.84,2
Random Forest,Coliformes Termotolerantes,179,44.15,2
MLP,Coliformes Termotolerantes,179,34.58,2
LSTM,Coliformes Termotolerantes,179,37.08,2
Regressão Linear,Coliformes Termotolerantes,179,39.49,3
Random Forest,Coliformes Termotolerantes,179,39.83,3
MLP,Coliformes Termotolerantes,179,33.72,3
LSTM,Coliformes Termotolerantes,179,39.59,3
Regressão Linear,Coliformes Termotolerantes,179,42.73,4
Random Forest,Coliformes Termotolerantes,179,38.74,4
MLP,Coliformes Termotolerantes,179,32.81,4
LSTM,Coliformes Termotolerantes,179,39.09,4
Regressão Linear,Coliformes Termotolerantes,179,44.55,5
Random Forest,Coliformes Termotolerantes,179,33.85,5
MLP,Coliformes Termotolerantes,179,34.08,5
LSTM,Coliformes Termotolerantes,179,38.36,5
Regressão Linear,Coliformes Termotolerantes,179,39.72,6
Random Forest,Coliformes Termotolerantes,179,31.81,6
MLP,Coliformes Termotolerantes,179,33.95,6
LSTM,Coliformes Termotolerantes,179,40.41,6
Regressão Linear,Coliformes Termotolerantes,179,43.33,7
Random Forest,Coliformes Termotolerantes,179,38.18,7
MLP,Coliformes Termotolerantes,179,35.14,7
LSTM,Coliformes Termotolerantes,179,40.41,7
Regressão Linear,Coliformes Termotolerantes,179,55.34,8
Random Forest,Coliformes Termotolerantes,179,44.2,8
MLP,Coliformes Termotolerantes,179,36.54,8
LSTM,Coliformes Termotolerantes,179,39.83,8
Regressão Linear,Coliformes Termotolerantes,179,69.58,9
Random Forest,Coliformes Termotolerantes,179,44.6,9
MLP,Coliformes Termotolerantes,179,33.55,9
LSTM,Coliformes Termotolerantes,179,38.82,9
Regressão Linear,Coliformes Termotolerantes,179,78.38,10
Random Forest,Coliformes Termotolerantes,179,43.64,10
MLP,Coliformes Termotolerantes,179,33.75,10
LSTM,Coliformes Termotolerantes,179,42.78,10
Regressão Linear,Oxigênio Dissolvido,179,16.62,1
Random Forest,Oxigênio Dissolvido,179,19.32,1
MLP,Oxigênio Dissolvido,179,17.68,1
LSTM,Oxigênio Dissolvido,179,18.1,1
Regressão Linear,Oxigênio Dissolvido,179,17.44,2
Random Forest,Oxigênio Dissolvido,179,19.42,2
MLP,Oxigênio Dissolvido,179,18.17,2
LSTM,Oxigênio Dissolvido,179,17.97,2
Regressão Linear,Oxigênio Dissolvido,179,18.87,3
Random Forest,Oxigênio Dissolvido,179,18.2,3
MLP,Oxigênio Dissolvido,179,18.26,3
LSTM,Oxigênio Dissolvido,179,18.3,3
Regressão Linear,Oxigênio Dissolvido,179,18.4,4
Random Forest,Oxigênio Dissolvido,179,17.61,4
MLP,Oxigênio Dissolvido,179,18.17,4
LSTM,Oxigênio Dissolvido,179,17.67,4
Regressão Linear,Oxigênio Dissolvido,179,17.63,5
Random Forest,Oxigênio Dissolvido,179,16.66,5
MLP,Oxigênio Dissolvido,179,17.81,5
LSTM,Oxigênio Dissolvido,179,17.61,5
Regressão Linear,Oxigênio Dissolvido,179,17.23,6
Random Forest,Oxigênio Dissolvido,179,15.84,6
MLP,Oxigênio Dissolvido,179,17.61,6
LSTM,Oxigênio Dissolvido,179,17.41,6
Regressão Linear,Oxigênio Dissolvido,179,17.66,7
Random Forest,Oxigênio Dissolvido,179,16.25,7
MLP,Oxigênio Dissolvido,179,17.71,7
LSTM,Oxigênio Dissolvido,179,18.13,7
Regressão Linear,Oxigênio Dissolvido,179,16.82,8
Random Forest,Oxigênio Dissolvido,179,15.76,8
MLP,Oxigênio Dissolvido,179,17.2,8
LSTM,Oxigênio Dissolvido,179,17.88,8
Regressão Linear,Oxigênio Dissolvido,179,16.87,9
Random Forest,Oxigênio Dissolvido,179,15.79,9
MLP,Oxigênio Dissolvido,179,17.82,9
