tecnica,parametro,amostras,mape,lag
Regressão Linear,Coliformes Termotolerantes,137,32.85,1
Random Forest,Coliformes Termotolerantes,137,32.98,1
MLP,Coliformes Termotolerantes,137,29.82,1
LSTM,Coliformes Termotolerantes,137,21.02,1
Regressão Linear,Coliformes Termotolerantes,137,40.84,2
Random Forest,Coliformes Termotolerantes,137,43.85,2
MLP,Coliformes Termotolerantes,137,29.82,2
LSTM,Coliformes Termotolerantes,137,20.14,2
Regressão Linear,Coliformes Termotolerantes,137,39.49,3
Random Forest,Coliformes Termotolerantes,137,39.28,3
MLP,Coliformes Termotolerantes,137,23.21,3
LSTM,Coliformes Termotolerantes,137,24.78,3
Regressão Linear,Coliformes Termotolerantes,137,42.73,4
Random Forest,Coliformes Termotolerantes,137,39.25,4
MLP,Coliformes Termotolerantes,137,19.99,4
LSTM,Coliformes Termotolerantes,137,23.41,4
Regressão Linear,Coliformes Termotolerantes,137,44.55,5
Random Forest,Coliformes Termotolerantes,137,31.73,5
MLP,Coliformes Termotolerantes,137,18.26,5
LSTM,Coliformes Termotolerantes,137,24.53,5
Regressão Linear,Coliformes Termotolerantes,137,39.72,6
Random Forest,Coliformes Termotolerantes,137,36.51,6
MLP,Coliformes Termotolerantes,137,17.66,6
LSTM,Coliformes Termotolerantes,137,23.8,6
Regressão Linear,Coliformes Termotolerantes,137,43.33,7
Random Forest,Coliformes Termotolerantes,137,33.75,7
MLP,Coliformes Termotolerantes,137,29.54,7
LSTM,Coliformes Termotolerantes,137,17.43,7
Regressão Linear,Coliformes Termotolerantes,137,55.34,8
Random Forest,Coliformes Termotolerantes,137,41.93,8
MLP,Coliformes Termotolerantes,137,29.82,8
LSTM,Coliformes Termotolerantes,137,26.23,8
Regressão Linear,Coliformes Termotolerantes,137,69.58,9
Random Forest,Coliformes Termotolerantes,137,44.54,9
MLP,Coliformes Termotolerantes,137,22.48,9
LSTM,Coliformes Termotolerantes,137,18.42,9
Regressão Linear,Coliformes Termotolerantes,137,78.38,10
Random Forest,Coliformes Termotolerantes,137,43.1,10
MLP,Coliformes Termotolerantes,137,32.14,10
LSTM,Coliformes Termotolerantes,137,24.15,10
Regressão Linear,Oxigênio Dissolvido,184,16.62,1
Random Forest,Oxigênio Dissolvido,184,19.54,1
MLP,Oxigênio Dissolvido,184,31.08,1
LSTM,Oxigênio Dissolvido,184,16.34,1
Regressão Linear,Oxigênio Dissolvido,184,17.44,2
Random Forest,Oxigênio Dissolvido,184,19.55,2
MLP,Oxigênio Dissolvido,184,17.88,2
LSTM,Oxigênio Dissolvido,184,16.9,2
Regressão Linear,Oxigênio Dissolvido,184,18.87,3
Random Forest,Oxigênio Dissolvido,184,18.23,3
MLP,Oxigênio Dissolvido,184,17.68,3
LSTM,Oxigênio Dissolvido,184,16.1,3
Regressão Linear,Oxigênio Dissolvido,184,18.4,4
Random Forest,Oxigênio Dissolvido,184,17.61,4
MLP,Oxigênio Dissolvido,184,15.85,4
LSTM,Oxigênio Dissolvido,184,16.17,4
Regressão Linear,Oxigênio Dissolvido,184,17.63,5
Random Forest,Oxigênio Dissolvido,184,16.49,5
MLP,Oxigênio Dissolvido,184,17.42,5
LSTM,Oxigênio Dissolvido,184,16.19,5
Regressão Linear,Oxigênio Dissolvido,184,17.23,6
Random Forest,Oxigênio Dissolvido,184,15.84,6
MLP,Oxigênio Dissolvido,184,17.55,6
LSTM,Oxigênio Dissolvido,184,15.45,6
Regressão Linear,Oxigênio Dissolvido,184,17.66,7
Random Forest,Oxigênio Dissolvido,184,16.22,7
MLP,Oxigênio Dissolvido,184,31.05,7
LSTM,Oxigênio Dissolvido,184,15.83,7
Regressão Linear,Oxigênio Dissolvido,184,16.82,8
Random Forest,Oxigênio Dissolvido,184,15.92,8
MLP,Oxigênio Dissolvido,184,16.33,8
LSTM,Oxigênio Dissolvido,184,15.85,8
Regressão Linear,Oxigênio Dissolvido,184,16.87,9
Random Forest,Oxigênio Dissolvido,184,15.83,9
MLP,Oxigênio Dissolvido,184,31.08,9
LSTM,Oxigênio Dissolvido,184,16.71,9
Regressão Linear,Oxigênio Dissolvido,184,16.85,10
Random Forest,Oxigênio Dissolvido,184,15.63,10
MLP,Oxigênio Dissolvido,184,16.53,10
LSTM,Oxigênio Dissolvido,184,15.3,10
Regressão Linear,Turbidez,168,35.11,1
Random Forest,Turbidez,168,38.46,1
MLP,Turbidez,168,58.85,1
LSTM,Turbidez,168,34.68,1
Regressão Linear,Turbidez,168,35.35,2
Random Forest,Turbidez,168,38.26,2
MLP,Turbidez,168,58.85,2
LSTM,Turbidez,168,34.51,2
Regressão Linear,Turbidez,168,34.97,3
Random Forest,Turbidez,168,36.01,3
MLP,Turbidez,168,35.25,3
LSTM,Turbidez,168,33.07,3
Regressão Linear,Turbidez,168,34.83,4
Random Forest,Turbidez,168,37.3,4
MLP,Turbidez,168,37.42,4
LSTM,Turbidez,168,32.38,4
Regressão Linear,Turbidez,168,34.8,5
Random Forest,Turbidez,168,36.73,5
MLP,Turbidez,168,35.17,5
LSTM,Turbidez,168,33.64,5
Regressão Linear,Turbidez,168,34.57,6
Random Forest,Turbidez,168,36.68,6
MLP,Turbidez,168,35.06,6
LSTM,Turbidez,168,33.69,6
Regressão Linear,Turbidez,168,34.57,7
Random Forest,Turbidez,168,36.85,7
MLP,Turbidez,168,34.31,7
LSTM,Turbidez,168,32.91,7
Regressão Linear,Turbidez,168,34.6,8
Random Forest,Turbidez,168,36.0,8
MLP,Turbidez,168,36.33,8
LSTM,Turbidez,168,32.29,8
Regressão Linear,Turbidez,168,35.16,9
Random Forest,Turbidez,168,36.78,9
MLP,Turbidez,168,34.3,9
LSTM,Turbidez,168,33.0,9
Regressão Linear,Turbidez,168,36.37,10
Random Forest,Turbidez,168,36.45,10
MLP,Turbidez,168,36.94,10
LSTM,Turbidez,168,32.25,10
Regressão Linear,Fósforo Total,181,18.05,1
Random Forest,Fósforo Total,181,25.26,1
MLP,Fósforo Total,181,16.59,1
LSTM,Fósforo Total,181,17.61,1
Regressão Linear,Fósforo Total,181,17.61,2
Random Forest,Fósforo Total,181,21.22,2
MLP,Fósforo Total,181,62.22,2
LSTM,Fósforo Total,181,17.27,2
Regressão Linear,Fósforo Total,181,17.53,3
Random Forest,Fósforo Total,181,19.9,3
MLP,Fósforo Total,181,62.22,3
LSTM,Fósforo Total,181,16.92,3
Regressão Linear,Fósforo Total,181,17.77,4
Random Forest,Fósforo Total,181,20.77,4
MLP,Fósforo Total,181,17.25,4
LSTM,Fósforo Total,181,16.85,4
Regressão Linear,Fósforo Total,181,18.05,5
Random Forest,Fósforo Total,181,19.42,5
MLP,Fósforo Total,181,17.33,5
LSTM,Fósforo Total,181,62.22,5
Regressão Linear,Fósforo Total,181,17.57,6
Random Forest,Fósforo Total,181,18.94,6
MLP,Fósforo Total,181,17.21,6
LSTM,Fósforo Total,181,17.85,6
Regressão Linear,Fósforo Total,181,17.75,7
Random Forest,Fósforo Total,181,19.22,7
MLP,Fósforo Total,181,17.28,7
LSTM,Fósforo Total,181,62.22,7
Regressão Linear,Fósforo Total,181,18.11,8
Random Forest,Fósforo Total,181,18.66,8
MLP,Fósforo Total,181,18.1,8
LSTM,Fósforo Total,181,17.66,8
Regressão Linear,Fósforo Total,181,18.16,9
Random Forest,Fósforo Total,181,19.27,9
MLP,Fósforo Total,181,18.2,9
LSTM,Fósforo Total,181,17.68,9
Regressão Linear,Fósforo Total,181,18.18,10
Random Forest,Fósforo Total,181,19.49,10
MLP,Fósforo Total,181,19.52,10
LSTM,Fósforo Total,181,16.89,10
Regressão Linear,Sólido Total,195,2.59,1
Random Forest,Sólido Total,195,3.12,1
MLP,Sólido Total,195,2.27,1
LSTM,Sólido Total,195,2.64,1
Regressão Linear,Sólido Total,195,2.52,2
Random Forest,Sólido Total,195,2.93,2
MLP,Sólido Total,195,2.26,2
LSTM,Sólido Total,195,2.36,2
Regressão Linear,Sólido Total,195,2.35,3
Random Forest,Sólido Total,195,2.65,3
MLP,Sólido Total,195,0.9,3
LSTM,Sólido Total,195,2.3,3
Regressão Linear,Sólido Total,195,2.27,4
Random Forest,Sólido Total,195,3.23,4
MLP,Sólido Total,195,2.04,4
LSTM,Sólido Total,195,2.21,4
Regressão Linear,Sólido Total,195,2.18,5
Random Forest,Sólido Total,195,3.21,5
MLP,Sólido Total,195,1.49,5
LSTM,Sólido Total,195,0.87,5
Regressão Linear,Sólido Total,195,2.09,6
Random Forest,Sólido Total,195,3.14,6
MLP,Sólido Total,195,1.85,6
LSTM,Sólido Total,195,3.0,6
Regressão Linear,Sólido Total,195,1.96,7
Random Forest,Sólido Total,195,2.98,7
MLP,Sólido Total,195,1.93,7
LSTM,Sólido Total,195,1.93,7
Regressão Linear,Sólido Total,195,1.92,8
Random Forest,Sólido Total,195,2.97,8
MLP,Sólido Total,195,1.83,8
LSTM,Sólido Total,195,2.1,8
Regressão Linear,Sólido Total,195,1.78,9
Random Forest,Sólido Total,195,2.75,9
MLP,Sólido Total,195,1.7,9
LSTM,Sólido Total,195,1.9,9
Regressão Linear,Sólido Total,195,1.46,10
Random Forest,Sólido Total,195,1.38,10
MLP,Sólido Total,195,1.24,10
LSTM,Sólido Total,195,1.07,10
Regressão Linear,"DBO (5, 20)",141,24.14,1
Random Forest,"DBO (5, 20)",141,19.34,1
MLP,"DBO (5, 20)",141,0.0,1
LSTM,"DBO (5, 20)",141,22.23,1
Regressão Linear,"DBO (5, 20)",141,20.78,2
Random Forest,"DBO (5, 20)",141,14.98,2
MLP,"DBO (5, 20)",141,0.0,2
LSTM,"DBO (5, 20)",141,0.0,2
Regressão Linear,"DBO (5, 20)",141,13.66,3
Random Forest,"DBO (5, 20)",141,12.41,3
MLP,"DBO (5, 20)",141,0.0,3
LSTM,"DBO (5, 20)",141,0.0,3
Regressão Linear,"DBO (5, 20)",141,14.08,4
Random Forest,"DBO (5, 20)",141,8.66,4
MLP,"DBO (5, 20)",141,0.0,4
LSTM,"DBO (5, 20)",141,17.77,4
Regressão Linear,"DBO (5, 20)",141,14.53,5
Random Forest,"DBO (5, 20)",141,3.65,5
MLP,"DBO (5, 20)",141,0.0,5
LSTM,"DBO (5, 20)",141,0.0,5
Regressão Linear,"DBO (5, 20)",141,13.25,6
Random Forest,"DBO (5, 20)",141,3.64,6
MLP,"DBO (5, 20)",141,0.0,6
LSTM,"DBO (5, 20)",141,0.0,6
Regressão Linear,"DBO (5, 20)",141,10.28,7
Random Forest,"DBO (5, 20)",141,4.23,7
MLP,"DBO (5, 20)",141,0.97,7
LSTM,"DBO (5, 20)",141,2.62,7
Regressão Linear,"DBO (5, 20)",141,9.53,8
Random Forest,"DBO (5, 20)",141,4.57,8
MLP,"DBO (5, 20)",141,0.0,8
LSTM,"DBO (5, 20)",141,0.0,8
Regressão Linear,"DBO (5, 20)",141,8.49,9
Random Forest,"DBO (5, 20)",141,6.22,9
MLP,"DBO (5, 20)",141,0.0,9
LSTM,"DBO (5, 20)",141,8.24,9
Regressão Linear,"DBO (5, 20)",141,9.11,10
Random Forest,"DBO (5, 20)",141,7.32,10
MLP,"DBO (5, 20)",141,0.0,10
LSTM,"DBO (5, 20)",141,9.36,10
Regressão Linear,Temperatura da Água,189,3.13,1
Random Forest,Temperatura da Água,189,3.57,1
MLP,Temperatura da Água,189,8.06,1
LSTM,Temperatura da Água,189,3.23,1
Regressão Linear,Temperatura da Água,189,3.18,2
Random Forest,Temperatura da Água,189,4.01,2
MLP,Temperatura da Água,189,3.25,2
LSTM,Temperatura da Água,189,3.29,2
Regressão Linear,Temperatura da Água,189,3.16,3
Random Forest,Temperatura da Água,189,3.32,3
MLP,Temperatura da Água,189,3.34,3
LSTM,Temperatura da Água,189,3.13,3
Regressão Linear,Temperatura da Água,189,3.27,4
Random Forest,Temperatura da Água,189,3.74,4
MLP,Temperatura da Água,189,3.67,4
LSTM,Temperatura da Água,189,3.15,4
Regressão Linear,Temperatura da Água,189,3.27,5
Random Forest,Temperatura da Água,189,3.8,5
MLP,Temperatura da Água,189,3.81,5
LSTM,Temperatura da Água,189,3.24,5
Regressão Linear,Temperatura da Água,189,3.33,6
Random Forest,Temperatura da Água,189,3.65,6
MLP,Temperatura da Água,189,3.52,6
LSTM,Temperatura da Água,189,3.18,6
Regressão Linear,Temperatura da Água,189,3.33,7
Random Forest,Temperatura da Água,189,3.66,7
MLP,Temperatura da Água,189,3.98,7
LSTM,Temperatura da Água,189,3.27,7
Regressão Linear,Temperatura da Água,189,3.36,8
Random Forest,Temperatura da Água,189,3.62,8
MLP,Temperatura da Água,189,3.41,8
LSTM,Temperatura da Água,189,3.15,8
Regressão Linear,Temperatura da Água,189,3.38,9
Random Forest,Temperatura da Água,189,3.41,9
MLP,Temperatura da Água,189,3.77,9
LSTM,Temperatura da Água,189,3.13,9
Regressão Linear,Temperatura da Água,189,3.39,10
Random Forest,Temperatura da Água,189,3.47,10
MLP,Temperatura da Água,189,4.12,10
LSTM,Temperatura da Água,189,8.06,10
Regressão Linear,pH,161,0.86,1
Random Forest,pH,161,1.08,1
MLP,pH,161,2.44,1
LSTM,pH,161,0.85,1
Regressão Linear,pH,161,0.88,2
Random Forest,pH,161,1.19,2
MLP,pH,161,0.91,2
LSTM,pH,161,0.89,2
Regressão Linear,pH,161,0.89,3
Random Forest,pH,161,1.13,3
MLP,pH,161,2.44,3
LSTM,pH,161,0.87,3
Regressão Linear,pH,161,0.89,4
Random Forest,pH,161,1.18,4
MLP,pH,161,0.87,4
LSTM,pH,161,0.88,4
Regressão Linear,pH,161,0.93,5
Random Forest,pH,161,1.07,5
MLP,pH,161,0.93,5
LSTM,pH,161,0.89,5
Regressão Linear,pH,161,0.94,6
Random Forest,pH,161,1.04,6
MLP,pH,161,0.92,6
LSTM,pH,161,0.88,6
Regressão Linear,pH,161,0.94,7
Random Forest,pH,161,1.04,7
MLP,pH,161,0.84,7
LSTM,pH,161,0.87,7
Regressão Linear,pH,161,0.94,8
Random Forest,pH,161,1.03,8
MLP,pH,161,2.44,8
LSTM,pH,161,0.91,8
Regressão Linear,pH,161,0.93,9
Random Forest,pH,161,0.98,9
MLP,pH,161,2.44,9
LSTM,pH,161,0.87,9
Regressão Linear,pH,161,0.92,10
Random Forest,pH,161,0.99,10
MLP,pH,161,2.44,10
LSTM,pH,161,0.88,10
