tecnica,parametro,amostras,mape,lag
Regressão Linear,Coliformes Termotolerantes,179,36.23,1
Random Forest,Coliformes Termotolerantes,179,37.6,1
MLP,Coliformes Termotolerantes,179,32.18,1
LSTM,Coliformes Termotolerantes,179,34.32,1
Regressão Linear,Coliformes Termotolerantes,179,39.96,2
Random Forest,Coliformes Termotolerantes,179,43.49,2
MLP,Coliformes Termotolerantes,179,30.72,2
LSTM,Coliformes Termotolerantes,179,34.77,2
Regressão Linear,Coliformes Termotolerantes,179,75.25,3
Random Forest,Coliformes Termotolerantes,179,85.45,3
MLP,Coliformes Termotolerantes,179,55.65,3
LSTM,Coliformes Termotolerantes,179,56.96,3
Regressão Linear,Coliformes Termotolerantes,179,80.98,4
Random Forest,Coliformes Termotolerantes,179,79.74,4
MLP,Coliformes Termotolerantes,179,53.96,4
LSTM,Coliformes Termotolerantes,179,55.81,4
Regressão Linear,Coliformes Termotolerantes,179,73.91,5
Random Forest,Coliformes Termotolerantes,179,71.51,5
MLP,Coliformes Termotolerantes,179,56.22,5
LSTM,Coliformes Termotolerantes,179,58.96,5
Regressão Linear,Coliformes Termotolerantes,179,72.79,6
Random Forest,Coliformes Termotolerantes,179,69.49,6
MLP,Coliformes Termotolerantes,179,51.47,6
LSTM,Coliformes Termotolerantes,179,56.92,6
Regressão Linear,Coliformes Termotolerantes,179,82.8,7
Random Forest,Coliformes Termotolerantes,179,73.34,7
MLP,Coliformes Termotolerantes,179,52.32,7
LSTM,Coliformes Termotolerantes,179,58.2,7
Regressão Linear,Coliformes Termotolerantes,179,104.29,8
Random Forest,Coliformes Termotolerantes,179,78.09,8
MLP,Coliformes Termotolerantes,179,51.95,8
LSTM,Coliformes Termotolerantes,179,58.78,8
Regressão Linear,Coliformes Termotolerantes,179,94.1,9
Random Forest,Coliformes Termotolerantes,179,77.98,9
MLP,Coliformes Termotolerantes,179,50.87,9
LSTM,Coliformes Termotolerantes,179,58.27,9
Regressão Linear,Coliformes Termotolerantes,179,98.34,10
Random Forest,Coliformes Termotolerantes,179,79.25,10
MLP,Coliformes Termotolerantes,179,50.5,10
LSTM,Coliformes Termotolerantes,179,59.75,10
Regressão Linear,Oxigênio Dissolvido,179,52.9,1
Random Forest,Oxigênio Dissolvido,179,60.17,1
MLP,Oxigênio Dissolvido,179,54.94,1
LSTM,Oxigênio Dissolvido,179,57.85,1
Regressão Linear,Oxigênio Dissolvido,179,53.71,2
Random Forest,Oxigênio Dissolvido,179,59.2,2
MLP,Oxigênio Dissolvido,179,54.48,2
LSTM,Oxigênio Dissolvido,179,58.45,2
Regressão Linear,Oxigênio Dissolvido,179,55.8,3
Random Forest,Oxigênio Dissolvido,179,58.47,3
MLP,Oxigênio Dissolvido,179,54.44,3
LSTM,Oxigênio Dissolvido,179,58.77,3
Regressão Linear,Oxigênio Dissolvido,179,56.48,4
Random Forest,Oxigênio Dissolvido,179,58.27,4
MLP,Oxigênio Dissolvido,179,55.44,4
LSTM,Oxigênio Dissolvido,179,58.87,4
Regressão Linear,Oxigênio Dissolvido,179,56.76,5
Random Forest,Oxigênio Dissolvido,179,57.72,5
MLP,Oxigênio Dissolvido,179,55.09,5
LSTM,Oxigênio Dissolvido,179,61.74,5
Regressão Linear,Oxigênio Dissolvido,179,57.89,6
Random Forest,Oxigênio Dissolvido,179,56.25,6
MLP,Oxigênio Dissolvido,179,53.84,6
LSTM,Oxigênio Dissolvido,179,58.61,6
Regressão Linear,Oxigênio Dissolvido,179,57.31,7
Random Forest,Oxigênio Dissolvido,179,55.74,7
MLP,Oxigênio Dissolvido,179,53.3,7
LSTM,Oxigênio Dissolvido,179,59.92,7
Regressão Linear,Oxigênio Dissolvido,179,57.38,8
Random Forest,Oxigênio Dissolvido,179,55.68,8
MLP,Oxigênio Dissolvido,179,54.34,8
LSTM,Oxigênio Dissolvido,179,59.04,8
Regressão Linear,Oxigênio Dissolvido,179,58.94,9
Random Forest,Oxigênio Dissolvido,179,54.85,9
MLP,Oxigênio Dissolvido,179,54.71,9
LSTM,Oxigênio Dissolvido,179,59.29,9
Regressão Linear,Oxigênio Dissolvido,179,57.71,10
Random Forest,Oxigênio Dissolvido,179,55.68,10
MLP,Oxigênio Dissolvido,179,54.34,10
LSTM,Oxigênio Dissolvido,179,60.38,10
Regressão Linear,Turbidez,179,140.3,1
Random Forest,Turbidez,179,142.4,1
MLP,Turbidez,179,119.19,1
LSTM,Turbidez,179,131.22,1
Regressão Linear,Turbidez,179,150.44,2
Random Forest,Turbidez,179,147.56,2
MLP,Turbidez,179,111.24,2
LSTM,Turbidez,179,124.55,2
Regressão Linear,Turbidez,179,161.65,3
Random Forest,Turbidez,179,150.8,3
MLP,Turbidez,179,115.44,3
LSTM,Turbidez,179,128.1,3
Regressão Linear,Turbidez,179,168.3,4
Random Forest,Turbidez,179,149.36,4
MLP,Turbidez,179,115.71,4
LSTM,Turbidez,179,125.95,4
Regressão Linear,Turbidez,179,167.79,5
Random Forest,Turbidez,179,149.18,5
MLP,Turbidez,179,113.61,5
LSTM,Turbidez,179,127.23,5
Regressão Linear,Turbidez,179,158.0,6
Random Forest,Turbidez,179,147.01,6
MLP,Turbidez,179,113.3,6
LSTM,Turbidez,179,126.78,6
Regressão Linear,Turbidez,179,164.41,7
Random Forest,Turbidez,179,147.93,7
MLP,Turbidez,179,113.93,7
LSTM,Turbidez,179,131.86,7
