tecnica,parametro,amostras,mape,mse,rmse,lag
MLP,Coliformes Termotolerantes,151,45.73,2.1,1.45,1
LSTM,Coliformes Termotolerantes,151,45.35,2.12,1.46,1
MLP,Coliformes Termotolerantes,151,41.67,3.86,1.96,2
LSTM,Coliformes Termotolerantes,151,61.94,7.79,2.79,2
MLP,Coliformes Termotolerantes,151,47.13,4.57,2.14,3
LSTM,Coliformes Termotolerantes,151,38.55,1.99,1.41,3
MLP,Coliformes Termotolerantes,151,53.06,6.19,2.49,4
LSTM,Coliformes Termotolerantes,151,57.96,6.91,2.63,4
MLP,Coliformes Termotolerantes,151,45.33,5.27,2.29,5
LSTM,Coliformes Termotolerantes,151,36.57,2.61,1.62,5
MLP,Coliformes Termotolerantes,151,64.58,13.8,3.71,6
LSTM,Coliformes Termotolerantes,151,105.19,16.68,4.08,6
MLP,Coliformes Termotolerantes,151,50.19,6.43,2.54,7
LSTM,Coliformes Termotolerantes,151,103.08,16.59,4.07,7
MLP,Coliformes Termotolerantes,151,56.99,5.95,2.44,8
LSTM,Coliformes Termotolerantes,151,35.54,2.31,1.52,8
MLP,Coliformes Termotolerantes,151,43.37,3.33,1.82,9
LSTM,Coliformes Termotolerantes,151,45.5,3.78,1.94,9
MLP,Coliformes Termotolerantes,151,59.64,9.52,3.09,10
LSTM,Coliformes Termotolerantes,151,53.22,5.09,2.26,10
MLP,Oxigênio Dissolvido,204,27.68,0.16,0.4,1
LSTM,Oxigênio Dissolvido,204,27.13,0.16,0.4,1
MLP,Oxigênio Dissolvido,204,29.33,0.18,0.42,2
LSTM,Oxigênio Dissolvido,204,27.63,0.18,0.43,2
MLP,Oxigênio Dissolvido,204,28.26,0.18,0.43,3
LSTM,Oxigênio Dissolvido,204,26.22,0.15,0.39,3
MLP,Oxigênio Dissolvido,204,27.51,0.16,0.4,4
LSTM,Oxigênio Dissolvido,204,27.19,0.17,0.41,4
MLP,Oxigênio Dissolvido,204,26.66,0.15,0.39,5
LSTM,Oxigênio Dissolvido,204,27.3,0.18,0.42,5
MLP,Oxigênio Dissolvido,204,26.8,0.17,0.41,6
LSTM,Oxigênio Dissolvido,204,27.09,0.17,0.41,6
MLP,Oxigênio Dissolvido,204,26.66,0.14,0.38,7
LSTM,Oxigênio Dissolvido,204,26.96,0.16,0.4,7
MLP,Oxigênio Dissolvido,204,27.7,0.17,0.41,8
LSTM,Oxigênio Dissolvido,204,27.8,0.19,0.43,8
