,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,55.41,1
1,Random Forest,Coliformes Termotolerantes,151,55.38,1
2,MLP,Coliformes Termotolerantes,151,51.95,1
3,LSTM,Coliformes Termotolerantes,151,52.25,1
4,Regressão Linear,Coliformes Termotolerantes,151,41.82,2
5,Random Forest,Coliformes Termotolerantes,151,43.61,2
6,MLP,Coliformes Termotolerantes,151,37.47,2
7,LSTM,Coliformes Termotolerantes,151,36.8,2
8,Regressão Linear,Coliformes Termotolerantes,151,44.77,3
9,Random Forest,Coliformes Termotolerantes,151,40.99,3
10,MLP,Coliformes Termotolerantes,151,35.76,3
11,LSTM,Coliformes Termotolerantes,151,32.53,3
12,Regressão Linear,Coliformes Termotolerantes,151,44.88,4
13,Random Forest,Coliformes Termotolerantes,151,35.95,4
14,MLP,Coliformes Termotolerantes,151,39.05,4
15,LSTM,Coliformes Termotolerantes,151,32.11,4
16,Regressão Linear,Coliformes Termotolerantes,151,46.34,5
17,Random Forest,Coliformes Termotolerantes,151,40.99,5
18,MLP,Coliformes Termotolerantes,151,36.9,5
19,LSTM,Coliformes Termotolerantes,151,40.25,5
20,Regressão Linear,Coliformes Termotolerantes,151,45.31,6
21,Random Forest,Coliformes Termotolerantes,151,38.44,6
22,MLP,Coliformes Termotolerantes,151,34.51,6
23,LSTM,Coliformes Termotolerantes,151,31.59,6
24,Regressão Linear,Coliformes Termotolerantes,151,49.29,7
25,Random Forest,Coliformes Termotolerantes,151,38.21,7
26,MLP,Coliformes Termotolerantes,151,36.34,7
27,LSTM,Coliformes Termotolerantes,151,32.64,7
28,Regressão Linear,Coliformes Termotolerantes,151,48.63,8
29,Random Forest,Coliformes Termotolerantes,151,40.34,8
30,MLP,Coliformes Termotolerantes,151,34.59,8
31,LSTM,Coliformes Termotolerantes,151,32.57,8
32,Regressão Linear,Coliformes Termotolerantes,151,56.96,9
33,Random Forest,Coliformes Termotolerantes,151,50.64,9
34,MLP,Coliformes Termotolerantes,151,36.82,9
35,LSTM,Coliformes Termotolerantes,151,33.65,9
36,Regressão Linear,Coliformes Termotolerantes,151,70.96,10
37,Random Forest,Coliformes Termotolerantes,151,55.93,10
38,MLP,Coliformes Termotolerantes,151,34.11,10
39,LSTM,Coliformes Termotolerantes,151,38.61,10
40,Regressão Linear,Oxigênio Dissolvido,204,27.13,1
41,Random Forest,Oxigênio Dissolvido,204,28.68,1
42,MLP,Oxigênio Dissolvido,204,28.31,1
43,LSTM,Oxigênio Dissolvido,204,28.16,1
44,Regressão Linear,Oxigênio Dissolvido,204,28.47,2
45,Random Forest,Oxigênio Dissolvido,204,31.7,2
46,MLP,Oxigênio Dissolvido,204,30.16,2
47,LSTM,Oxigênio Dissolvido,204,28.74,2
48,Regressão Linear,Oxigênio Dissolvido,204,27.21,3
49,Random Forest,Oxigênio Dissolvido,204,30.73,3
50,MLP,Oxigênio Dissolvido,204,29.96,3
51,LSTM,Oxigênio Dissolvido,204,26.35,3
52,Regressão Linear,Oxigênio Dissolvido,204,26.96,4
53,Random Forest,Oxigênio Dissolvido,204,29.51,4
54,MLP,Oxigênio Dissolvido,204,28.67,4
55,LSTM,Oxigênio Dissolvido,204,26.9,4
56,Regressão Linear,Oxigênio Dissolvido,204,26.97,5
57,Random Forest,Oxigênio Dissolvido,204,30.35,5
58,MLP,Oxigênio Dissolvido,204,30.01,5
59,LSTM,Oxigênio Dissolvido,204,27.53,5
60,Regressão Linear,Oxigênio Dissolvido,204,27.0,6
61,Random Forest,Oxigênio Dissolvido,204,29.51,6
62,MLP,Oxigênio Dissolvido,204,28.72,6
63,LSTM,Oxigênio Dissolvido,204,27.57,6
64,Regressão Linear,Oxigênio Dissolvido,204,26.93,7
65,Random Forest,Oxigênio Dissolvido,204,28.78,7
66,MLP,Oxigênio Dissolvido,204,27.74,7
67,LSTM,Oxigênio Dissolvido,204,27.51,7
68,Regressão Linear,Oxigênio Dissolvido,204,27.02,8
69,Random Forest,Oxigênio Dissolvido,204,28.87,8
70,MLP,Oxigênio Dissolvido,204,25.46,8
71,LSTM,Oxigênio Dissolvido,204,27.35,8
72,Regressão Linear,Oxigênio Dissolvido,204,27.03,9
73,Random Forest,Oxigênio Dissolvido,204,28.39,9
74,MLP,Oxigênio Dissolvido,204,27.14,9
75,LSTM,Oxigênio Dissolvido,204,27.93,9
76,Regressão Linear,Oxigênio Dissolvido,204,27.29,10
77,Random Forest,Oxigênio Dissolvido,204,28.57,10
78,MLP,Oxigênio Dissolvido,204,27.85,10
79,LSTM,Oxigênio Dissolvido,204,27.71,10
80,Regressão Linear,Turbidez,189,106.09,1
81,Random Forest,Turbidez,189,106.89,1
82,MLP,Turbidez,189,96.13,1
83,LSTM,Turbidez,189,103.05,1
84,Regressão Linear,Turbidez,189,106.98,2
85,Random Forest,Turbidez,189,104.39,2
86,MLP,Turbidez,189,97.8,2
87,LSTM,Turbidez,189,100.91,2
88,Regressão Linear,Turbidez,189,109.69,3
89,Random Forest,Turbidez,189,103.91,3
90,MLP,Turbidez,189,94.55,3
91,LSTM,Turbidez,189,103.29,3
92,Regressão Linear,Turbidez,189,112.98,4
93,Random Forest,Turbidez,189,103.97,4
94,MLP,Turbidez,189,95.55,4
95,LSTM,Turbidez,189,102.29,4
96,Regressão Linear,Turbidez,189,112.76,5
97,Random Forest,Turbidez,189,104.2,5
98,MLP,Turbidez,189,92.02,5
99,LSTM,Turbidez,189,99.41,5
100,Regressão Linear,Turbidez,189,114.91,6
101,Random Forest,Turbidez,189,103.67,6
102,MLP,Turbidez,189,93.92,6
103,LSTM,Turbidez,189,101.04,6
104,Regressão Linear,Turbidez,189,115.63,7
105,Random Forest,Turbidez,189,100.95,7
106,MLP,Turbidez,189,93.81,7
107,LSTM,Turbidez,189,103.65,7
108,Regressão Linear,Turbidez,189,112.01,8
109,Random Forest,Turbidez,189,61.77,8
110,MLP,Turbidez,189,93.47,8
111,LSTM,Turbidez,189,102.97,8
112,Regressão Linear,Turbidez,189,104.97,9
113,Random Forest,Turbidez,189,47.28,9
114,MLP,Turbidez,189,90.49,9
115,LSTM,Turbidez,189,103.29,9
116,Regressão Linear,Turbidez,189,110.6,10
117,Random Forest,Turbidez,189,58.95,10
118,MLP,Turbidez,189,91.37,10
119,LSTM,Turbidez,189,100.82,10
120,Regressão Linear,Fósforo Total,192,15.42,1
121,Random Forest,Fósforo Total,192,17.7,1
122,MLP,Fósforo Total,192,15.34,1
123,LSTM,Fósforo Total,192,15.45,1
124,Regressão Linear,Fósforo Total,192,15.49,2
125,Random Forest,Fósforo Total,192,18.0,2
126,MLP,Fósforo Total,192,16.59,2
127,LSTM,Fósforo Total,192,15.44,2
128,Regressão Linear,Fósforo Total,192,15.48,3
129,Random Forest,Fósforo Total,192,16.93,3
130,MLP,Fósforo Total,192,16.36,3
131,LSTM,Fósforo Total,192,15.33,3
132,Regressão Linear,Fósforo Total,192,15.27,4
133,Random Forest,Fósforo Total,192,16.72,4
134,MLP,Fósforo Total,192,16.45,4
135,LSTM,Fósforo Total,192,15.22,4
136,Regressão Linear,Fósforo Total,192,15.55,5
137,Random Forest,Fósforo Total,192,16.12,5
138,MLP,Fósforo Total,192,16.3,5
139,LSTM,Fósforo Total,192,15.22,5
140,Regressão Linear,Fósforo Total,192,15.67,6
141,Random Forest,Fósforo Total,192,16.36,6
142,MLP,Fósforo Total,192,16.16,6
143,LSTM,Fósforo Total,192,15.29,6
144,Regressão Linear,Fósforo Total,192,14.89,7
145,Random Forest,Fósforo Total,192,15.85,7
146,MLP,Fósforo Total,192,15.56,7
147,LSTM,Fósforo Total,192,15.34,7
148,Regressão Linear,Fósforo Total,192,14.96,8
149,Random Forest,Fósforo Total,192,16.18,8
150,MLP,Fósforo Total,192,16.11,8
151,LSTM,Fósforo Total,192,15.34,8
152,Regressão Linear,Fósforo Total,192,15.45,9
153,Random Forest,Fósforo Total,192,15.69,9
154,MLP,Fósforo Total,192,14.76,9
155,LSTM,Fósforo Total,192,15.39,9
156,Regressão Linear,Fósforo Total,192,15.52,10
157,Random Forest,Fósforo Total,192,15.63,10
158,MLP,Fósforo Total,192,14.71,10
159,LSTM,Fósforo Total,192,15.28,10
160,Regressão Linear,Sólido Total,205,2.17,1
161,Random Forest,Sólido Total,205,3.19,1
162,MLP,Sólido Total,205,2.37,1
163,LSTM,Sólido Total,205,2.57,1
164,Regressão Linear,Sólido Total,205,2.09,2
165,Random Forest,Sólido Total,205,2.77,2
166,MLP,Sólido Total,205,2.41,2
167,LSTM,Sólido Total,205,2.37,2
168,Regressão Linear,Sólido Total,205,1.94,3
169,Random Forest,Sólido Total,205,2.83,3
170,MLP,Sólido Total,205,2.45,3
171,LSTM,Sólido Total,205,2.36,3
172,Regressão Linear,Sólido Total,205,1.91,4
173,Random Forest,Sólido Total,205,3.0,4
174,MLP,Sólido Total,205,2.17,4
175,LSTM,Sólido Total,205,2.48,4
176,Regressão Linear,Sólido Total,205,0.98,5
177,Random Forest,Sólido Total,205,0.73,5
178,MLP,Sólido Total,205,1.08,5
179,LSTM,Sólido Total,205,0.9,5
180,Regressão Linear,Sólido Total,205,0.83,6
181,Random Forest,Sólido Total,205,0.68,6
182,MLP,Sólido Total,205,0.96,6
183,LSTM,Sólido Total,205,1.26,6
184,Regressão Linear,Sólido Total,205,0.85,7
185,Random Forest,Sólido Total,205,0.71,7
186,MLP,Sólido Total,205,0.98,7
187,LSTM,Sólido Total,205,1.16,7
188,Regressão Linear,Sólido Total,205,1.14,8
189,Random Forest,Sólido Total,205,0.78,8
190,MLP,Sólido Total,205,1.49,8
191,LSTM,Sólido Total,205,0.89,8
192,Regressão Linear,Sólido Total,205,1.1,9
193,Random Forest,Sólido Total,205,0.71,9
194,MLP,Sólido Total,205,1.4,9
195,LSTM,Sólido Total,205,1.13,9
196,Regressão Linear,Sólido Total,205,4.65,10
197,Random Forest,Sólido Total,205,3.8,10
198,MLP,Sólido Total,205,6.67,10
199,LSTM,Sólido Total,205,2.91,10
200,Regressão Linear,"DBO (5, 20)",161,10.09,1
201,Random Forest,"DBO (5, 20)",161,8.77,1
202,MLP,"DBO (5, 20)",161,3.99,1
203,LSTM,"DBO (5, 20)",161,13.7,1
204,Regressão Linear,"DBO (5, 20)",161,9.01,2
205,Random Forest,"DBO (5, 20)",161,8.38,2
206,MLP,"DBO (5, 20)",161,5.17,2
207,LSTM,"DBO (5, 20)",161,13.62,2
