,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,55.41,1
1,Random Forest,Coliformes Termotolerantes,151,55.31,1
2,MLP,Coliformes Termotolerantes,151,38.88,1
3,LSTM,Coliformes Termotolerantes,151,40.04,1
4,Regressão Linear,Coliformes Termotolerantes,151,41.82,2
5,Random Forest,Coliformes Termotolerantes,151,42.22,2
6,MLP,Coliformes Termotolerantes,151,723.79,2
7,LSTM,Coliformes Termotolerantes,151,55.05,2
8,Regressão Linear,Coliformes Termotolerantes,151,44.77,3
9,Random Forest,Coliformes Termotolerantes,151,39.02,3
10,MLP,Coliformes Termotolerantes,151,42.62,3
11,LSTM,Coliformes Termotolerantes,151,54.9,3
12,Regressão Linear,Coliformes Termotolerantes,151,44.88,4
13,Random Forest,Coliformes Termotolerantes,151,39.3,4
14,MLP,Coliformes Termotolerantes,151,45.47,4
15,LSTM,Coliformes Termotolerantes,151,58.57,4
16,Regressão Linear,Coliformes Termotolerantes,151,46.34,5
17,Random Forest,Coliformes Termotolerantes,151,41.48,5
18,MLP,Coliformes Termotolerantes,151,41.82,5
19,LSTM,Coliformes Termotolerantes,151,46.56,5
20,Regressão Linear,Coliformes Termotolerantes,151,45.31,6
21,Random Forest,Coliformes Termotolerantes,151,39.7,6
22,MLP,Coliformes Termotolerantes,151,44.6,6
23,LSTM,Coliformes Termotolerantes,151,65.11,6
24,Regressão Linear,Coliformes Termotolerantes,151,49.29,7
25,Random Forest,Coliformes Termotolerantes,151,41.02,7
26,MLP,Coliformes Termotolerantes,151,51.46,7
27,LSTM,Coliformes Termotolerantes,151,50.3,7
28,Regressão Linear,Coliformes Termotolerantes,151,48.63,8
29,Random Forest,Coliformes Termotolerantes,151,41.41,8
30,MLP,Coliformes Termotolerantes,151,48.29,8
31,LSTM,Coliformes Termotolerantes,151,38.51,8
32,Regressão Linear,Coliformes Termotolerantes,151,56.96,9
33,Random Forest,Coliformes Termotolerantes,151,52.02,9
34,MLP,Coliformes Termotolerantes,151,723.79,9
35,LSTM,Coliformes Termotolerantes,151,63.66,9
36,Regressão Linear,Coliformes Termotolerantes,151,70.96,10
37,Random Forest,Coliformes Termotolerantes,151,59.48,10
38,MLP,Coliformes Termotolerantes,151,46.5,10
39,LSTM,Coliformes Termotolerantes,151,33.26,10
40,Regressão Linear,Oxigênio Dissolvido,204,27.13,1
41,Random Forest,Oxigênio Dissolvido,204,28.84,1
42,MLP,Oxigênio Dissolvido,204,65.71,1
43,LSTM,Oxigênio Dissolvido,204,27.6,1
44,Regressão Linear,Oxigênio Dissolvido,204,28.47,2
45,Random Forest,Oxigênio Dissolvido,204,31.41,2
46,MLP,Oxigênio Dissolvido,204,31.35,2
47,LSTM,Oxigênio Dissolvido,204,27.69,2
48,Regressão Linear,Oxigênio Dissolvido,204,27.21,3
49,Random Forest,Oxigênio Dissolvido,204,30.38,3
50,MLP,Oxigênio Dissolvido,204,28.05,3
51,LSTM,Oxigênio Dissolvido,204,27.28,3
52,Regressão Linear,Oxigênio Dissolvido,204,26.96,4
53,Random Forest,Oxigênio Dissolvido,204,29.74,4
54,MLP,Oxigênio Dissolvido,204,26.92,4
55,LSTM,Oxigênio Dissolvido,204,27.07,4
56,Regressão Linear,Oxigênio Dissolvido,204,26.97,5
57,Random Forest,Oxigênio Dissolvido,204,30.4,5
58,MLP,Oxigênio Dissolvido,204,28.15,5
59,LSTM,Oxigênio Dissolvido,204,27.49,5
60,Regressão Linear,Oxigênio Dissolvido,204,27.0,6
61,Random Forest,Oxigênio Dissolvido,204,29.51,6
62,MLP,Oxigênio Dissolvido,204,28.97,6
63,LSTM,Oxigênio Dissolvido,204,27.26,6
64,Regressão Linear,Oxigênio Dissolvido,204,26.93,7
65,Random Forest,Oxigênio Dissolvido,204,28.68,7
66,MLP,Oxigênio Dissolvido,204,28.46,7
67,LSTM,Oxigênio Dissolvido,204,26.86,7
68,Regressão Linear,Oxigênio Dissolvido,204,27.02,8
69,Random Forest,Oxigênio Dissolvido,204,29.28,8
70,MLP,Oxigênio Dissolvido,204,65.71,8
71,LSTM,Oxigênio Dissolvido,204,27.35,8
72,Regressão Linear,Oxigênio Dissolvido,204,27.03,9
73,Random Forest,Oxigênio Dissolvido,204,28.96,9
74,MLP,Oxigênio Dissolvido,204,29.0,9
75,LSTM,Oxigênio Dissolvido,204,27.17,9
76,Regressão Linear,Oxigênio Dissolvido,204,27.29,10
77,Random Forest,Oxigênio Dissolvido,204,28.87,10
78,MLP,Oxigênio Dissolvido,204,29.72,10
79,LSTM,Oxigênio Dissolvido,204,27.9,10
80,Regressão Linear,Turbidez,189,106.09,1
81,Random Forest,Turbidez,189,106.71,1
82,MLP,Turbidez,189,73.86,1
83,LSTM,Turbidez,189,74.08,1
84,Regressão Linear,Turbidez,189,106.98,2
85,Random Forest,Turbidez,189,104.97,2
86,MLP,Turbidez,189,75.08,2
87,LSTM,Turbidez,189,77.77,2
88,Regressão Linear,Turbidez,189,109.69,3
89,Random Forest,Turbidez,189,105.05,3
90,MLP,Turbidez,189,83.15,3
91,LSTM,Turbidez,189,67.93,3
92,Regressão Linear,Turbidez,189,112.98,4
93,Random Forest,Turbidez,189,103.53,4
94,MLP,Turbidez,189,66.34,4
95,LSTM,Turbidez,189,83.15,4
96,Regressão Linear,Turbidez,189,112.76,5
97,Random Forest,Turbidez,189,103.0,5
98,MLP,Turbidez,189,68.16,5
99,LSTM,Turbidez,189,72.95,5
100,Regressão Linear,Turbidez,189,114.91,6
101,Random Forest,Turbidez,189,103.59,6
102,MLP,Turbidez,189,59.7,6
103,LSTM,Turbidez,189,68.01,6
104,Regressão Linear,Turbidez,189,115.63,7
105,Random Forest,Turbidez,189,102.04,7
106,MLP,Turbidez,189,56.0,7
107,LSTM,Turbidez,189,58.22,7
108,Regressão Linear,Turbidez,189,112.01,8
109,Random Forest,Turbidez,189,73.26,8
110,MLP,Turbidez,189,63.84,8
111,LSTM,Turbidez,189,63.78,8
112,Regressão Linear,Turbidez,189,104.97,9
113,Random Forest,Turbidez,189,48.86,9
114,MLP,Turbidez,189,65.03,9
115,LSTM,Turbidez,189,64.62,9
116,Regressão Linear,Turbidez,189,110.6,10
117,Random Forest,Turbidez,189,57.84,10
118,MLP,Turbidez,189,160.31,10
119,LSTM,Turbidez,189,160.31,10
120,Regressão Linear,Fósforo Total,192,15.42,1
121,Random Forest,Fósforo Total,192,18.08,1
122,MLP,Fósforo Total,192,50.66,1
123,LSTM,Fósforo Total,192,15.11,1
124,Regressão Linear,Fósforo Total,192,15.49,2
125,Random Forest,Fósforo Total,192,18.05,2
126,MLP,Fósforo Total,192,15.88,2
127,LSTM,Fósforo Total,192,15.39,2
128,Regressão Linear,Fósforo Total,192,15.48,3
129,Random Forest,Fósforo Total,192,16.91,3
130,MLP,Fósforo Total,192,15.49,3
131,LSTM,Fósforo Total,192,15.46,3
132,Regressão Linear,Fósforo Total,192,15.27,4
133,Random Forest,Fósforo Total,192,16.9,4
134,MLP,Fósforo Total,192,16.92,4
135,LSTM,Fósforo Total,192,15.28,4
136,Regressão Linear,Fósforo Total,192,15.55,5
137,Random Forest,Fósforo Total,192,16.25,5
138,MLP,Fósforo Total,192,50.66,5
139,LSTM,Fósforo Total,192,15.38,5
140,Regressão Linear,Fósforo Total,192,15.67,6
141,Random Forest,Fósforo Total,192,16.06,6
