,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,55.41,1
1,Random Forest,Coliformes Termotolerantes,151,55.66,1
2,MLP,Coliformes Termotolerantes,151,66.93,1
3,LSTM,Coliformes Termotolerantes,151,40.22,1
4,Regressão Linear,Coliformes Termotolerantes,151,41.82,2
5,Random Forest,Coliformes Termotolerantes,151,43.18,2
6,MLP,Coliformes Termotolerantes,151,41.6,2
7,LSTM,Coliformes Termotolerantes,151,70.55,2
8,Regressão Linear,Coliformes Termotolerantes,151,44.77,3
9,Random Forest,Coliformes Termotolerantes,151,38.25,3
10,MLP,Coliformes Termotolerantes,151,44.41,3
11,LSTM,Coliformes Termotolerantes,151,70.71,3
12,Regressão Linear,Coliformes Termotolerantes,151,44.88,4
13,Random Forest,Coliformes Termotolerantes,151,38.75,4
14,MLP,Coliformes Termotolerantes,151,47.48,4
15,LSTM,Coliformes Termotolerantes,151,50.14,4
16,Regressão Linear,Coliformes Termotolerantes,151,46.34,5
17,Random Forest,Coliformes Termotolerantes,151,39.62,5
18,MLP,Coliformes Termotolerantes,151,722.98,5
19,LSTM,Coliformes Termotolerantes,151,81.87,5
20,Regressão Linear,Coliformes Termotolerantes,151,45.31,6
21,Random Forest,Coliformes Termotolerantes,151,41.15,6
22,MLP,Coliformes Termotolerantes,151,723.79,6
23,LSTM,Coliformes Termotolerantes,151,49.48,6
24,Regressão Linear,Coliformes Termotolerantes,151,49.29,7
25,Random Forest,Coliformes Termotolerantes,151,39.21,7
26,MLP,Coliformes Termotolerantes,151,723.79,7
27,LSTM,Coliformes Termotolerantes,151,87.86,7
28,Regressão Linear,Coliformes Termotolerantes,151,48.63,8
29,Random Forest,Coliformes Termotolerantes,151,42.66,8
30,MLP,Coliformes Termotolerantes,151,723.79,8
31,LSTM,Coliformes Termotolerantes,151,76.01,8
32,Regressão Linear,Coliformes Termotolerantes,151,56.96,9
33,Random Forest,Coliformes Termotolerantes,151,51.63,9
