,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,170,80.43,1
1,Random Forest,Coliformes Termotolerantes,170,84.7,1
2,MLP,Coliformes Termotolerantes,170,71.07,1
3,LSTM,Coliformes Termotolerantes,170,77.24,1
4,Regressão Linear,Coliformes Termotolerantes,170,87.46,2
5,Random Forest,Coliformes Termotolerantes,170,93.06,2
6,MLP,Coliformes Termotolerantes,170,75.58,2
7,LSTM,Coliformes Termotolerantes,170,73.76,2
8,Regressão Linear,Coliformes Termotolerantes,170,91.84,3
9,Random Forest,Coliformes Termotolerantes,170,102.45,3
10,MLP,Coliformes Termotolerantes,170,73.3,3
11,LSTM,Coliformes Termotolerantes,170,72.68,3
12,Regressão Linear,Coliformes Termotolerantes,170,95.75,4
13,Random Forest,Coliformes Termotolerantes,170,98.56,4
14,MLP,Coliformes Termotolerantes,170,71.44,4
15,LSTM,Coliformes Termotolerantes,170,74.11,4
16,Regressão Linear,Coliformes Termotolerantes,170,51.27,5
17,Random Forest,Coliformes Termotolerantes,170,53.6,5
18,MLP,Coliformes Termotolerantes,170,47.63,5
19,LSTM,Coliformes Termotolerantes,170,41.31,5
20,Regressão Linear,Coliformes Termotolerantes,170,48.34,6
21,Random Forest,Coliformes Termotolerantes,170,48.07,6
22,MLP,Coliformes Termotolerantes,170,49.58,6
23,LSTM,Coliformes Termotolerantes,170,37.71,6
24,Regressão Linear,Coliformes Termotolerantes,170,58.4,7
25,Random Forest,Coliformes Termotolerantes,170,56.74,7
26,MLP,Coliformes Termotolerantes,170,45.72,7
27,LSTM,Coliformes Termotolerantes,170,50.13,7
28,Regressão Linear,Coliformes Termotolerantes,170,75.06,8
29,Random Forest,Coliformes Termotolerantes,170,64.99,8
30,MLP,Coliformes Termotolerantes,170,44.33,8
31,LSTM,Coliformes Termotolerantes,170,41.74,8
32,Regressão Linear,Coliformes Termotolerantes,170,70.91,9
33,Random Forest,Coliformes Termotolerantes,170,62.39,9
34,MLP,Coliformes Termotolerantes,170,44.64,9
35,LSTM,Coliformes Termotolerantes,170,44.41,9
36,Regressão Linear,Coliformes Termotolerantes,170,73.99,10
37,Random Forest,Coliformes Termotolerantes,170,60.92,10
38,MLP,Coliformes Termotolerantes,170,52.2,10
39,LSTM,Coliformes Termotolerantes,170,48.0,10
40,Regressão Linear,Oxigênio Dissolvido,207,39.73,1
41,Random Forest,Oxigênio Dissolvido,207,42.57,1
42,MLP,Oxigênio Dissolvido,207,41.66,1
43,LSTM,Oxigênio Dissolvido,207,41.92,1
44,Regressão Linear,Oxigênio Dissolvido,207,40.35,2
45,Random Forest,Oxigênio Dissolvido,207,42.52,2
46,MLP,Oxigênio Dissolvido,207,40.95,2
47,LSTM,Oxigênio Dissolvido,207,41.65,2
48,Regressão Linear,Oxigênio Dissolvido,207,41.29,3
49,Random Forest,Oxigênio Dissolvido,207,42.33,3
50,MLP,Oxigênio Dissolvido,207,41.62,3
51,LSTM,Oxigênio Dissolvido,207,41.83,3
52,Regressão Linear,Oxigênio Dissolvido,207,41.71,4
53,Random Forest,Oxigênio Dissolvido,207,41.97,4
54,MLP,Oxigênio Dissolvido,207,40.05,4
55,LSTM,Oxigênio Dissolvido,207,42.24,4
56,Regressão Linear,Oxigênio Dissolvido,207,41.94,5
57,Random Forest,Oxigênio Dissolvido,207,41.88,5
58,MLP,Oxigênio Dissolvido,207,39.9,5
59,LSTM,Oxigênio Dissolvido,207,42.11,5
