,tecnica,parametro,amostras,mape
0,RL,Coliformes Termotolerantes,152,38.85
1,RF,Coliformes Termotolerantes,152,44.74
2,MLP,Coliformes Termotolerantes,152,70.32
3,LSTM,Coliformes Termotolerantes,152,70.32
4,RL,Oxigênio Dissolvido,205,26.3
5,RF,Oxigênio Dissolvido,205,32.29
6,MLP,Oxigênio Dissolvido,205,36.77
7,LSTM,Oxigênio Dissolvido,205,36.77
8,RL,Turbidez,190,36.27
9,RF,Turbidez,190,104.28
10,MLP,Turbidez,190,49.14
11,LSTM,Turbidez,190,49.12
12,RL,Fósforo Total,193,15.97
13,RF,Fósforo Total,193,16.6
14,MLP,Fósforo Total,193,100.0
15,LSTM,Fósforo Total,193,100.0
16,RL,Sólido Total,206,6.95
17,RF,Sólido Total,206,2.06
18,MLP,Sólido Total,206,78.4
19,LSTM,Sólido Total,206,78.4
20,RL,"DBO (5, 20)",162,7.62
21,RF,"DBO (5, 20)",162,3.85
22,MLP,"DBO (5, 20)",162,11.35
23,LSTM,"DBO (5, 20)",162,10.68
24,RL,Temperatura da Água,196,2.58
25,RF,Temperatura da Água,196,3.18
26,MLP,Temperatura da Água,196,67.38
27,LSTM,Temperatura da Água,196,67.38
28,RL,pH,180,1.61
29,RF,pH,180,1.73
30,MLP,pH,180,46.41
31,LSTM,pH,180,46.41
