,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,151,39.2,1
1,Random Forest,Coliformes Termotolerantes,151,44.74,1
2,MLP,Coliformes Termotolerantes,151,36.82,1
3,LSTM,Coliformes Termotolerantes,151,36.0,1
4,Regressão Linear,Coliformes Termotolerantes,151,40.2,2
5,Random Forest,Coliformes Termotolerantes,151,47.47,2
6,MLP,Coliformes Termotolerantes,151,40.99,2
7,LSTM,Coliformes Termotolerantes,151,37.72,2
8,Regressão Linear,Coliformes Termotolerantes,151,36.5,3
9,Random Forest,Coliformes Termotolerantes,151,42.13,3
10,MLP,Coliformes Termotolerantes,151,34.73,3
11,LSTM,Coliformes Termotolerantes,151,33.33,3
12,Regressão Linear,Coliformes Termotolerantes,151,39.97,4
13,Random Forest,Coliformes Termotolerantes,151,45.59,4
14,MLP,Coliformes Termotolerantes,151,39.37,4
15,LSTM,Coliformes Termotolerantes,151,34.8,4
16,Regressão Linear,Coliformes Termotolerantes,151,40.41,5
17,Random Forest,Coliformes Termotolerantes,151,45.57,5
18,MLP,Coliformes Termotolerantes,151,40.03,5
19,LSTM,Coliformes Termotolerantes,151,29.75,5
20,Regressão Linear,Coliformes Termotolerantes,151,37.34,6
21,Random Forest,Coliformes Termotolerantes,151,42.5,6
22,MLP,Coliformes Termotolerantes,151,37.71,6
23,LSTM,Coliformes Termotolerantes,151,30.04,6
24,Regressão Linear,Coliformes Termotolerantes,151,38.86,7
25,Random Forest,Coliformes Termotolerantes,151,42.89,7
26,MLP,Coliformes Termotolerantes,151,38.01,7
27,LSTM,Coliformes Termotolerantes,151,36.96,7
28,Regressão Linear,Coliformes Termotolerantes,151,39.19,8
29,Random Forest,Coliformes Termotolerantes,151,41.98,8
30,MLP,Coliformes Termotolerantes,151,35.02,8
31,LSTM,Coliformes Termotolerantes,151,34.07,8
32,Regressão Linear,Coliformes Termotolerantes,151,45.13,9
33,Random Forest,Coliformes Termotolerantes,151,56.08,9
34,MLP,Coliformes Termotolerantes,151,31.73,9
35,LSTM,Coliformes Termotolerantes,151,31.54,9
36,Regressão Linear,Oxigênio Dissolvido,204,27.87,1
