,tecnica,parametro,amostras,mape,lag
0,Regressão Linear,Coliformes Termotolerantes,170,33.37,1
1,Random Forest,Coliformes Termotolerantes,170,51.95,1
2,MLP,Coliformes Termotolerantes,170,34.32,1
3,LSTM,Coliformes Termotolerantes,170,33.18,1
4,Regressão Linear,Coliformes Termotolerantes,170,33.37,2
5,Random Forest,Coliformes Termotolerantes,170,49.85,2
6,MLP,Coliformes Termotolerantes,170,34.42,2
7,LSTM,Coliformes Termotolerantes,170,33.52,2
8,Regressão Linear,Coliformes Termotolerantes,170,33.52,3
9,Random Forest,Coliformes Termotolerantes,170,55.93,3
10,MLP,Coliformes Termotolerantes,170,34.66,3
11,LSTM,Coliformes Termotolerantes,170,34.34,3
12,Regressão Linear,Coliformes Termotolerantes,170,32.96,4
13,Random Forest,Coliformes Termotolerantes,170,51.81,4
14,MLP,Coliformes Termotolerantes,170,34.74,4
15,LSTM,Coliformes Termotolerantes,170,33.5,4
16,Regressão Linear,Coliformes Termotolerantes,170,32.74,5
17,Random Forest,Coliformes Termotolerantes,170,52.95,5
18,MLP,Coliformes Termotolerantes,170,33.21,5
19,LSTM,Coliformes Termotolerantes,170,34.87,5
20,Regressão Linear,Coliformes Termotolerantes,170,32.83,6
21,Random Forest,Coliformes Termotolerantes,170,39.49,6
22,MLP,Coliformes Termotolerantes,170,34.35,6
23,LSTM,Coliformes Termotolerantes,170,34.18,6
24,Regressão Linear,Coliformes Termotolerantes,170,33.15,7
25,Random Forest,Coliformes Termotolerantes,170,53.0,7
26,MLP,Coliformes Termotolerantes,170,33.96,7
27,LSTM,Coliformes Termotolerantes,170,34.74,7
28,Regressão Linear,Coliformes Termotolerantes,170,33.25,8
29,Random Forest,Coliformes Termotolerantes,170,61.04,8
30,MLP,Coliformes Termotolerantes,170,33.92,8
31,LSTM,Coliformes Termotolerantes,170,34.51,8
32,Regressão Linear,Coliformes Termotolerantes,170,33.21,9
33,Random Forest,Coliformes Termotolerantes,170,45.73,9
34,MLP,Coliformes Termotolerantes,170,34.47,9
35,LSTM,Coliformes Termotolerantes,170,33.74,9
36,Regressão Linear,Oxigênio Dissolvido,207,30.78,1
37,Random Forest,Oxigênio Dissolvido,207,39.01,1
38,MLP,Oxigênio Dissolvido,207,30.14,1
39,LSTM,Oxigênio Dissolvido,207,34.76,1
40,Regressão Linear,Oxigênio Dissolvido,207,28.83,2
41,Random Forest,Oxigênio Dissolvido,207,40.64,2
42,MLP,Oxigênio Dissolvido,207,28.68,2
43,LSTM,Oxigênio Dissolvido,207,33.79,2
44,Regressão Linear,Oxigênio Dissolvido,207,30.01,3
45,Random Forest,Oxigênio Dissolvido,207,40.22,3
46,MLP,Oxigênio Dissolvido,207,26.89,3
47,LSTM,Oxigênio Dissolvido,207,37.94,3
48,Regressão Linear,Oxigênio Dissolvido,207,29.09,4
49,Random Forest,Oxigênio Dissolvido,207,33.74,4
50,MLP,Oxigênio Dissolvido,207,28.75,4
51,LSTM,Oxigênio Dissolvido,207,31.23,4
52,Regressão Linear,Oxigênio Dissolvido,207,28.82,5
53,Random Forest,Oxigênio Dissolvido,207,27.63,5
54,MLP,Oxigênio Dissolvido,207,29.26,5
55,LSTM,Oxigênio Dissolvido,207,31.58,5
56,Regressão Linear,Oxigênio Dissolvido,207,28.94,6
57,Random Forest,Oxigênio Dissolvido,207,39.99,6
58,MLP,Oxigênio Dissolvido,207,29.93,6
59,LSTM,Oxigênio Dissolvido,207,34.69,6
60,Regressão Linear,Oxigênio Dissolvido,207,30.75,7
61,Random Forest,Oxigênio Dissolvido,207,43.18,7
62,MLP,Oxigênio Dissolvido,207,28.95,7
63,LSTM,Oxigênio Dissolvido,207,32.94,7
64,Regressão Linear,Oxigênio Dissolvido,207,31.6,8
65,Random Forest,Oxigênio Dissolvido,207,34.59,8
66,MLP,Oxigênio Dissolvido,207,29.57,8
67,LSTM,Oxigênio Dissolvido,207,33.03,8
68,Regressão Linear,Oxigênio Dissolvido,207,29.69,9
69,Random Forest,Oxigênio Dissolvido,207,31.31,9
70,MLP,Oxigênio Dissolvido,207,29.71,9
71,LSTM,Oxigênio Dissolvido,207,32.88,9
72,Regressão Linear,Turbidez,205,47.07,1
73,Random Forest,Turbidez,205,85.59,1
74,MLP,Turbidez,205,52.26,1
75,LSTM,Turbidez,205,58.05,1
76,Regressão Linear,Turbidez,205,64.53,2
77,Random Forest,Turbidez,205,59.59,2
78,MLP,Turbidez,205,45.32,2
79,LSTM,Turbidez,205,52.86,2
80,Regressão Linear,Turbidez,205,44.74,3
81,Random Forest,Turbidez,205,69.21,3
82,MLP,Turbidez,205,46.85,3
83,LSTM,Turbidez,205,55.72,3
84,Regressão Linear,Turbidez,205,44.77,4
85,Random Forest,Turbidez,205,49.42,4
86,MLP,Turbidez,205,44.43,4
87,LSTM,Turbidez,205,48.54,4
88,Regressão Linear,Turbidez,205,45.25,5
89,Random Forest,Turbidez,205,51.21,5
90,MLP,Turbidez,205,45.5,5
91,LSTM,Turbidez,205,51.45,5
92,Regressão Linear,Turbidez,205,52.91,6
93,Random Forest,Turbidez,205,61.26,6
94,MLP,Turbidez,205,52.44,6
95,LSTM,Turbidez,205,60.98,6
96,Regressão Linear,Turbidez,205,45.1,7
97,Random Forest,Turbidez,205,61.57,7
98,MLP,Turbidez,205,45.7,7
