,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Todas var.),0.37,0.03,0.0,0.12,0.36,0.03,0.0,0.02
1,ph,RF (Todas var.),0.26,0.02,0.01,0.53,0.36,0.03,0.0,0.02
2,ph,MLP (Todas var.),3.9,0.28,0.15,0.18,3.92,0.29,0.15,0.02
3,ph,LSTM (Todas var.),2.4,0.18,0.17,0.12,2.4,0.18,0.17,0.02
4,coliformes,RL (Todas var.),62296.46,27760.02,0.0,0.12,32998.28,30354.48,0.0,0.17
5,coliformes,RF (Todas var.),42273.1,19218.96,8541.06,0.53,30551.48,29307.85,1046.63,0.22
6,coliformes,MLP (Todas var.),1184162.79,590211.75,341222.45,0.17,680560.58,580376.12,325711.32,0.12
7,coliformes,LSTM (Todas var.),691897.26,351024.67,377906.94,0.11,397218.98,347218.66,364835.42,0.08
8,dbo,RL (Todas var.),61.96,7.06,0.0,0.18,65.18,7.42,0.0,0.13
9,dbo,RF (Todas var.),42.44,4.89,2.17,0.55,64.23,7.44,0.02,0.14
10,dbo,MLP (Todas var.),99.63,9.91,3.1,0.3,112.01,10.89,2.03,0.13
11,dbo,LSTM (Todas var.),85.51,8.94,2.6,0.19,94.47,9.56,2.18,0.1
12,fosforo,RL (Todas var.),135.05,0.46,0.0,0.07,122.15,0.42,0.0,0.11
13,fosforo,RF (Todas var.),89.58,0.32,0.15,0.51,119.68,0.42,0.01,0.11
14,fosforo,MLP (Todas var.),133.08,0.42,0.1,0.19,129.03,0.43,0.01,0.11
15,fosforo,LSTM (Todas var.),135.75,0.44,0.08,0.12,126.81,0.43,0.01,0.11
16,od,RL (Todas var.),27.56,1.15,0.0,0.08,34.34,1.28,0.0,0.02
17,od,RF (Todas var.),18.81,0.8,0.36,0.51,34.0,1.27,0.01,0.04
18,od,MLP (Todas var.),38.54,1.89,0.66,0.17,42.21,1.99,0.42,0.03
19,od,LSTM (Todas var.),34.01,1.59,0.61,0.12,38.78,1.68,0.48,0.03
20,solido,RL (Todas var.),14.01,44.91,0.0,0.17,14.83,47.29,0.0,0.16
21,solido,RF (Todas var.),9.67,31.21,13.69,0.55,14.58,46.83,0.46,0.18
22,solido,MLP (Todas var.),14.89,44.89,10.46,0.28,16.8,50.25,2.15,0.17
23,solido,LSTM (Todas var.),15.34,46.7,8.18,0.17,16.69,50.76,1.73,0.11
24,temperatura,RL (Todas var.),7.17,2.08,0.0,0.07,7.34,2.14,0.0,0.02
25,temperatura,RF (Todas var.),4.93,1.44,0.64,0.51,7.46,2.2,0.05,0.01
26,temperatura,MLP (Todas var.),7.54,2.27,0.58,0.17,8.46,2.52,0.19,0.01
27,temperatura,LSTM (Todas var.),7.52,2.21,0.44,0.11,8.03,2.35,0.24,0.01
28,turbidez,RL (Todas var.),57.6,15.37,0.0,0.03,50.14,15.17,0.0,0.0
29,turbidez,RF (Todas var.),39.09,10.57,4.8,0.49,51.98,15.53,0.36,0.0
30,turbidez,MLP (Todas var.),48.26,14.82,3.43,0.13,46.2,15.65,0.23,0.0
31,turbidez,LSTM (Todas var.),51.76,15.2,2.63,0.07,47.12,15.35,0.39,0.0
