,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Univariado),0.35,0.03,0.0,0.07,0.39,0.04,0.0,0.11
1,ph,RF (Univariado),0.28,0.02,0.0,0.37,0.43,0.04,0.0,0.06
2,ph,MLP (Univariado),3.82,0.28,0.15,0.15,3.8,0.28,0.14,0.1
3,ph,LSTM (Univariado),2.34,0.17,0.16,0.11,2.35,0.18,0.16,0.08
4,coliformes,RL (Univariado),44036.95,29174.91,0.0,0.09,88100.6,30137.7,0.0,0.06
5,coliformes,RF (Univariado),29426.79,22838.16,6336.75,0.41,79569.12,32859.25,2721.55,0.04
6,coliformes,MLP (Univariado),803194.62,620511.87,347910.87,0.15,1716785.9,635604.92,350286.34,0.05
7,coliformes,LSTM (Univariado),470081.25,368055.64,392613.95,0.12,1004885.6,377200.19,398930.15,0.05
8,dbo,RL (Univariado),71.64,7.61,0.0,0.08,75.73,7.65,0.0,0.02
9,dbo,RF (Univariado),53.5,6.01,1.6,0.4,78.16,8.22,0.56,0.01
10,dbo,MLP (Univariado),121.82,10.48,2.74,0.16,132.54,11.29,1.84,0.02
11,dbo,LSTM (Univariado),99.04,9.3,2.48,0.13,106.27,9.71,2.3,0.02
12,fosforo,RL (Univariado),113.91,0.45,0.0,0.03,191.32,0.47,0.0,0.05
13,fosforo,RF (Univariado),79.49,0.34,0.12,0.41,187.86,0.53,0.06,0.03
14,fosforo,MLP (Univariado),119.4,0.43,0.08,0.12,214.03,0.5,0.04,0.04
15,fosforo,LSTM (Univariado),115.3,0.44,0.06,0.08,203.19,0.49,0.03,0.05
16,od,RL (Univariado),30.28,1.22,0.0,0.0,34.41,1.26,0.0,0.04
17,od,RF (Univariado),22.14,0.9,0.32,0.42,37.44,1.38,0.12,0.02
18,od,MLP (Univariado),38.93,1.92,0.6,0.1,41.81,1.94,0.33,0.04
19,od,LSTM (Univariado),35.26,1.62,0.57,0.06,38.61,1.65,0.42,0.04
20,solido,RL (Univariado),15.06,48.12,0.0,0.06,16.2,48.8,0.0,0.07
21,solido,RF (Univariado),11.07,35.56,12.56,0.45,16.93,50.93,2.13,0.07
22,solido,MLP (Univariado),17.19,49.8,10.36,0.16,19.92,55.72,3.12,0.08
23,solido,LSTM (Univariado),16.42,49.38,7.86,0.12,18.56,53.2,3.77,0.08
24,temperatura,RL (Univariado),6.78,1.99,0.0,0.08,7.38,2.12,0.0,0.17
25,temperatura,RF (Univariado),5.18,1.54,0.44,0.41,7.62,2.18,0.06,0.14
26,temperatura,MLP (Univariado),7.59,2.27,0.47,0.17,8.25,2.52,0.2,0.17
27,temperatura,LSTM (Univariado),7.24,2.15,0.38,0.13,7.87,2.35,0.25,0.17
28,turbidez,RL (Univariado),54.77,15.21,0.0,0.0,59.53,15.77,0.0,0.0
29,turbidez,RF (Univariado),39.95,11.26,3.95,0.42,60.12,17.31,1.54,0.0
30,turbidez,MLP (Univariado),46.96,14.54,2.74,0.11,56.4,16.63,0.87,0.0
31,turbidez,LSTM (Univariado),49.88,14.83,2.1,0.06,57.48,16.29,0.76,0.0
