,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Var. selec.),0.37,0.03,0.0,0.08,0.35,0.03,0.0,0.09
1,ph,RF (Var. selec.),0.26,0.02,0.01,0.5,0.36,0.03,0.00,0.07
2,ph,MLP (Var. selec.),3.66,0.27,0.14,0.17,3.77,0.28,0.14,0.07
3,ph,LSTM (Var. selec.),2.25,0.17,0.16,0.13,2.31,0.17,0.16,0.08
4,coliformes,RL (Var. selec.),50066.63,30080.31,0.0,0.04,76106.49,30167.82,0.0,0.04
5,coliformes,RF (Var. selec.),40694.8,24047.06,6033.25,0.36,104425.52,34731.42,4563.6,0.02
6,coliformes,MLP (Var. selec.),930774.97,568251.51,314461.31,0.11,1411245.01,584644.48,317812.85,0.03
7,coliformes,LSTM (Var. selec.),544219.31,338614.84,356113.61,0.08,825120.24,348214.41,363661.09,0.03
8,dbo,RL (Var. selec.),72.03,7.38,0.0,0.09,58.59,7.31,0.0,0.21
9,dbo,RF (Var. selec.),48.18,5.08,2.3,0.51,55.72,7.29,0.02,0.2
10,dbo,MLP (Var. selec.),111.32,10.23,3.19,0.22,95.51,10.14,1.66,0.23
11,dbo,LSTM (Var. selec.),94.82,9.15,2.72,0.16,80.37,9.15,1.72,0.2
12,fosforo,RL (Var. selec.),138.28,0.44,0.0,0.08,119.27,0.47,0.0,0.02
13,fosforo,RF (Var. selec.),96.28,0.31,0.13,0.49,118.2,0.5,0.03,0.01
14,fosforo,MLP (Var. selec.),144.08,0.42,0.09,0.17,129.7,0.48,0.02,0.01
15,fosforo,LSTM (Var. selec.),142.53,0.43,0.07,0.13,124.23,0.48,0.01,0.02
16,od,RL (Var. selec.),31.04,1.23,0.0,0.01,31.22,1.22,0.0,0.00
17,od,RF (Var. selec.),22.04,0.88,0.34,0.43,35.86,1.40,0.19,0.00
18,od,MLP (Var. selec.),38.90,1.91,0.62,0.12,41.82,1.96,0.33,0.00
19,od,LSTM (Var. selec.),35.75,1.62,0.57,0.07,37.49,1.65,0.44,0.00
20,solido,RL (Var. selec.),13.86,44.94,0.0,0.14,15.7,48.54,0.0,0.18
21,solido,RF (Var. selec.),9.56,30.97,13.97,0.53,15.82,49.78,1.24,0.14
22,solido,MLP (Var. selec.),14.34,43.64,10.13,0.27,16.91,51.32,1.42,0.15
23,solido,LSTM (Var. selec.),13.95,44.05,7.67,0.23,16.4,50.72,1.28,0.14
24,turbidez,RL (Var. selec.),57.52,15.39,0.0,0.01,51.92,15.33,0.0,0.0
25,turbidez,RF (Var. selec.),40.68,11.38,4.01,0.42,56.88,17.12,1.79,0.0
26,turbidez,MLP (Var. selec.),50.5,14.7,2.77,0.11,49.67,15.92,1.13,0.0
27,turbidez,LSTM (Var. selec.),53.74,15.04,2.13,0.07,50.48,15.61,0.93,0.0
