,Tecnicas,mape_treino,rmse_treino,r_quad_treino,mape_teste,rmse_teste,r_quad_teste,parametros
6,MLP (Var. Selec.)ok,3.31,0.28,0.33,4.21,0.37,0.09,ph
10,MLP (Todas Var.)ok,3.95,0.27,0.3,4.46,0.39,0.04,ph
7,LSTM (Var. Selec.)ok,3.39,0.28,0.42,4.47,0.39,0.14,ph
2,MLP (Univariada)ok,3.3,0.27,0.38,4.63,0.39,0.11,ph
11,LSTM (Todas Var.)ok,3.84,0.28,0.38,4.64,0.4,0.07,ph
3,LSTM (Univariada)ok,3.46,0.29,0.45,4.7,0.4,0.15,ph
5,RF (Var. Selec.)ok,0.92,0.08,0.94,5.08,0.41,0.22,ph
4,RL (Var. Selec.)ok,2.31,0.2,0.54,5.12,0.41,0.2,ph
9,RF (Todas Var.)ok,4.75,0.08,0.95,5.23,0.42,0.19,ph
8,RL (Todas Var.)ok,4.66,0.19,0.61,5.48,0.43,0.16,ph
0,RL (Univariada)ok,2.46,0.21,0.49,5.48,0.44,0.2,ph
1,RF (Univariada)ok,0.98,0.22,0.94,5.02,0.53,0.29,ph
3,LSTM (Univariada)ok,80625.85,998994.83,0.22,1617921.99,842845.75,0.04,coliformes
2,MLP (Univariada)ok,67073.04,964191.5,0.28,1421432.53,877151.93,0.09,coliformes
0,RL (Univariada)ok,73067.53,958890.21,0.27,1579142.29,927346.59,0.08,coliformes
4,RL (Var. Selec.)ok,72968.99,949909.34,0.28,1572192.79,948755.81,0.07,coliformes
11,LSTM (Todas Var.)ok,153587.05,1014510.96,0.21,1752581.24,986152.78,0.01,coliformes
10,MLP (Todas Var.)ok,149937.38,1025473.24,0.3,1773825.75,1000701.12,0.01,coliformes
7,LSTM (Var. Selec.)ok,85947.85,1013629.95,0.2,1837465.68,1009768.57,0.01,coliformes
6,MLP (Var. Selec.)ok,80533.22,1001352.47,0.21,1757890.33,1039989.25,0.03,coliformes
1,RF (Univariada)ok,17993.87,397012.98,0.91,1479849.98,1096621.99,0.11,coliformes
9,RF (Todas Var.)ok,162570.49,359779.24,0.94,1852088.71,1110101.76,0.1,coliformes
5,RF (Var. Selec.)ok,18090.81,371916.64,0.93,1614364.45,1125253.86,0.11,coliformes
8,RL (Todas Var.)ok,162005.42,841598.3,0.43,1893991.94,1223960.95,0.03,coliformes
0,RL (Univariada)ok,69.15,11.06,0.32,36.41,11.82,0.19,dbo
1,RF (Univariada)ok,26.52,4.43,0.92,37.09,12.24,0.15,dbo
5,RF (Var. Selec.)ok,25.15,4.17,0.94,37.36,12.31,0.13,dbo
9,RF (Todas Var.)ok,109.71,4.16,0.94,43.1,12.45,0.14,dbo
4,RL (Var. Selec.)ok,63.88,10.58,0.37,38.47,13.18,0.13,dbo
2,MLP (Univariada)ok,105.42,13.55,0.06,39.95,14.13,0.04,dbo
8,RL (Todas Var.)ok,106.67,9.98,0.44,47.57,14.26,0.11,dbo
3,LSTM (Univariada)ok,106.07,13.69,0.14,40.14,14.34,0.05,dbo
