periodode;periodoate;cod_interaguas;tipo_rede;UGRHI;codigo_ponto;status_ponto;data_coleta;hora_coleta;parametro;sinal;valor;unidade;tipo_parametro;sistema_hidrico;tipo_sistema_hidrico;classe;Municipio;uf;inicio_operacao;fim_operacao;Latitude;Longitude;Altitude;Localizacao;Captacao
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;08/02/1995;14:15;DBO (5, 20);;4.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;03/04/1995;14:50;DBO (5, 20);;5.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;24/05/1995;15:30;DBO (5, 20);;6.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;26/06/1995;14:00;DBO (5, 20);;3.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;12/07/1995;15:15;DBO (5, 20);;5.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;23/08/1995;14:30;DBO (5, 20);;5.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;21/09/1995;11:20;DBO (5, 20);;14.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;10/10/1995;15:00;DBO (5, 20);;5.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;07/11/1995;12:45;DBO (5, 20);;8.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
01/01/1974;28/12/2019;166;Rede Básica;10 - SOROCABA/MEDIO TIETE;TIBT02500;Ativo;06/12/1995;15:00;DBO (5, 20);;6.00;mg/L;3- Químicos;Braço do Rio Tiete - TIBT;Reservatório (Lêntico);Classe 2;BOTUCATU;SP;01/01/1995;;22 40 41 ;48 15 06 ;460;Ponte na rodovia SP-191 que liga Santa Maria da Serra a São Manoel.;N
