,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Univariado),0.16,0.0,0.0,0.0746,0.15,0.0,0.0,0.1069
1,ph,RF (Univariado),0.13,0.0,0.0,0.36535,0.16999999999999998,0.0,0.0,0.06369999999999999
2,ph,MLP (Univariado),2.09125,0.0225,0.01299038105676658,0.1503375,2.10625,0.0225,0.01299038105676658,0.08963750000000001
3,ph,LSTM (Univariado),1.2635714285714286,0.012857142857142857,0.0148461497791618,0.12065714285714288,1.2678571428571423,0.012857142857142857,0.0148461497791618,0.0979
4,coliformes,RL (Univariado),48.36,1.08,0.0,0.0448,53.0,1.14,0.0,0.0073
5,coliformes,RF (Univariado),33.75,0.785,0.29500000000000004,0.4407,55.695,1.27,0.13,0.00465
6,coliformes,MLP (Univariado),75.23124999999999,1.7,0.5484979489478515,0.1372875,83.3175,1.8199999999999998,0.3241527417746146,0.004475
7,coliformes,LSTM (Univariado),65.21071428571427,1.4557142857142853,0.5014794438988115,0.09540714285714283,71.54571428571428,1.5400000000000003,0.4056916492679068,0.004921428571428571
8,dbo,RL (Univariado),19.82,0.23,0.0,0.1382,19.72,0.24,0.0,0.0553
9,dbo,RF (Univariado),15.33,0.185,0.045,0.4305,20.415,0.26,0.020000000000000018,0.03975
10,dbo,MLP (Univariado),24.23875,0.27249999999999996,0.05584576975922168,0.213875,24.81875,0.29125,0.02087911636061258,0.0543125
11,dbo,LSTM (Univariado),22.57071428571428,0.255,0.04686607057806928,0.1833785714285714,22.73285714285715,0.2692857142857144,0.029872176666180694,0.05657857142857143
12,fosforo,RL (Univariado),99.42,0.11,0.0,0.0591,88.69,0.11,0.0,0.0219
13,fosforo,RF (Univariado),72.53,0.08,0.03,0.43920000000000003,97.72,0.125,0.015000000000000006,0.0112
14,fosforo,MLP (Univariado),107.29875000000001,0.11,0.022912878474779196,0.15458750000000002,105.85624999999999,0.12125,0.007806247497998003,0.0196375
15,fosforo,LSTM (Univariado),105.72071428571428,0.11000000000000003,0.01732050807568877,0.11330714285714284,100.505,0.11642857142857146,0.008112726208286108,0.021364285714285714
16,od,RL (Univariado),15.11,0.12,0.0,0.0005,14.13,0.11,0.0,0.0003
17,od,RF (Univariado),11.184999999999999,0.09,0.03,0.41235,16.16,0.125,0.015000000000000006,0.00705
18,od,MLP (Univariado),25.07125,0.19874999999999998,0.06469882147303767,0.103375,25.979999999999997,0.20375,0.04608077147791691,0.0019
19,od,LSTM (Univariado),20.857857142857142,0.16500000000000004,0.06253570408745941,0.05924285714285712,21.057857142857138,0.16357142857142856,0.05801565587434665,0.0011642857142857143
20,solido,RL (Univariado),2.62,0.08,0.0,0.0673,2.75,0.08,0.0,0.0984
21,solido,RF (Univariado),1.92,0.06,0.02,0.4546,3.05,0.09,0.010000000000000002,0.0596
22,solido,MLP (Univariado),2.62,0.08249999999999999,0.016393596310755,0.16472499999999998,2.95125,0.08875,0.0059947894041409,0.0894875
23,solido,LSTM (Univariado),2.619285714285714,0.08142857142857142,0.012453996981544781,0.12322857142857144,2.887857142857143,0.08857142857142856,0.005150787536377126,0.09360714285714285
24,temperatura,RL (Univariado),2.04,0.04,0.0,0.1705,2.1,0.04,0.0,0.0124
25,temperatura,RF (Univariado),1.605,0.03,0.01,0.44035,2.285,0.04,0.0,0.01395
26,temperatura,MLP (Univariado),2.31625,0.037500000000000006,0.006614378277661476,0.23735,2.42625,0.04,0.0,0.0141125
27,temperatura,LSTM (Univariado),2.235714285714286,0.03857142857142857,0.005150787536377126,0.2080714285714286,2.265714285714286,0.039999999999999994,6.938893903907228e-18,0.014442857142857143
28,turbidez,RL (Univariado),12.46,0.21,0.0,0.0013,14.39,0.24,0.0,0.0026
29,turbidez,RF (Univariado),9.07,0.155,0.05499999999999999,0.40375,15.75,0.265,0.024999999999999994,0.00535
30,turbidez,MLP (Univariado),11.58375,0.19624999999999998,0.03637908052713811,0.10187500000000001,14.763749999999998,0.24625,0.016535945694153686,0.003
31,turbidez,LSTM (Univariado),11.989285714285716,0.20214285714285712,0.028329331450074203,0.05872857142857142,14.669285714285712,0.24357142857142863,0.012876968840942818,0.0026999999999999997
