,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Var. selec.),0.15,0.0,0.0,0.0805,0.17,0.0,0.0,0.1076
1,ph,RF (Var. selec.),0.11,0.0,0.0,0.5018,0.17,0.0,0.0,0.09245
2,ph,MLP (Var. selec.),2.11625,0.0225,0.01299038105676658,0.184925,2.16625,0.0225,0.01299038105676658,0.10818749999999999
3,ph,LSTM (Var. selec.),1.273571428571428,0.012857142857142857,0.0148461497791618,0.13467857142857145,1.3107142857142864,0.012857142857142857,0.0148461497791618,0.11620714285714284
4,coliformes,RL (Var. selec.),57.48,1.15,0.0,0.0477,29.83,0.93,0.0,0.0193
5,coliformes,RF (Var. selec.),44.71,0.965,0.18499999999999994,0.31545,30.235,1.03,0.09999999999999992,0.028900000000000002
6,coliformes,MLP (Var. selec.),86.13750000000002,1.7499999999999998,0.46357307945997034,0.11066250000000001,49.76625,1.5287499999999998,0.2929777081963746,0.0209125
7,coliformes,LSTM (Var. selec.),76.35071428571429,1.5299999999999996,0.4328312109158224,0.0842214285714286,41.68714285714286,1.2714285714285711,0.37059521897419373,0.019514285714285713
8,dbo,RL (Var. selec.),19.8,0.23,0.0,0.1477,17.27,0.21,0.0,0.2233
9,dbo,RF (Var. selec.),13.395,0.16,0.07,0.5374,16.53,0.21,0.0,0.2364
10,dbo,MLP (Var. selec.),22.74125,0.2575,0.06647367900154165,0.2764875,21.61375,0.2575,0.028173569173961625,0.22815
11,dbo,LSTM (Var. selec.),22.130714285714287,0.2507142857142858,0.050915095391990677,0.2108928571428572,20.61285714285714,0.24500000000000002,0.025842932164465076,0.1889285714285714
12,fosforo,RL (Var. selec.),102.72,0.11,0.0,0.0672,69.34,0.11,0.0,0.0632
13,fosforo,RF (Var. selec.),72.175,0.075,0.034999999999999996,0.4919,69.39,0.11,0.0,0.0478
14,fosforo,MLP (Var. selec.),110.54625,0.1075,0.025860201081971502,0.16820000000000002,80.33375,0.11624999999999999,0.0048412291827592685,0.03985
15,fosforo,LSTM (Var. selec.),108.82857142857144,0.10857142857142861,0.019587584572574417,0.12695,76.78714285714285,0.11357142857142861,0.004791574237499548,0.04957142857142858
16,od,RL (Var. selec.),15.1,0.12,0.0,0.0125,13.9,0.11,0.0,0.0106
17,od,RF (Var. selec.),10.895,0.08499999999999999,0.034999999999999996,0.42414999999999997,15.415,0.125,0.015000000000000006,0.007
18,od,MLP (Var. selec.),25.3025,0.20124999999999998,0.06936092199502542,0.11183749999999999,27.22375,0.21125,0.05035809269620921,0.006500000000000001
19,od,LSTM (Var. selec.),21.040714285714284,0.16642857142857145,0.06607432426087013,0.06942142857142856,21.563571428571425,0.16785714285714284,0.06292609854067721,0.008135714285714286
20,solido,RL (Var. selec.),2.44,0.08,0.0,0.2228,2.7,0.08,0.0,0.0585
21,solido,RF (Var. selec.),1.675,0.055,0.025,0.57605,2.63,0.08,0.0,0.0991
22,solido,MLP (Var. selec.),2.5062499999999996,0.075,0.017320508075688773,0.2454625,2.635,0.08,0.0,0.0798875
23,solido,LSTM (Var. selec.),2.6035714285714286,0.07999999999999999,0.014638501094227999,0.17582142857142855,2.6592857142857147,0.07999999999999999,1.3877787807814457e-17,0.08571428571428572
24,turbidez,RL (Var. selec.),12.98,0.22,0.0,0.0036,12.97,0.22,0.0,0.0025
25,turbidez,RF (Var. selec.),9.25,0.16,0.06,0.4219,14.325,0.25,0.030000000000000013,0.0054
26,turbidez,MLP (Var. selec.),12.0425,0.20500000000000002,0.03968626966596886,0.10805000000000001,13.44125,0.235,0.01732050807568878,0.0031875000000000002
27,turbidez,LSTM (Var. selec.),12.48214285714286,0.2114285714285715,0.03090472521826276,0.06322857142857143,13.220714285714289,0.22857142857142865,0.015050933932646775,0.0029071428571428577
