,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,RF (Univar.),ph,3.59,0.03,0.0,0.1,3.19,0.03,0.0,0.0
1,RF (Univar.),coliformes,70.69,1.74,0.19,0.27,88.96,1.86,0.23,0.08
2,RF (Univar.),dbo,20.16,0.24,0.01,0.52,21.85,0.27,0.02,0.21
3,RF (Univar.),fosforo,87.64,2.1,0.0,0.2,87.16,2.13,0.01,0.0
4,RF (Univar.),od,35.14,0.28,0.01,0.05,35.08,0.27,0.01,0.0
5,RF (Univar.),solido,3.63,0.12,0.01,0.18,3.94,0.13,0.01,0.03
6,RF (Univar.),temperatura,2.6,0.04,0.0,0.13,3.33,0.05,0.0,0.05
7,RF (Univar.),turbidez,12.34,0.22,0.01,0.09,14.55,0.26,0.01,0.06
0,RF (Todas var.),ph,2.25,0.02,0.0,0.09,2.05,0.02,0.0,0.0
1,RF (Todas var.),coliformes,55.38,1.36,0.02,0.01,76.46,1.5,0.05,0.03
2,RF (Todas var.),dbo,26.29,0.23,0.02,0.26,26.46,0.3,0.01,0.0
3,RF (Todas var.),fosforo,126.1,0.13,0.01,0.14,182.55,0.16,0.01,0.02
4,RF (Todas var.),od,36.83,0.29,0.01,0.02,29.66,0.23,0.01,0.0
5,RF (Todas var.),solido,4.48,0.1,0.01,0.26,3.63,0.11,0.02,0.02
6,RF (Todas var.),temperatura,2.55,0.04,0.0,0.0,2.82,0.05,0.0,0.03
7,RF (Todas var.),turbidez,15.64,0.28,0.01,0.0,15.26,0.27,0.01,0.0
0,RF (Var. selec.),ph,3.3,0.03,0.0,0.1,2.98,0.03,0.0,0.0
1,RF (Var. selec.),coliformes,74.31,1.81,0.14,0.31,94.11,1.94,0.18,0.07
2,RF (Var. selec.),dbo,19.41,0.22,0.01,0.46,22.86,0.27,0.01,0.17
3,RF (Var. selec.),fosforo,76.17,0.1,0.0,0.27,140.29,0.12,0.0,0.05
4,RF (Var. selec.),od,34.34,0.27,0.01,0.06,35.36,0.27,0.01,0.0
5,RF (Var. selec.),solido,3.49,0.11,0.01,0.22,4.23,0.13,0.01,0.01
6,RF (Var. selec.),turbidez,12.35,0.22,0.0,0.08,14.5,0.26,0.01,0.06
0,RL (Univar.),ph,3.51,0.03,0.0,0.12,3.04,0.03,0.0,0.0
1,RL (Univar.),coliformes,71.71,1.76,0.12,0.36,91.57,1.94,0.2,0.11
2,RL (Univar.),dbo,20.1,0.23,0.0,0.58,21.84,0.27,0.0,0.25
3,RL (Univar.),fosforo,87.7,2.1,0.0,0.31,86.63,2.12,0.01,0.04
4,RL (Univar.),od,34.01,0.26,0.0,0.08,32.1,0.25,0.0,0.01
5,RL (Univar.),solido,3.51,0.11,0.0,0.29,3.59,0.11,0.0,0.04
6,RL (Univar.),temperatura,2.57,0.04,0.0,0.15,3.23,0.05,0.0,0.1
7,RL (Univar.),turbidez,11.88,0.22,0.0,0.09,14.08,0.25,0.0,0.11
0,RL (Todas var.),ph,1.74,0.02,0.0,0.01,1.64,0.02,0.0,0.0
1,RL (Todas var.),coliformes,59.25,1.42,0.14,0.01,86.35,1.71,0.24,0.04
2,RL (Todas var.),dbo,42.62,0.48,0.03,0.01,38.91,0.44,0.02,0.01
3,RL (Todas var.),fosforo,109.65,0.14,0.01,0.03,151.76,0.16,0.01,0.01
4,RL (Todas var.),od,49.95,0.39,0.03,0.0,43.59,0.34,0.03,0.01
5,RL (Todas var.),solido,6.6,0.2,0.03,0.02,5.8,0.18,0.02,0.0
6,RL (Todas var.),temperatura,2.81,0.04,0.0,0.05,3.55,0.06,0.01,0.01
7,RL (Todas var.),turbidez,19.16,0.3,0.03,0.02,19.06,0.29,0.04,0.07
0,RL (Var. selec.),ph,3.27,0.03,0.0,0.1,2.85,0.03,0.0,0.01
1,RL (Var. selec.),coliformes,73.93,1.81,0.13,0.36,94.46,2.0,0.2,0.09
2,RL (Var. selec.),dbo,19.64,0.23,0.0,0.43,21.75,0.26,0.01,0.21
3,RL (Var. selec.),fosforo,73.54,0.1,0.0,0.29,148.79,0.13,0.0,0.03
4,RL (Var. selec.),od,33.83,0.26,0.0,0.08,32.48,0.25,0.0,0.01
5,RL (Var. selec.),solido,4.06,0.12,0.01,0.27,4.64,0.15,0.01,0.01
6,RL (Var. selec.),turbidez,12.44,0.23,0.01,0.07,14.6,0.26,0.0,0.1
0,MLP (Univar.),ph,2.46,0.02,0.0,0.05,2.43,0.02,0.0,0.0
1,MLP (Univar.),coliformes,90.24,2.13,0.05,0.33,119.5,2.48,0.05,0.09
2,MLP (Univar.),dbo,30.18,0.32,0.0,0.57,28.85,0.33,0.01,0.24
3,MLP (Univar.),fosforo,87.97,2.11,0.0,0.19,87.84,2.15,0.01,0.02
4,MLP (Univar.),od,29.82,0.24,0.0,0.08,27.38,0.21,0.0,0.01
5,MLP (Univar.),solido,2.44,0.08,0.0,0.26,2.52,0.08,0.0,0.02
6,MLP (Univar.),temperatura,2.61,0.04,0.0,0.1,3.32,0.06,0.0,0.06
7,MLP (Univar.),turbidez,11.98,0.21,0.0,0.08,13.62,0.24,0.0,0.08
0,MLP (var. selec.),ph,2.35,0.02,0.0,0.06,2.29,0.02,0.0,0.0
1,MLP (var. selec.),coliformes,92.45,2.18,0.08,0.22,123.51,2.58,0.08,0.1
2,MLP (var. selec.),dbo,28.32,0.31,0.01,0.37,29.49,0.34,0.01,0.12
3,MLP (var. selec.),fosforo,95.34,0.11,0.0,0.14,141.06,0.12,0.0,0.02
4,MLP (var. selec.),od,30.56,0.24,0.0,0.05,27.21,0.21,0.0,0.01
5,MLP (var. selec.),solido,2.49,0.08,0.0,0.21,2.73,0.09,0.0,0.01
6,MLP (var. selec.),turbidez,12.34,0.21,0.0,0.04,13.92,0.24,0.0,0.06
0,MLP (Todas var.),ph,2.03,0.02,0.0,0.03,2.11,0.02,0.0,0.0
1,MLP (Todas var.),coliformes,76.7,3.33,0.01,0.04,72.84,2.95,0.0,0.02
2,MLP (Todas var.),dbo,25.22,0.33,0.0,0.2,26.58,0.37,0.0,0.06
3,MLP (Todas var.),fosforo,490.77,0.66,0.0,0.08,613.18,0.65,0.0,0.01
4,MLP (Todas var.),od,31.24,0.22,0.0,0.03,43.63,0.27,0.0,0.01
5,MLP (Todas var.),solido,62.69,1.51,0.0,0.1,63.36,1.55,0.0,0.01
6,MLP (Todas var.),temperatura,35.26,0.49,0.0,0.01,35.9,0.5,0.0,0.01
7,MLP (Todas var.),turbidez,38.1,0.61,0.0,0.01,38.49,0.64,0.0,0.01
0,LSTM (Univar.),ph,2.58,0.02,0.0,0.1,2.6,0.02,0.0,0.0
1,LSTM (Univar.),coliformes,96.37,2.27,0.08,0.35,127.9,2.66,0.09,0.1
2,LSTM (Univar.),dbo,29.66,0.32,0.0,0.62,28.6,0.32,0.0,0.31
3,LSTM (Univar.),fosforo,88.02,2.11,0.0,0.34,87.61,2.14,0.01,0.03
4,LSTM (Univar.),od,30.26,0.24,0.0,0.12,27.42,0.21,0.0,0.01
5,LSTM (Univar.),solido,2.3,0.07,0.0,0.34,2.46,0.08,0.0,0.02
6,LSTM (Univar.),temperatura,2.65,0.05,0.0,0.09,3.34,0.06,0.0,0.04
7,LSTM (Univar.),turbidez,12.33,0.21,0.0,0.07,14.08,0.24,0.0,0.05
0,LSTM (var. selec.),ph,2.52,0.02,0.0,0.09,2.54,0.02,0.0,0.0
1,LSTM (var. selec.),coliformes,92.74,2.17,0.12,,124.14,2.57,0.12,
2,LSTM (var. selec.),dbo,27.84,0.31,0.01,0.47,28.66,0.33,0.01,0.22
3,LSTM (var. selec.),fosforo,92.91,0.11,0.0,0.3,139.08,0.12,0.0,0.05
4,LSTM (var. selec.),od,31.4,0.25,0.0,0.08,27.82,0.21,0.0,0.0
5,LSTM (var. selec.),solido,2.48,0.08,0.0,0.27,2.72,0.09,0.0,
6,LSTM (var. selec.),turbidez,12.56,0.22,0.0,0.05,14.3,0.25,0.0,0.04
0,LSTM (Todas var.),ph,2.34,0.02,0.0,0.06,2.4,0.02,0.0,0.0
1,LSTM (Todas var.),coliformes,76.71,3.33,0.01,0.04,72.84,2.95,0.0,0.04
2,LSTM (Todas var.),dbo,25.21,0.33,0.0,0.27,26.58,0.37,0.0,0.11
3,LSTM (Todas var.),fosforo,489.81,0.66,0.0,0.12,611.93,0.65,0.0,0.02
4,LSTM (Todas var.),od,30.86,0.22,0.0,0.04,43.54,0.27,0.0,0.0
5,LSTM (Todas var.),solido,62.7,1.51,0.0,0.15,63.34,1.55,0.0,0.0
6,LSTM (Todas var.),temperatura,35.31,0.49,0.0,0.01,35.95,0.5,0.0,0.02
7,LSTM (Todas var.),turbidez,38.14,0.61,0.0,0.0,38.51,0.64,0.0,0.01
