,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste,TECNICA
0,ph,0.44,0.01,0.0,0.92,2.49,0.03,0.0,0.15,RF (UNIVARIADA)
1,coliformes,2.89,0.22,0.01,0.91,48.82,1.45,0.04,0.01,RF (UNIVARIADA)
2,dbo,6.44,0.09,0.01,0.92,13.94,0.25,0.02,0.09,RF (UNIVARIADA)
3,fosforo,24.94,0.04,0.0,0.92,64.63,0.11,0.01,0.12,RF (UNIVARIADA)
4,od,29.9,0.06,0.01,0.92,37.22,0.13,0.01,0.13,RF (UNIVARIADA)
5,solido,1.8,0.06,0.0,0.93,5.54,0.17,0.0,0.2,RF (UNIVARIADA)
6,temperatura,0.63,0.01,0.0,0.91,1.99,0.03,0.0,0.09,RF (UNIVARIADA)
7,turbidez,4.34,0.08,0.0,0.93,12.41,0.23,0.01,0.02,RF (UNIVARIADA)
0,ph,2.03,0.0,0.0,0.94,2.36,0.02,0.0,0.19,RF (TODAS VAR.)
1,coliformes,10.66,0.22,0.01,0.92,49.92,1.45,0.03,0.01,RF (TODAS VAR.)
2,dbo,26.06,0.09,0.0,0.94,15.06,0.24,0.01,0.1,RF (TODAS VAR.)
3,fosforo,90.32,0.04,0.0,0.94,76.32,0.11,0.0,0.01,RF (TODAS VAR.)
4,od,94.48,0.06,0.0,0.95,43.38,0.12,0.0,0.13,RF (TODAS VAR.)
5,solido,7.93,0.05,0.0,0.94,5.65,0.15,0.01,0.2,RF (TODAS VAR.)
6,temperatura,2.28,0.01,0.0,0.94,2.15,0.03,0.0,0.09,RF (TODAS VAR.)
7,turbidez,17.76,0.07,0.0,0.94,11.62,0.21,0.0,0.03,RF (TODAS VAR.)
0,ph,0.39,0.0,0.0,0.94,2.32,0.02,0.0,0.21,RF (VAR. SELEC.)
1,coliformes,2.92,0.22,0.01,0.91,49.31,1.46,0.03,0.01,RF (VAR. SELEC.)
2,dbo,6.06,0.09,0.0,0.94,13.91,0.24,0.01,0.11,RF (VAR. SELEC.)
3,fosforo,24.22,0.04,0.0,0.93,74.7,0.11,0.0,0.02,RF (VAR. SELEC.)
4,od,29.08,0.06,0.0,0.93,36.45,0.12,0.0,0.13,RF (VAR. SELEC.)
5,solido,1.7,0.05,0.0,0.94,5.62,0.17,0.0,0.21,RF (VAR. SELEC.)
6,turbidez,4.25,0.07,0.0,0.93,12.85,0.24,0.0,0.01,RF (VAR. SELEC.)
0,ph,1.05,0.01,0.0,0.49,2.38,0.02,0.0,0.2,RL (UNIVARIADA)
1,coliformes,7.52,0.54,0.01,0.21,49.04,1.45,0.02,0.0,RL (UNIVARIADA)
2,dbo,16.28,0.23,0.0,0.35,13.52,0.24,0.0,0.1,RL (UNIVARIADA)
3,fosforo,66.33,0.11,0.0,0.21,63.94,0.1,0.0,0.12,RL (UNIVARIADA)
4,od,77.92,0.16,0.0,0.14,37.59,0.12,0.0,0.12,RL (UNIVARIADA)
5,solido,4.57,0.14,0.0,0.38,5.23,0.15,0.0,0.19,RL (UNIVARIADA)
6,temperatura,1.59,0.03,0.0,0.2,1.87,0.03,0.0,0.15,RL (UNIVARIADA)
7,turbidez,11.21,0.19,0.0,0.31,12.27,0.23,0.0,0.02,RL (UNIVARIADA)
0,ph,1.98,0.01,0.0,0.59,2.42,0.02,0.0,0.15,RL (TODAS VAR.)
1,coliformes,10.51,0.49,0.04,0.35,51.69,1.53,0.03,0.0,RL (TODAS VAR.)
2,dbo,25.17,0.21,0.01,0.47,17.2,0.29,0.03,0.04,RL (TODAS VAR.)
3,fosforo,87.94,0.1,0.01,0.39,80.12,0.13,0.02,0.02,RL (TODAS VAR.)
4,od,92.02,0.14,0.01,0.31,51.15,0.17,0.02,0.04,RL (TODAS VAR.)
5,solido,7.65,0.13,0.01,0.51,6.31,0.17,0.02,0.12,RL (TODAS VAR.)
6,temperatura,2.14,0.03,0.0,0.34,2.6,0.04,0.0,0.08,RL (TODAS VAR.)
7,turbidez,17.03,0.17,0.01,0.45,14.94,0.28,0.04,0.0,RL (TODAS VAR.)
0,ph,1.01,0.01,0.0,0.53,2.26,0.02,0.0,0.17,RL (VAR. SELEC.)
1,coliformes,7.47,0.53,0.02,0.23,49.39,1.46,0.02,0.0,RL (VAR. SELEC.)
2,dbo,15.35,0.22,0.01,0.41,14.76,0.26,0.01,0.06,RL (VAR. SELEC.)
3,fosforo,60.03,0.11,0.0,0.27,69.62,0.11,0.0,0.04,RL (VAR. SELEC.)
4,od,76.88,0.16,0.0,0.15,38.78,0.12,0.0,0.09,RL (VAR. SELEC.)
5,solido,4.33,0.13,0.01,0.47,5.77,0.17,0.01,0.14,RL (VAR. SELEC.)
6,turbidez,11.14,0.19,0.0,0.33,12.41,0.24,0.01,0.01,RL (VAR. SELEC.)
0,ph,1.41,0.02,0.0,0.39,1.97,0.02,0.0,0.11,MLP (UNIVARIADA)
1,coliformes,8.36,0.6,0.0,0.13,52.89,1.55,0.01,0.01,MLP (UNIVARIADA)
2,dbo,19.43,0.26,0.01,0.26,11.72,0.21,0.0,0.06,MLP (UNIVARIADA)
3,fosforo,73.66,0.12,0.0,0.15,67.92,0.11,0.0,0.09,MLP (UNIVARIADA)
4,od,86.87,0.17,0.0,0.1,41.55,0.13,0.0,0.09,MLP (UNIVARIADA)
5,solido,5.54,0.17,0.01,0.24,3.78,0.11,0.0,0.12,MLP (UNIVARIADA)
6,temperatura,1.63,0.03,0.0,0.17,1.91,0.03,0.0,0.12,MLP (UNIVARIADA)
7,turbidez,13.31,0.21,0.0,0.2,11.33,0.21,0.0,0.01,MLP (UNIVARIADA)
0,ph,1.32,0.01,0.0,0.36,1.98,0.02,0.0,0.09,MLP (VAR. SELEC.)
1,coliformes,9.07,0.64,0.01,0.02,54.39,1.59,0.01,0.01,MLP (VAR. SELEC.)
2,dbo,19.2,0.26,0.01,0.25,12.01,0.21,0.0,0.04,MLP (VAR. SELEC.)
3,fosforo,74.06,0.12,0.0,0.15,68.96,0.11,0.0,0.06,MLP (VAR. SELEC.)
4,od,86.71,0.16,0.0,0.1,41.96,0.13,0.0,0.08,MLP (VAR. SELEC.)
5,solido,5.61,0.17,0.0,0.19,3.89,0.12,0.0,0.04,MLP (VAR. SELEC.)
6,turbidez,13.63,0.22,0.0,0.16,11.46,0.21,0.0,0.01,MLP (VAR. SELEC.)
0,ph,1.69,0.02,0.0,0.33,2.0,0.02,0.0,0.05,MLP (TODAS VAR.)
1,coliformes,9.22,0.66,0.01,0.02,56.91,1.65,0.01,0.01,MLP (TODAS VAR.)
2,dbo,23.0,0.26,0.01,0.22,12.78,0.22,0.0,0.03,MLP (TODAS VAR.)
3,fosforo,83.16,0.12,0.0,0.13,73.39,0.11,0.0,0.02,MLP (TODAS VAR.)
4,od,93.61,0.17,0.0,0.08,44.46,0.13,0.0,0.04,MLP (TODAS VAR.)
5,solido,6.43,0.17,0.0,0.19,3.95,0.12,0.0,0.04,MLP (TODAS VAR.)
6,temperatura,1.87,0.03,0.0,0.09,2.11,0.03,0.0,0.03,MLP (TODAS VAR.)
7,turbidez,14.83,0.22,0.0,0.06,12.07,0.22,0.0,0.01,MLP (TODAS VAR.)
0,ph,1.45,0.02,0.0,0.44,2.02,0.02,0.0,0.15,LSTM (UNIVARIADA)
1,coliformes,8.75,0.63,0.01,0.15,55.5,1.62,0.02,0.01,LSTM (UNIVARIADA)
2,dbo,19.53,0.26,0.01,0.24,11.94,0.21,0.0,0.06,LSTM (UNIVARIADA)
3,fosforo,73.64,0.11,0.0,0.16,67.09,0.1,0.0,0.12,LSTM (UNIVARIADA)
4,od,89.06,0.17,0.0,0.08,41.56,0.13,0.0,0.12,LSTM (UNIVARIADA)
5,solido,5.77,0.18,0.0,0.23,4.03,0.12,0.0,0.11,LSTM (UNIVARIADA)
6,temperatura,1.73,0.03,0.0,0.14,2.01,0.03,0.0,0.08,LSTM (UNIVARIADA)
7,turbidez,13.87,0.22,0.0,0.18,11.84,0.21,0.01,0.0,LSTM (UNIVARIADA)
