,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
4,coliformes,RL (Var. selec.),57.48,1.15,0.0,0.0477,29.83,0.93,0.0,0.0193
5,coliformes,RF (Var. selec.),44.71,0.965,0.18499999999999994,0.31545,30.235,1.03,0.09999999999999992,0.0289
5,coliformes,RF (Todas var.),31.79,0.73,0.32,0.51,51.9,1.08,0.01,0.12
4,coliformes,RL (Todas var.),46.31,1.05,0.0,0.08,53.39,1.09,0.0,0.11
4,coliformes,RL (Univariado),48.36,1.08,0.0,0.0448,53.0,1.14,0.0,0.0073
5,coliformes,RF (Univariado),33.75,0.785,0.29500000000000004,0.4407,55.695,1.27,0.13,0.00465
7,coliformes,LSTM (Var. selec.),76.35071428571429,1.5299999999999996,0.4328312109158224,0.0842214285714286,41.68714285714286,1.2714285714285711,0.3705952189741937,0.019514285714285717
6,coliformes,MLP (Var. selec.),86.13750000000002,1.7499999999999998,0.4635730794599704,0.1106625,49.76625,1.5287499999999998,0.2929777081963746,0.0209125
7,coliformes,LSTM (Univariado),65.21071428571427,1.4557142857142853,0.5014794438988115,0.09540714285714284,71.54571428571428,1.5400000000000005,0.4056916492679068,0.004921428571428571
7,coliformes,LSTM (Todas var.),64.09,1.46,0.51,0.11,76.24,1.57,0.45,0.06
6,coliformes,MLP (Univariado),75.23124999999997,1.7,0.5484979489478515,0.1372875,83.3175,1.82,0.3241527417746146,0.004475
6,coliformes,MLP (Todas var.),73.62,1.69,0.58,0.16,87.78,1.84,0.44,0.07
