,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
1,RF (Todas var.),coliformes,55.38,1.36,0.02,0.01,76.46,1.5,0.05,0.03
1,RL (Todas var.),coliformes,59.25,1.42,0.14,0.01,86.35,1.71,0.24,0.04
1,RF (Univar.),coliformes,70.69,1.74,0.19,0.27,88.96,1.86,0.23,0.08
1,RL (Univar.),coliformes,71.71,1.76,0.12,0.36,91.57,1.94,0.2,0.11
1,RF (Var. selec.),coliformes,74.31,1.81,0.14,0.31,94.11,1.94,0.18,0.07
1,RL (Var. selec.),coliformes,73.93,1.81,0.13,0.36,94.46,2.0,0.2,0.09
1,MLP (Univar.),coliformes,90.24,2.13,0.05,0.33,119.5,2.48,0.05,0.09
1,LSTM (var. selec.),coliformes,92.74,2.17,0.12,,124.14,2.57,0.12,
1,MLP (var. selec.),coliformes,92.45,2.18,0.08,0.22,123.51,2.58,0.08,0.1
1,LSTM (Univar.),coliformes,96.37,2.27,0.08,0.35,127.9,2.66,0.09,0.1
1,MLP (Todas var.),coliformes,76.7,3.33,0.01,0.04,72.84,2.95,0.0,0.02
1,LSTM (Todas var.),coliformes,76.71,3.33,0.01,0.04,72.84,2.95,0.0,0.04
