,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
9,dbo,RF (Var. selec.),13.4,0.16,0.07,0.54,16.53,0.21,0.0,0.24
8,dbo,RL (Var. selec.),19.8,0.23,0.0,0.15,17.27,0.21,0.0,0.22
9,dbo,RF (Todas var.),12.37,0.16,0.06,0.59,16.36,0.22,0.01,0.22
8,dbo,RL (Todas var.),18.18,0.22,0.0,0.25,17.29,0.22,0.0,0.18
8,dbo,RL (Univariado),19.82,0.23,0.0,0.14,19.72,0.24,0.0,0.06
11,dbo,LSTM (Var. selec.),22.13,0.25,0.05,0.21,20.61,0.24,0.03,0.19
11,dbo,LSTM (Todas var.),21.58,0.25,0.05,0.24,20.64,0.25,0.03,0.15
10,dbo,MLP (Var. selec.),22.74,0.26,0.07,0.28,21.61,0.26,0.03,0.23
9,dbo,RF (Univariado),15.33,0.18,0.04,0.43,20.42,0.26,0.02,0.04
11,dbo,LSTM (Univariado),22.57,0.26,0.05,0.18,22.73,0.27,0.03,0.06
10,dbo,MLP (Todas var.),21.91,0.25,0.07,0.33,21.83,0.27,0.03,0.2
10,dbo,MLP (Univariado),24.24,0.27,0.06,0.21,24.82,0.29,0.02,0.05
