,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
2,RL (Var. selec.),dbo,19.64,0.23,0.0,0.43,21.75,0.26,0.01,0.21
2,RL (Univar.),dbo,20.1,0.23,0.0,0.58,21.84,0.27,0.0,0.25
2,RF (Univar.),dbo,20.16,0.24,0.01,0.52,21.85,0.27,0.02,0.21
2,RF (Var. selec.),dbo,19.41,0.22,0.01,0.46,22.86,0.27,0.01,0.17
2,RF (Todas var.),dbo,26.29,0.23,0.02,0.26,26.46,0.3,0.01,0.0
2,LSTM (Univar.),dbo,29.66,0.32,0.0,0.62,28.6,0.32,0.0,0.31
2,LSTM (var. selec.),dbo,27.84,0.31,0.01,0.47,28.66,0.33,0.01,0.22
2,MLP (Univar.),dbo,30.18,0.32,0.0,0.57,28.85,0.33,0.01,0.24
2,MLP (var. selec.),dbo,28.32,0.31,0.01,0.37,29.49,0.34,0.01,0.12
2,MLP (Todas var.),dbo,25.22,0.33,0.0,0.2,26.58,0.37,0.0,0.06
2,LSTM (Todas var.),dbo,25.21,0.33,0.0,0.27,26.58,0.37,0.0,0.11
2,RL (Todas var.),dbo,42.62,0.48,0.03,0.01,38.91,0.44,0.02,0.01
