,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
12,fosforo,RL (Var. selec.),102.72,0.11,0.0,0.07,69.34,0.11,0.0,0.06
13,fosforo,RF (Var. selec.),72.18,0.08,0.04,0.49,69.39,0.11,0.0,0.05
12,fosforo,RL (Univariado),99.42,0.11,0.0,0.06,88.69,0.11,0.0,0.02
15,fosforo,LSTM (Var. selec.),108.83,0.11,0.02,0.13,76.79,0.11,0.0,0.05
14,fosforo,MLP (Var. selec.),110.55,0.11,0.03,0.17,80.33,0.12,0.0,0.04
15,fosforo,LSTM (Univariado),105.72,0.11,0.02,0.11,100.5,0.12,0.01,0.02
13,fosforo,RF (Todas var.),39.44,0.07,0.03,0.52,171.51,0.12,0.0,0.12
12,fosforo,RL (Todas var.),58.58,0.1,0.0,0.09,172.47,0.12,0.0,0.13
14,fosforo,MLP (Univariado),107.3,0.11,0.02,0.15,105.86,0.12,0.01,0.02
13,fosforo,RF (Univariado),72.53,0.08,0.03,0.44,97.72,0.12,0.02,0.01
15,fosforo,LSTM (Todas var.),65.54,0.11,0.02,0.11,192.86,0.13,0.01,0.07
14,fosforo,MLP (Todas var.),63.98,0.1,0.02,0.18,197.18,0.13,0.01,0.09
