,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste,TECNICA
3,fosforo,66.33,0.11,0.0,0.21,63.94,0.1,0.0,0.12,RL (UNIVARIADA)
3,fosforo,73.64,0.11,0.0,0.16,67.09,0.1,0.0,0.12,LSTM (UNIVARIADA)
3,fosforo,74.44,0.12,0.0,0.17,68.6,0.11,0.0,0.1,LSTM (VAR. SELEC.)
3,fosforo,73.66,0.12,0.0,0.15,67.92,0.11,0.0,0.09,MLP (UNIVARIADA)
3,fosforo,24.94,0.04,0.0,0.92,64.63,0.11,0.01,0.12,RF (UNIVARIADA)
3,fosforo,74.06,0.12,0.0,0.15,68.96,0.11,0.0,0.06,MLP (VAR. SELEC.)
3,fosforo,82.8,0.12,0.0,0.15,73.11,0.11,0.0,0.03,LSTM (TODAS VAR.)
3,fosforo,83.16,0.12,0.0,0.13,73.39,0.11,0.0,0.02,MLP (TODAS VAR.)
3,fosforo,24.22,0.04,0.0,0.93,74.7,0.11,0.0,0.02,RF (VAR. SELEC.)
3,fosforo,90.32,0.04,0.0,0.94,76.32,0.11,0.0,0.01,RF (TODAS VAR.)
3,fosforo,60.03,0.11,0.0,0.27,69.62,0.11,0.0,0.04,RL (VAR. SELEC.)
3,fosforo,87.94,0.1,0.01,0.39,80.12,0.13,0.02,0.02,RL (TODAS VAR.)
