,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
17,od,RF (Todas var.),9.5,0.08,0.03,0.5,13.84,0.11,0.0,0.14
16,od,RL (Var. selec.),15.1,0.12,0.0,0.01,13.9,0.11,0.0,0.01
16,od,RL (Univariado),15.11,0.12,0.0,0.0,14.13,0.11,0.0,0.0
16,od,RL (Todas var.),13.79,0.11,0.0,0.07,14.38,0.11,0.0,0.11
17,od,RF (Var. selec.),10.9,0.08,0.04,0.42,15.42,0.12,0.02,0.01
17,od,RF (Univariado),11.18,0.09,0.03,0.41,16.16,0.12,0.02,0.01
19,od,LSTM (Univariado),20.86,0.17,0.06,0.06,21.06,0.16,0.06,0.0
19,od,LSTM (Var. selec.),21.04,0.17,0.07,0.07,21.56,0.17,0.06,0.01
19,od,LSTM (Todas var.),20.62,0.16,0.07,0.08,21.27,0.17,0.06,0.05
18,od,MLP (Todas var.),25.14,0.2,0.07,0.15,25.15,0.2,0.05,0.06
18,od,MLP (Univariado),25.07,0.2,0.06,0.1,25.98,0.2,0.05,0.0
18,od,MLP (Var. selec.),25.3,0.2,0.07,0.11,27.22,0.21,0.05,0.01
