,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
4,MLP (var. selec.),od,30.56,0.24,0.0,0.05,27.21,0.21,0.0,0.01
4,LSTM (Univar.),od,30.26,0.24,0.0,0.12,27.42,0.21,0.0,0.01
4,MLP (Univar.),od,29.82,0.24,0.0,0.08,27.38,0.21,0.0,0.01
4,LSTM (var. selec.),od,31.4,0.25,0.0,0.08,27.82,0.21,0.0,0.0
4,RF (Todas var.),od,36.83,0.29,0.01,0.02,29.66,0.23,0.01,0.0
4,RL (Univar.),od,34.01,0.26,0.0,0.08,32.1,0.25,0.0,0.01
4,RL (Var. selec.),od,33.83,0.26,0.0,0.08,32.48,0.25,0.0,0.01
4,RF (Var. selec.),od,34.34,0.27,0.01,0.06,35.36,0.27,0.01,0.0
4,RF (Univar.),od,35.14,0.28,0.01,0.05,35.08,0.27,0.01,0.0
4,LSTM (Todas var.),od,30.86,0.22,0.0,0.04,43.54,0.27,0.0,0.0
4,MLP (Todas var.),od,31.24,0.22,0.0,0.03,43.63,0.27,0.0,0.01
4,RL (Todas var.),od,49.95,0.39,0.03,0.0,43.59,0.34,0.03,0.01
