,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste,TECNICA
4,od,77.91533333333334,0.16,0.0,0.13866666666666666,37.59200000000001,0.12000000000000005,5.551115123125783e-17,0.11933333333333335,RL (UNIVARIADA)
4,od,94.48499333333332,0.05765333333333333,0.0012322698117250494,0.9466666666666664,43.37973333333334,0.1241333333333333,0.0038011694107062477,0.12533333333333335,RF (TODAS VAR.)
4,od,76.88087333333334,0.15678666666666666,0.0007923523346480549,0.15104,38.77504,0.12443333333333333,0.002135311582780265,0.09,RL (VAR. SELEC.)
4,od,29.08300000000001,0.06253333333333334,0.0012631530214330952,0.932,36.450506666666655,0.12480666666666668,0.004893324250672771,0.13,RF (VAR. SELEC.)
4,od,29.903673333333334,0.06421333333333333,0.006147180021946828,0.9211799999999999,37.21996666666666,0.12662,0.00974030800334363,0.1308266666666667,RF (UNIVARIADA)
4,od,89.0587777777778,0.16655555555555554,0.002685121327465458,0.08144444444444444,41.559111111111115,0.12666666666666668,0.002788866755113586,0.11699999999999999,LSTM (UNIVARIADA)
4,od,88.70473666666666,0.16694444444444442,0.0036520956270524687,0.08755555555555558,41.70341888888889,0.12841333333333332,0.00208243269421269,0.11066666666666668,LSTM (VAR. SELEC.)
4,od,86.86988333333332,0.16509666666666664,0.004496728028573997,0.1013022222222222,41.55481777777778,0.1286722222222222,0.0031272498074225987,0.09149222222222224,MLP (UNIVARIADA)
4,od,93.41844444444445,0.16655555555555554,0.004103596736137641,0.09944444444444443,44.39433333333333,0.12877777777777774,0.003572874486847454,0.08377777777777777,LSTM (TODAS VAR.)
4,od,86.71423444444444,0.16482555555555553,0.003970581012930847,0.10222222222222224,41.95737444444444,0.12935888888888888,0.0032104912896607656,0.07922222222222224,MLP (VAR. SELEC.)
4,od,93.61266666666668,0.1673333333333333,0.004337604732431806,0.08144444444444446,44.458111111111094,0.13144444444444445,0.002424158247696826,0.04122222222222223,MLP (TODAS VAR.)
4,od,92.0218,0.14122666666666667,0.0075223636947142816,0.308,51.15437999999998,0.16904,0.024632466380774785,0.03666666666666667,RL (TODAS VAR.)
