,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Todas var.),0.16,0.0,0.0,0.12,0.15,0.0,0.0,0.08
0,ph,RL (Univariado),0.16,0.0,0.0,0.07,0.15,0.0,0.0,0.11
1,ph,RF (Todas var.),0.11,0.0,0.0,0.53,0.16,0.0,0.0,0.06
1,ph,RF (Univariado),0.13,0.0,0.0,0.37,0.17,0.0,0.0,0.06
1,ph,RF (Var. selec.),0.11,0.0,0.0,0.5,0.17,0.0,0.0,0.09
0,ph,RL (Var. selec.),0.15,0.0,0.0,0.08,0.17,0.0,0.0,0.11
3,ph,LSTM (Todas var.),1.3,0.01,0.01,0.13,1.32,0.01,0.01,0.06
3,ph,LSTM (Univariado),1.26,0.01,0.01,0.12,1.27,0.01,0.01,0.1
3,ph,LSTM (Var. selec.),1.27,0.01,0.01,0.13,1.31,0.01,0.01,0.12
2,ph,MLP (Todas var.),2.15,0.02,0.01,0.2,2.19,0.02,0.01,0.05
2,ph,MLP (Univariado),2.09,0.02,0.01,0.15,2.11,0.02,0.01,0.09
2,ph,MLP (Var. selec.),2.12,0.02,0.01,0.18,2.17,0.02,0.01,0.11
