,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,RL (Todas var.),ph,1.74,0.02,0.0,0.01,1.64,0.02,0.0,0.0
0,RF (Todas var.),ph,2.25,0.02,0.0,0.09,2.05,0.02,0.0,0.0
0,MLP (Todas var.),ph,2.03,0.02,0.0,0.03,2.11,0.02,0.0,0.0
0,LSTM (Todas var.),ph,2.34,0.02,0.0,0.06,2.4,0.02,0.0,0.0
0,MLP (var. selec.),ph,2.3509422222222227,0.02165111111111111,0.0006573647351826291,0.058169999999999986,2.2942688888888885,0.02117111111111111,0.000878392190030268,0.003744444444444445
0,MLP (Univar.),ph,2.4640788888888894,0.02259444444444444,0.0008554112432401912,0.05304777777777778,2.4346877777777776,0.022392222222222227,0.0009553333074875289,0.002972222222222222
0,LSTM (var. selec.),ph,2.520173333333333,0.02302555555555556,0.001276640073216883,0.09271888888888888,2.5396266666666665,0.02324,0.0014081482455627595,0.003422222222222223
0,LSTM (Univar.),ph,2.5773677777777784,0.023528888888888884,0.0011117131702195072,0.10003,2.596025555555556,0.023736666666666663,0.0012678386391078375,0.003488888888888889
0,RL (Var. selec.),ph,3.2697799999999995,0.031360000000000006,0.0017606059562927012,0.10421333333333337,2.850493333333333,0.0277,0.0021159710142942254,0.005426666666666666
0,RF (Var. selec.),ph,3.2994933333333334,0.031039999999999998,0.0012690153663372247,0.09866,2.97662,0.02825333333333333,0.0015156370131253574,0.0023066666666666674
0,RL (Univar.),ph,3.51,0.030000000000000013,1.3877787807814454e-17,0.122,3.039333333333333,0.030000000000000013,1.3877787807814454e-17,0.0006666666666666666
0,RF (Univar.),ph,3.591333333333333,0.030000000000000013,1.3877787807814454e-17,0.09733333333333337,3.1900000000000004,0.030000000000000013,1.3877787807814454e-17,0.0026666666666666666
